Corum                                    | Micro     | Radiolaria                 | -242000000    | -235000000   | Corum
Coryphyllia                              | Animal    | Cnidaria                   | -242000000    | -228000000   | <>
Cosesaurus                               | Animal    | Chordata                   | -242000000    | -235000000   | Cosesaurus
Cosmonautilus                            | Animal    | Mollusca                   | -252170000    | -201300000   | Cosmonautilus
Costatoria                               | Animal    | Mollusca                   | -242000000    | -228000000   | <>
Costatoviblatta                          | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Costigervillia                           | Animal    | Mollusca                   | -242000000    | -237000000   | <>
Costirhynchopsis                         | Animal    | Brachiopoda                | -242000000    | -235000000   | <>
Covracythere                             | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Crania                                   | Animal    | Brachiopoda                | -242000000    | -237000000   | Crania
Craspedophyllia                          | Animal    | Cnidaria                   | -242000000    | -237000000   | <>
Creaphis                                 | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Cricodon                                 | Animal    | Chordata                   | -247200000    | -228000000   | Cricodon
Cristellaria                             | Micro     | Foraminifera               | -242000000    | -237000000   | Cristellaria
Cristonemoura                            | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Crossotheca                              | Plant     | Pteridospermophyta         | -242000000    | -237000000   | <>
Crucella                                 | Micro     | Radiolaria                 | -242000000    | -235000000   | <>
Cruratula                                | Animal    | Brachiopoda                | -242000000    | -228000000   | <>
Cryptaulax                               | Animal    | Mollusca                   | -242000000    | -237000000   | Cryptaulax
Cryptocoelia                             | Animal    | Porifera                   | -242000000    | -232000000   | <>
Cryptonerita                             | Animal    | Mollusca                   | -242000000    | -237000000   | <>
Cryptostephanidium                       | Micro     | Radiolaria                 | -242000000    | -235000000   | <>
Ctenognathichthys                        | Animal    | Chordata                   | -242000000    | -235000000   | Ctenognathichthys
