Cleionychia                              | Animal    | Mollusca                   | -468100000    | -460900000   | <>
Clelandoceras                            | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Climacograptus                           | Animal    | Hemichordata               | -468100000    | -460900000   | Climacograptus
Clinoceras                               | Animal    | Mollusca                   | -471800000    | -466000000   | <>
Clisospira                               | Animal    | Mollusca                   | -468100000    | -463500000   | <>
Clitambonites                            | Animal    | Brachiopoda                | -468100000    | -463500000   | <>
Clitendoceras                            | Animal    | Mollusca                   | -470000000    | -467300000   | Clitendoceras
Cloacaspis                               | Animal    | Arthropoda                 | -470000000    | -467300000   | Cloacaspis
Clonograptus                             | Animal    | Hemichordata               | -478600000    | -466000000   | Clonograptus
Cnemidactis                              | Animal    | Echinodermata              | -471800000    | -468100000   | <>
Cnemidopyge                              | Animal    | Arthropoda                 | -478600000    | -466000000   | Cnemidopyge
Cochlioceras                             | Animal    | Mollusca                   | -468100000    | -463500000   | Cochlioceras
Coelocerodontus                          | Animal    | Chordata                   | -478600000    | -466000000   | <>
Coeloclema                               | Animal    | Bryozoa                    | -468100000    | -460900000   | <>
Coelonella                               | Animal    | Arthropoda                 | -470000000    | -458400000   | <>
Colaptoconus                             | Animal    | Chordata                   | -478600000    | -466000000   | Colaptoconus
Colaptomena                              | Animal    | Brachiopoda                | -468100000    | -460900000   | <>
Coleodus                                 | Animal    | Chordata                   | -478600000    | -466000000   | Coleodus
Colinispongia                            | Animal    | Porifera                   | -478600000    | -468100000   | <>
Colobinion                               | Animal    | Arthropoda                 | -471800000    | -457500000   | Colobinion
Colpocoryphe                             | Animal    | Arthropoda                 | -470000000    | -458400000   | Colpocoryphe
Colpomya                                 | Animal    | Mollusca                   | -470000000    | -443400000   | <>
Columnaria                               | Animal    | Cnidaria                   | -485400000    | -443400000   | Columnaria
Conchoprimitia                           | Animal    | Arthropoda                 | -468100000    | -463500000   | <>
Conodiscus                               | Animal    | Brachiopoda                | -470000000    | -467300000   | <>
Conolichas                               | Animal    | Arthropoda                 | -468100000    | -463500000   | <>
Conotreta                                | Animal    | Brachiopoda                | -468100000    | -463500000   | <>
Constellaria                             | Animal    | Bryozoa                    | -468100000    | -460900000   | Constellaria
Conularia                                | Animal    | Cnidaria                   | -468100000    | -460900000   | <>
Conularina                               | Animal    | Cnidaria                   | -468100000    | -460900000   | <>
Coopericystis                            | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Cordylodus                               | Animal    | Chordata                   | -471800000    | -457500000   | Cordylodus
Coreanoceras                             | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cornuodus                                | Animal    | Chordata                   | -470000000    | -467300000   | Cornuodus
Coronocystis                             | Animal    | Echinodermata              | -470000000    | -458400000   | <>
Corrugatagnostus                         | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Corymbograptus                           | Animal    | Hemichordata               | -470000000    | -467300000   | <>
Corynotrypa                              | Animal    | Bryozoa                    | -485400000    | -443400000   | <>
Coscinium                                | Animal    | Bryozoa                    | -468100000    | -463500000   | Coscinium
Cosmogoniophorina                        | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Costiconus                               | Animal    | Chordata                   | -468100000    | -463500000   | <>
Cothurnocystis                           | Animal    | Echinodermata              | -478600000    | -466000000   | Cothurnocystis
Cotteroceras                             | Animal    | Mollusca                   | -478600000    | -468100000   | Cotteroceras
Coxiconchia                              | Animal    | Mollusca                   | -471800000    | -466000000   | <>
Crania                                   | Animal    | Brachiopoda                | -468100000    | -452500000   | Crania_(brachiopod)
Crassiorina                              | Animal    | Brachiopoda                | -471800000    | -468100000   | <>
Crepipora                                | Animal    | Bryozoa                    | -478600000    | -468100000   | Crepipora
Crinerocrinus                            | Animal    | Echinodermata              | -470000000    | -458400000   | <>
Crossiskenidium                          | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Crownopora                               | Animal    | Bryozoa                    | -470000000    | -458400000   | <>
Crozonaspis                              | Animal    | Arthropoda                 | -470000000    | -458400000   | Crozonaspis
Cryptograptus                            | Animal    | Hemichordata               | -468100000    | -460900000   | <>
Cryptolithus                             | Animal    | Arthropoda                 | -468100000    | -460900000   | Cryptolithus
