Bythinella                               | Animal    | Mollusca                   | -66000000     | -58700000    | Bythinella
Bythitidarum                             | Animal    | Chordata                   | -61600000     | -56000000    | <>
Bythocypris                              | Animal    | Arthropoda                 | -66000000     | -56000000    | <>
Caberea                                  | Animal    | Bryozoa                    | -66000000     | 2030         | <>
Cabindachelys                            | Animal    | Chordata                   | -61600000     | -59200000    | Cabindachelys
Cadulus                                  | Animal    | Mollusca                   | -61600000     | -59200000    | Cadulus
Caenolambda                              | Animal    | Chordata                   | -61700000     | -56800000    | <>
Cainomerga                               | Animal    | Arthropoda                 | -61600000     | -59200000    | <>
Calappa                                  | Animal    | Arthropoda                 | -66000000     | 2030         | Calappa_(crab)
Calappilia                               | Animal    | Arthropoda                 | -66000000     | -23030000    | Calappilia
Calciosolenia                            | Plant     | Haptophyta                 | -61600000     | -59200000    | <>
Callianassa                              | Animal    | Arthropoda                 | -61600000     | -59200000    | Callianassa
Callianopsis                             | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Calliostoma                              | Animal    | Mollusca                   | -61600000     | -59200000    | Calliostoma
Callipelta                               | Animal    | Porifera                   | -66000000     | -53000000    | <>
Callista                                 | Animal    | Mollusca                   | -66000000     | -56000000    | Callista_(bivalve)
Callistopollenites                       | Plant     | Spermatophyta              | -66000000     | -56000000    | <>
Callocardia                              | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Callucina                                | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Calophyllum Calophyllaceae	              | Plant     | Spermatophyta              | -66000000     | -2588000     | Calophyllum
Calorhadia                               | Animal    | Mollusca                   | -61600000     | -56000000    | <>
Calycites                                | Plant     | Spermatophyta              | -66000000     | -56000000    | <>
Calyptocephalella                        | Animal    | Chordata                   | -62500000     | -59000000    | Calyptocephalella
Calyptraea                               | Animal    | Mollusca                   | -61600000     | -59200000    | Calyptraea
Calyptraphorus                           | Animal    | Mollusca                   | -61600000     | -56000000    | <>
Camarocarcinus                           | Animal    | Arthropoda                 | -61600000     | -59200000    | <>
Campanile                                | Animal    | Mollusca                   | -61600000     | -56000000    | Campanile_(gastropod)
Campeloma                                | Animal    | Mollusca                   | -66000000     | -56000000    | Campeloma
Cancellaria                              | Animal    | Mollusca                   | -61600000     | -59200000    | Cancellaria
Cancelrana                               | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Cancer                                   | Animal    | Arthropoda                 | -66000000     | -23030000    | Cancer
Caprocancer                              | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Capulus                                  | Animal    | Mollusca                   | -61600000     | -56000000    | Capulus
Carabites                                | Animal    | Arthropoda                 | -66000000     | -56000000    | <>
Carangidarum                             | Animal    | Chordata                   | -61600000     | -59200000    | <>
Carbonemys                               | Animal    | Chordata                   | -61700000     | -55800000    | Carbonemys
Carcharias                               | Animal    | Chordata                   | -61600000     | -56000000    | Carcharias
Carcharodon                              | Animal    | Chordata                   | -66000000     | 2030         | Carcharodon
Carcinophora                             | Animal    | Arthropoda                 | -66000000     | -56000000    | Carcinophora
Carcinus                                 | Animal    | Arthropoda                 | -66000000     | 2030         | Carcinus
Cardabia                                 | Animal    | Echinodermata              | -61700000     | -55800000    | Cardabia
Cardiaster                               | Animal    | Echinodermata              | -89300000     | -56000000    | <>
Cardichelyon                             | Animal    | Chordata                   | -61700000     | -56800000    | <>
Cardiomya                                | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Carditella                               | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Cardium                                  | Animal    | Mollusca                   | -61600000     | -56000000    | Cardium
Carex                                    | Plant     | Angiospermae               | -66000000     | -2588000     | Carex
Caricella                                | Animal    | Mollusca                   | -61600000     | -56000000    | <>
Caricoidea                               | Plant     | Angiospermae               | -66000000     | -28100000    | <>
