Ctenognathodus                           | Animal    | Chordata                   | -449500000    | -427400000   | Ctenognathodus
Culicocrinus                             | Animal    | Echinodermata              | -445200000    | -443400000   | <>
Culumbodina                              | Animal    | Chordata                   | -460900000    | -443700000   | Culumbodina
Cuneamya                                 | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Cupulocrinus                             | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Curtognathus                             | Animal    | Chordata                   | -458400000    | -443400000   | Curtognathus
Cyamella                                 | Animal    | Arthropoda                 | -453000000    | -443400000   | Cyamella_(trilobite)
Cyathactis                               | Animal    | Cnidaria                   | -445200000    | -440800000   | <>
Cyathochitina                            | Micro     | Sarcodina                  | -445200000    | -443400000   | Cyathochitina
Cyathophylloides                         | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Cyathophyllum                            | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Cyathotheca                              | Animal    | Echinodermata              | -449500000    | -443400000   | <>
Cybele                                   | Animal    | Arthropoda                 | -460900000    | -443700000   | Cybele
Cybeloides                               | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Cyclendoceras                            | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Cycloceras                               | Animal    | Mollusca                   | -470000000    | -443400000   | Cycloceras
Cyclocharax                              | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Cyclocoelia                              | Animal    | Brachiopoda                | -455800000    | -443700000   | <>
Cycloconcha                              | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Cyclocrinites                            | Plant     | Chlorophyta                | -445200000    | -443400000   | <>
Cyclocystoides                           | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Cyclonema                                | Animal    | Mollusca                   | -445200000    | -443400000   | Cyclonema
Cyclopyge                                | Animal    | Arthropoda                 | -449500000    | -443700000   | Cyclopyge
Cyclora                                  | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Cyclospira                               | Animal    | Brachiopoda                | -445200000    | -443400000   | <>
Cymatonota                               | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Cymbularia                               | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Cyphaspis                                | Animal    | Arthropoda                 | -449500000    | -443400000   | Cyphaspis
Cyphoniscus                              | Animal    | Arthropoda                 | -449500000    | -443400000   | <>
Cyphoproetus                             | Animal    | Arthropoda                 | -449500000    | -443400000   | <>
Cyphotrypa                               | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Cypricardella                            | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Cypricardinia                            | Animal    | Mollusca                   | -445200000    | -443400000   | Cypricardinia
Cyrtoceras                               | Animal    | Mollusca                   | -449500000    | -443700000   | Cyrtoceras
Cyrtodiscus                              | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Cyrtodonta                               | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Cyrtodontula                             | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Cyrtogomphoceras                         | Animal    | Mollusca                   | -449500000    | -443700000   | Cyrtogomphoceras
Cyrtolites                               | Animal    | Mollusca                   | -445200000    | -443400000   | Cyrtolites
Cyrtometopus                             | Animal    | Arthropoda                 | -449500000    | -443700000   | Cyrtometopus
Cyrtonotella                             | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Cyrtophyllum                             | Animal    | Cnidaria                   | -449500000    | -443700000   | Cyrtophyllum
Cyrtorizoceras                           | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Cyrtospira                               | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Cyrtostropha                             | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Cystistroma                              | Animal    | Porifera                   | -470000000    | -443400000   | <>
