Bouleites                                | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Boultonia                                | Micro     | Foraminifera               | -303700000    | -298900000   | <>
Boweria                                  | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Bowmanites                               | Plant     | Equisetophyta              | -323200000    | -298900000   | <>
Brabeocrinus                             | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Brachycycloceras                         | Animal    | Mollusca                   | -303400000    | -298900000   | <>
Brachydectes                             | Animal    | Chordata                   | -303400000    | -298900000   | Brachydectes
Brachygerarus                            | Animal    | Arthropoda                 | -304800000    | -303400000   | <>
Brachymetopus                            | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Brachymylacris                           | Animal    | Arthropoda                 | -306950000    | -298900000   | <>
Brachyphyllum                            | Plant     | Pinopsida                  | -358900000    | -252170000   | Brachyphyllum
Brachythyrina                            | Animal    | Brachiopoda                | -303700000    | -298900000   | <>
Brachythyris                             | Animal    | Brachiopoda                | -303700000    | -298900000   | <>
Bradyina                                 | Micro     | Foraminifera               | -301200000    | -300200000   | <>
Bradyphyllum                             | Animal    | Cnidaria                   | -303700000    | -298900000   | <>
Branchierpeton                           | Animal    | Chordata                   | -303400000    | -301200000   | Branchierpeton
Branchiosaurus                           | Animal    | Chordata                   | -303400000    | -301200000   | Branchiosaurus
Breyeria                                 | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Brongniartites                           | Plant     | Pteridospermophyta         | -358900000    | -252170000   | <>
Brongniartula                            | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Bryantodus                               | Animal    | Chordata                   | -306950000    | -298900000   | <>
Bucanopsis                               | Animal    | Mollusca                   | -303700000    | -298900000   | <>
Buxtonia                                 | Animal    | Brachiopoda                | -303400000    | -298900000   | <>
Buxtonioides                             | Animal    | Brachiopoda                | -303700000    | -298900000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Cactocrinus                              | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Cacurgulopsis                            | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Caenoblatta                              | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Calamites                                | Plant     | Sphenophyta                | -303400000    | -295000000   | Calamites
Calamocarpon                             | Plant     | Sphenophyta                | -323200000    | -298900000   | <>
