Callianassa                              | Animal    | Arthropoda                 | -201300000    | -145000000   | Callianassa
Calliostoma                              | Animal    | Mollusca                   | -201300000    | -196500000   | Calliostoma
Calliphylloceras                         | Animal    | Mollusca                   | -201300000    | -190800000   | Calliphylloceras
Callospiriferina                         | Animal    | Brachiopoda                | -201300000    | -189600000   | <>
Caloceras                                | Animal    | Mollusca                   | -201300000    | -163500000   | Caloceras
Calvaentolium                            | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Campopsis                                | Animal    | Arthropoda                 | -201300000    | -199300000   | <>
Camptonectes                             | Animal    | Mollusca                   | -201300000    | -163500000   | <>
Canesium                                 | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Canoptum                                 | Micro     | Radiolaria                 | -201300000    | -174100000   | <>
Cantallocostoma                          | Animal    | Mollusca                   | -201300000    | -199300000   | <>
Cantalum                                 | Micro     | Radiolaria                 | -201300000    | -196500000   | <>
Canutus                                  | Micro     | Radiolaria                 | -201300000    | -189600000   | <>
Capnodoce                                | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Capnuchosphaera                          | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Carabites                                | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Carapezzia                               | Animal    | Brachiopoda                | -201300000    | -199300000   | <>
Cardinia                                 | Animal    | Mollusca                   | -201300000    | -163500000   | Cardinia
Cardita                                  | Animal    | Mollusca                   | -201300000    | -196500000   | Cardita
Cardium                                  | Animal    | Mollusca                   | -201300000    | -196500000   | Cardium
Carmelopodus                             | Animal    | Chordata                   | -201300000    | -196500000   | Carmelopodus
Catacoeloceras                           | Animal    | Mollusca                   | -201300000    | -199300000   | Catacoeloceras
Cayeuxia                                 | Micro     | Cyanobacteria              | -201300000    | -190800000   | <>
Caytonanthus                             | Plant     | Pteridospermophyta         | -201300000    | -174100000   | Caytonanthus
Cenoceras                                | Animal    | Mollusca                   | -201300000    | -174100000   | Cenoceras
Cephalotaxopsis                          | Plant     | Coniferophyta              | -237000000    | -174100000   | <>
Ceratobairdia                            | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Ceratodus                                | Animal    | Chordata                   | -201300000    | -190800000   | Ceratodus
Ceratomya                                | Animal    | Mollusca                   | -201300000    | -145000000   | <>
Ceratomyopsis                            | Animal    | Mollusca                   | -201300000    | -145000000   | <>
Cercomya                                 | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Cerebropollenites                        | Plant     | Gymnospermophyta           | -208500000    | -190800000   | <>
Ceresopsis                               | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Cerithium                                | Animal    | Mollusca                   | -201300000    | -196500000   | Cerithium
Chaetetes                                | Animal    | Porifera                   | -201300000    | -190800000   | Chaetetes
Changpeipus                              | Animal    | Chordata                   | -201300000    | -145000000   | Changpeipus
Charlottea                               | Micro     | Radiolaria                 | -201300000    | -174100000   | <>
Chartronella                             | Animal    | Mollusca                   | -201300000    | -174100000   | <>
Chinshakiangosaurus                      | Animal    | Chordata                   | -201300000    | -199300000   | Chinshakiangosaurus
Chiropteris                              | Plant     | Cycadophyta                | -201300000    | -174100000   | Chiropteris
Chiton                                   | Animal    | Mollusca                   | -201300000    | -145000000   | Chiton
Chladocrinus                             | Animal    | Echinodermata              | -201300000    | -196500000   | <>
