Dalmanites                               | Animal    | Arthropoda                 | -443400000    | -419200000   | Dalmanites
Dalmanitina                              | Animal    | Arthropoda                 | -443400000    | -433400000   | Dalmanitina
Dalmanophyllum                           | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Dapsilodus                               | Animal    | Chordata                   | -443400000    | -419200000   | <>
Dawsonoceras                             | Animal    | Mollusca                   | -443400000    | -419200000   | <>
Dayia                                    | Animal    | Brachiopoda                | -443400000    | -440800000   | <>
Daytonia                                 | Animal    | Arthropoda                 | -443400000    | -440800000   | Daytonia
Deceptrix                                | Animal    | Mollusca                   | -443400000    | -433400000   | <>
Decoriconus                              | Animal    | Chordata                   | -443400000    | -422900000   | <>
Decoroproetus                            | Animal    | Arthropoda                 | -443400000    | -433400000   | <>
Dedzetina                                | Animal    | Brachiopoda                | -443400000    | -440800000   | <>
Deiphon                                  | Animal    | Arthropoda                 | -443400000    | -427400000   | Deiphon
Deliella                                 | Animal    | Brachiopoda                | -443400000    | -440800000   | <>
Delotaxis                                | Animal    | Chordata                   | -443400000    | -419200000   | <>
Delthyris                                | Animal    | Brachiopoda                | -443400000    | -419200000   | <>
Demirastrites                            | Animal    | Hemichordata               | -443400000    | -433400000   | <>
Denckmannites                            | Animal    | Arthropoda                 | -443400000    | -433400000   | Denckmannites
Dendrocrinus                             | Animal    | Echinodermata              | -443400000    | -427400000   | <>
Densiphyllum                             | Animal    | Cnidaria                   | -443400000    | -436000000   | <>
Dentilasma                               | Animal    | Cnidaria                   | -443400000    | -433400000   | <>
Desmidodictyon                           | Animal    | Porifera                   | -443400000    | -440800000   | <>
Diacalymene                              | Animal    | Arthropoda                 | -443400000    | -433400000   | Diacalymene
Diadelognathus                           | Animal    | Chordata                   | -443400000    | -419200000   | <>
Diagoniella                              | Animal    | Porifera                   | -443400000    | -419200000   | Diagoniella
Diamphidiocystis                         | Animal    | Echinodermata              | -449500000    | -440800000   | <>
Diaphorocrinus                           | Animal    | Echinodermata              | -443400000    | -440800000   | <>
Dibolbina                                | Animal    | Arthropoda                 | -443400000    | -427400000   | <>
Diceromyonia                             | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
Dicoelosia                               | Animal    | Brachiopoda                | -443400000    | -419200000   | Dicoelosia
Dicranopeltis                            | Animal    | Arthropoda                 | -443400000    | -427400000   | <>
Dictyocaris                              | Animal    | Arthropoda                 | -443400000    | -423000000   | <>
Dictyonema                               | Animal    | Hemichordata               | -443400000    | -419200000   | Dictyonema
Dienstina                                | Animal    | Arthropoda                 | -443400000    | -433400000   | Dienstina
Dihogmochilina                           | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Dikenaspis                               | Animal    | Chordata                   | -443400000    | -419200000   | <>
Dimerocrinites                           | Animal    | Echinodermata              | -443400000    | -427400000   | Dimerocrinites
Dimorphograptus                          | Animal    | Hemichordata               | -443400000    | -433400000   | <>
Dinobolus                                | Animal    | Brachiopoda                | -443400000    | -422900000   | <>
Dinophyllum                              | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Diorthelasma                             | Animal    | Brachiopoda                | -443400000    | -440800000   | <>
Diorychopora                             | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Diparvapila                              | Micro     | Radiolaria                 | -443400000    | -433400000   | <>
Diphyphyllum                             | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Diplochone                               | Animal    | Cnidaria                   | -443400000    | -433400000   | <>
