Crinisarina                              | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Crossotheca                              | Plant     | Pteridospermophyta         | -358900000    | -298900000   | <>
Crurithyris                              | Animal    | Brachiopoda                | -353800000    | -342800000   | <>
Cryptoblastus                            | Animal    | Echinodermata              | -358900000    | -353800000   | Cryptoblastus
Cryptophyllum                            | Animal    | Cnidaria                   | -358900000    | -346700000   | <>
Ctenacanthus                             | Animal    | Chordata                   | -358900000    | -323200000   | Ctenacanthus
Ctenodonta                               | Animal    | Mollusca                   | -353800000    | -342800000   | <>
Ctenodus                                 | Animal    | Chordata                   | -358900000    | -346700000   | Ctenodus
Ctenoptychius                            | Animal    | Chordata                   | -358900000    | -323200000   | <>
Culmicrinus                              | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Cummingella                              | Animal    | Arthropoda                 | -353800000    | -339400000   | Cummingella
Cupularostrum                            | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Cusacrinus                               | Animal    | Echinodermata              | -358900000    | -346700000   | <>
Cyathaxonia                              | Animal    | Cnidaria                   | -353800000    | -342800000   | <>
Cyathoclisia                             | Animal    | Cnidaria                   | -353800000    | -345300000   | <>
Cyathocrinites                           | Animal    | Echinodermata              | -353800000    | -342800000   | Cyathocrinites
Cyathophyllum                            | Animal    | Cnidaria                   | -358900000    | -252170000   | <>
Cycloceras                               | Animal    | Mollusca                   | -358900000    | -298900000   | Cycloceras
Cyclonema                                | Animal    | Mollusca                   | -358900000    | -323200000   | Cyclonema
Cyclozyga                                | Animal    | Mollusca                   | -358900000    | -346700000   | <>
Cymatospira                              | Animal    | Mollusca                   | -358900000    | -298900000   | <>
Cyperites                                | Plant     | Lycopodophyta              | -358900000    | -298900000   | <>
Cyphinioides                             | Animal    | Arthropoda                 | -353800000    | -345300000   | <>
Cyphotalosia                             | Animal    | Brachiopoda                | -353800000    | -345300000   | <>
Cypricardella                            | Animal    | Mollusca                   | -358900000    | -323200000   | <>
Cypricardinia                            | Animal    | Mollusca                   | -353800000    | -342800000   | Cypricardinia
Cypridina                                | Animal    | Arthropoda                 | -353800000    | -342800000   | <>
Cyrtina                                  | Animal    | Brachiopoda                | -353800000    | -342800000   | <>
Cyrtisphaeractenium                      | Micro     | Radiolaria                 | -358900000    | -346700000   | <>
Cyrtoceras                               | Animal    | Mollusca                   | -353800000    | -345000000   | Cyrtoceras
