Bullopora                                | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Burmesia                                 | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Bysmatospermum                           | Plant     | Cycadeoideophyta           | -208500000    | -201300000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Caelestiventus                           | Animal    | Chordata                   | -237000000    | -201300000   | Caelestiventus
Calabrisiphonella                        | Animal    | Porifera                   | -228000000    | -201300000   | <>
Calabrispongia                           | Animal    | Porifera                   | -228000000    | -201300000   | <>
Calamites                                | Plant     | Sphenophyta                | -208500000    | -201300000   | Calamites
Calamospora                              | Plant     | Sphenophyta                | -237000000    | -201300000   | <>
Calcirhynchia                            | Animal    | Brachiopoda                | -208500000    | -201300000   | <>
Calcitornella                            | Micro     | Foraminifera               | -212000000    | -205600000   | <>
Calclamna                                | Animal    | Echinodermata              | -212000000    | -205600000   | Calclamna
Calclamnella                             | Animal    | Echinodermata              | -208500000    | -201300000   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -298900000    | -201300000   | Callipteris
Callotrochus                             | Animal    | Mollusca                   | -208500000    | -201300000   | Callotrochus
Caloblattina                             | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Calvaentolium                            | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Camelotia                                | Animal    | Chordata                   | -208500000    | -201300000   | Camelotia
Campesteria                              | Animal    | Cnidaria                   | -208500000    | -201300000   | <>
Camponaxis                               | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Camptonectes                             | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Canadospira                              | Animal    | Brachiopoda                | -208500000    | -201300000   | <>
Candona                                  | Animal    | Arthropoda                 | -252170000    | -201300000   | Candona
Canesium                                 | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Canisia                                  | Animal    | Echinodermata              | -215560000    | -205600000   | <>
Canoptum                                 | Micro     | Radiolaria                 | -208500000    | -201300000   | <>
Cantalum                                 | Micro     | Radiolaria                 | -208500000    | -201300000   | <>
Canutus                                  | Micro     | Radiolaria                 | -208500000    | -201300000   | <>
Capnodoce                                | Micro     | Radiolaria                 | -212000000    | -205600000   | <>
Capnuchosphaera                          | Micro     | Radiolaria                 | -212000000    | -205600000   | <>
Capulus                                  | Animal    | Mollusca                   | -228000000    | -201300000   | Capulus
Carapezzia                               | Animal    | Brachiopoda                | -208500000    | -201300000   | <>
Cardinia                                 | Animal    | Mollusca                   | -208500000    | -196500000   | Cardinia
Cardinioides                             | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Carditamera                              | Animal    | Mollusca                   | -208500000    | -201300000   | Carditamera
Cardita                                  | Animal    | Mollusca                   | -208500000    | -201300000   | Cardita
Cardium                                  | Animal    | Mollusca                   | -208500000    | -201300000   | Cardium
Carinathilda                             | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Carinobairdia                            | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Carinokoninckina                         | Animal    | Brachiopoda                | -247200000    | -201300000   | <>
Carterina                                | Micro     | Foraminifera               | -228000000    | -201300000   | Carterina
Casearia                                 | Animal    | Porifera                   | -212000000    | -205600000   | Casearia
Cassianella                              | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Cassianopsis                             | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Catella                                  | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Catenohalorites                          | Animal    | Mollusca                   | -212000000    | -205600000   | Catenohalorites
Caturus                                  | Animal    | Chordata                   | -208500000    | -201300000   | Caturus
Caucasorhynchia                          | Animal    | Brachiopoda                | -228000000    | -201300000   | Caucasorhynchia
Caviramus                                | Animal    | Chordata                   | -212000000    | -201300000   | Caviramus
Cavusonella                              | Animal    | Porifera                   | -212000000    | -205600000   | <>
Cavussurella                             | Animal    | Arthropoda                 | -212000000    | -205600000   | <>
Cayeuxia                                 | Micro     | Cyanobacteria              | -208500000    | -201300000   | <>
Celyphia                                 | Animal    | Porifera                   | -212000000    | -201300000   | <>
Cenoceras                                | Animal    | Mollusca                   | -205600000    | -201600000   | Cenoceras
Cephalotaxopsis                          | Plant     | Coniferophyta              | -237000000    | -174100000   | <>
Ceratites                                | Animal    | Mollusca                   | -237000000    | -201300000   | Ceratites
Ceratodus                                | Animal    | Chordata                   | -208500000    | -201300000   | Ceratodus
Cercomya                                 | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Cerebropollenites                        | Plant     | Gymnospermophyta           | -208500000    | -190800000   | <>
Cerioheterastraea                        | Animal    | Cnidaria                   | -212000000    | -205600000   | Cerioheterastraea
Ceriostella                              | Animal    | Cnidaria                   | -208500000    | -201300000   | <>
Cerithium                                | Animal    | Mollusca                   | -208500000    | -201300000   | Cerithium
Chaenomya                                | Animal    | Mollusca                   | -212000000    | -201300000   | <>
Chaetetes                                | Animal    | Porifera                   | -212000000    | -205600000   | Chaetetes
Chalepotherium                           | Animal    | Chordata                   | -208500000    | -201300000   | Chalepotherium
Characichnos                             | Animal    | Chordata                   | -208500000    | -201300000   | <>
Chartronella                             | Animal    | Mollusca                   | -228000000    | -201300000   | <>
Chartroniella                            | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Cheilosporites                           | Animal    | Porifera                   | -208500000    | -201300000   | <>
Chelyoposuchus                           | Animal    | Chordata                   | -208500000    | -201300000   | Chelyoposuchus
Chemnitzia                               | Animal    | Mollusca                   | -208500000    | -201300000   | Chemnitzia
Chevalieria                              | Animal    | Cnidaria                   | -212000000    | -201300000   | <>
Chilenosuchus                            | Animal    | Chordata                   | -237000000    | -201300000   | Chilenosuchus
Chinlea                                  | Animal    | Chordata                   | -208500000    | -201300000   | Chinlea
Chinlestegophis                          | Animal    | Chordata                   | -228000000    | -201300000   | Chinlestegophis
Chirodella                               | Animal    | Chordata                   | -208500000    | -201300000   | Chirodella
Chiropteris                              | Plant     | Cycadophyta                | -208500000    | -190800000   | Chiropteris
Chirotherium                             | Animal    | Chordata                   | -208500000    | -201300000   | Chirotherium
Chlamys                                  | Animal    | Mollusca                   | -205600000    | -201600000   | Chlamys
Chondrocoenia                            | Animal    | Cnidaria                   | -208500000    | -201300000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -237000000    | -174100000   | Chonetes
Choristoceras                            | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Chrysomelopsis                           | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Chulitnacula                             | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Cicadocoris                              | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Cidaris                                  | Animal    | Echinodermata              | -208500000    | -199300000   | Cidaris
Cinnabaria                               | Animal    | Porifera                   | -208500000    | -201300000   | <>
Cionichthys                              | Animal    | Chordata                   | -208500000    | -201300000   | <>
Circopora                                | Animal    | Porifera                   | -208500000    | -201300000   | <>
Circulina                                | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Citriduma                                | Micro     | Radiolaria                 | -208500000    | -201300000   | <>
Cladiscites                              | Animal    | Mollusca                   | -208500000    | -201300000   | Cladiscites
Cladophlebia                             | Animal    | Arthropoda                 | -237000000    | -201300000   | <>
Cladophlebis                             | Plant     | Pteridophyta               | -208500000    | -174100000   | Cladophlebis
Classopollis                             | Plant     | Coniferophyta              | -208500000    | -174100000   | <>
Clathropteris                            | Plant     | Pteridophyta               | -208500000    | -174100000   | <>
Clavigera                                | Animal    | Brachiopoda                | -205600000    | -201600000   | Clavigera
Clevosaurus                              | Animal    | Chordata                   | -208500000    | -201300000   | Clevosaurus
Clidophorus                              | Animal    | Mollusca                   | -237000000    | -201300000   | <>
Clionitites                              | Animal    | Mollusca                   | -237000000    | -201300000   | <>
Clypeina                                 | Plant     | Chlorophyta                | -208500000    | -201300000   | <>
Coccophyllum                             | Animal    | Cnidaria                   | -208500000    | -201300000   | <>
Cochloceras                              | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Coelacanthus                             | Animal    | Chordata                   | -237000000    | -201300000   | Coelacanthus
Coelophysis                              | Animal    | Chordata                   | -208500000    | -199300000   | Coelophysis
Coelostylina                             | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Coelurosaurichnus                        | Animal    | Chordata                   | -208500000    | -196500000   | Coelurosaurichnus
Coenothyris                              | Animal    | Brachiopoda                | -212000000    | -205600000   | <>
Coleia                                   | Animal    | Arthropoda                 | -208500000    | -201300000   | Coleia
Coleopteron                              | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Colobodus                                | Animal    | Chordata                   | -208500000    | -201300000   | Colobodus
Colognathus                              | Animal    | Chordata                   | -237000000    | -201300000   | Colognathus
Colospongia                              | Animal    | Porifera                   | -208500000    | -201300000   | <>
Compsostrobus                            | Plant     | Coniferophyta              | -237000000    | -201300000   | <>
Comptio                                  | Animal    | Mollusca                   | -237000000    | -201300000   | <>
Conactaeon                               | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Conchodon                                | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Coniopteris                              | Plant     | Pteridophyta               | -208500000    | -201300000   | Coniopteris
Conites                                  | Plant     | Cycadeoideophyta           | -208500000    | -201300000   | <>
Conochaetetes                            | Animal    | Porifera                   | -212000000    | -205600000   | <>
Conophyllia                              | Animal    | Cnidaria                   | -215560000    | -205600000   | <>
Consobrinella                            | Animal    | Mollusca                   | -208500000    | -201300000   | <>
