Bissektipelta                            | Animal    | Chordata                   | -93500000     | -89300000    | Bissektipelta
Bizarrus                                 | Animal    | Mollusca                   | -89800000     | -86300000    | <>
Bolidium                                 | Animal    | Porifera                   | -89800000     | -83600000    | <>
Bolivina                                 | Micro     | Foraminifera               | -100500000    | -66000000    | <>
Bonapartemys                             | Animal    | Chordata                   | -99600000     | -89300000    | <>
Boodlepteris                             | Plant     | Pteridophyta               | -93500000     | -89300000    | <>
Boreiohydrias                            | Animal    | Chordata                   | -93500000     | -89300000    | <>
Borisodon                                | Animal    | Chordata                   | -93500000     | -89300000    | Borisodon
Borissjakoceras                          | Animal    | Mollusca                   | -89300000     | -85800000    | <>
Bostrychoceras                           | Animal    | Mollusca                   | -89300000     | -85800000    | Bostrychoceras
Botroclonium                             | Animal    | Porifera                   | -93500000     | -89300000    | <>
Botryococcus                             | Plant     | Chlorophyta                | -100500000    | -33900000    | Botryococcus
Boueina                                  | Plant     | Chlorophyta                | -89300000     | -66000000    | <>
Bourgueticrinus                          | Animal    | Echinodermata              | -93500000     | -89300000    | <>
Bournelyreidus                           | Animal    | Arthropoda                 | -93500000     | -89300000    | <>
Bournonia                                | Animal    | Mollusca                   | -89300000     | -83600000    | <>
Braarudosphaera                          | Plant     | Haptophyta                 | -93500000     | -89300000    | <>
Brachauchenius                           | Animal    | Chordata                   | -93500000     | -89300000    | Brachauchenius
Brachidontes                             | Animal    | Mollusca                   | -89800000     | -86300000    | Brachidontes
Brachiolites                             | Animal    | Porifera                   | -93500000     | -89300000    | <>
Brachychampsa                            | Animal    | Chordata                   | -93500000     | -89300000    | Brachychampsa
Brachycythere                            | Animal    | Arthropoda                 | -93500000     | -89300000    | <>
Brachymeandra                            | Animal    | Cnidaria                   | -93500000     | -89300000    | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -100500000    | -66000000    | Brachyphyllum
Brachyrhizodus                           | Animal    | Chordata                   | -93500000     | -89300000    | <>
Branchiocarcinus                         | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Brasilichnium                            | Animal    | Chordata                   | -100500000    | -66000000    | <>
Breviarca                                | Animal    | Mollusca                   | -93500000     | -89300000    | <>
Bronsteiniana                            | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Brontopodus                              | Animal    | Chordata                   | -93900000     | -86300000    | Brontopodus
Bryceomys                                | Animal    | Chordata                   | -93500000     | -89300000    | Bryceomys
Buchia                                   | Animal    | Mollusca                   | -145000000    | -66000000    | <>
Buchiceras                               | Animal    | Mollusca                   | -89300000     | -85800000    | <>
Buckantaus                               | Animal    | Chordata                   | -93500000     | -89300000    | <>
Bugarachaster                            | Animal    | Echinodermata              | -89800000     | -86300000    | <>
Bulaklestes                              | Animal    | Chordata                   | -93500000     | -89300000    | <>
Bullaria                                 | Animal    | Mollusca                   | -93500000     | -70600000    | Bullaria
Buntonia                                 | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Buttinia                                 | Plant     | Spermatophyta              | -89300000     | -66000000    | <>
Caenagnathasia                           | Animal    | Chordata                   | -93500000     | -89300000    | Caenagnathasia
Caipirasuchus                            | Animal    | Chordata                   | -93900000     | -72100000    | Caipirasuchus
Caiuajara                                | Animal    | Chordata                   | -93900000     | -72100000    | Caiuajara
Calamophylliopsis                        | Animal    | Cnidaria                   | -93500000     | -89300000    | Calamophylliopsis
Calcancora                               | Animal    | Echinodermata              | -93500000     | -89300000    | Calcancora
Calclamna                                | Animal    | Echinodermata              | -93500000     | -89300000    | Calclamna
Caletaster                               | Animal    | Echinodermata              | -89300000     | -83500000    | <>
Califadesma                              | Animal    | Mollusca                   | -89800000     | -83600000    | <>
Callialasporites                         | Plant     | Coniferophyta              | -93500000     | -85800000    | <>
Callianassa                              | Animal    | Arthropoda                 | -100500000    | -66000000    | Callianassa
Calliderma                               | Animal    | Echinodermata              | -89800000     | -86300000    | Calliderma_(sea_star)
Callistalox                              | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Callista                                 | Animal    | Mollusca                   | -89800000     | -86300000    | Callista_(bivalve)
Callistina                               | Animal    | Mollusca                   | -89800000     | -86300000    | <>
Callodictyon                             | Animal    | Porifera                   | -89800000     | -83600000    | <>
Callopegma                               | Animal    | Porifera                   | -89800000     | -83600000    | <>
Caloxanthus                              | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Calteagalathea                           | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Calva                                    | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Calycites                                | Plant     | Spermatophyta              | -89800000     | -72100000    | <>
Calycoceras                              | Animal    | Mollusca                   | -93500000     | -89300000    | Calycoceras
Camarozonosporites                       | Plant     | Pteridophyta               | -89800000     | -83500000    | <>
Camerospongia                            | Animal    | Porifera                   | -89800000     | -86300000    | <>
Campanile                                | Animal    | Mollusca                   | -93500000     | -89300000    | Campanile_(gastropod)
Camptonectes                             | Animal    | Mollusca                   | -201300000    | -66000000    | <>
Canadoceras                              | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Cancellaria                              | Animal    | Mollusca                   | -100500000    | -66000000    | Cancellaria
Cancrinos                                | Animal    | Arthropoda                 | -100500000    | -66000000    | Cancrinos
Canleria                                 | Animal    | Cnidaria                   | -93500000     | -89300000    | <>
Cantharus                                | Animal    | Mollusca                   | -105300000    | -89300000    | Cantharus_(gastropod)
Cantioscyllium                           | Animal    | Chordata                   | -89300000     | -85800000    | Cantioscyllium
Capparites                               | Plant     | Spermatophyta              | -89800000     | -72100000    | <>
Caprina                                  | Animal    | Mollusca                   | -93500000     | -89300000    | Caprina
Caprinula                                | Animal    | Mollusca                   | -99600000     | -89300000    | <>
Caprotina                                | Animal    | Mollusca                   | -93500000     | -89300000    | <>
Capulus                                  | Animal    | Mollusca                   | -100500000    | -66000000    | Capulus
Carcharias                               | Animal    | Chordata                   | -100500000    | -66000000    | Carcharias
Carcineretes                             | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Cardabiodon                              | Animal    | Chordata                   | -89300000     | -83600000    | Cardabiodon
Cardiaster                               | Animal    | Echinodermata              | -100500000    | -66000000    | <>
Cardiotaxis                              | Animal    | Echinodermata              | -93500000     | -89300000    | <>
Cardita                                  | Animal    | Mollusca                   | -89800000     | -86300000    | Cardita
Cardium                                  | Animal    | Mollusca                   | -89800000     | -83600000    | Cardium
Caricella                                | Animal    | Mollusca                   | -89300000     | -85800000    | <>
Carinacaris                              | Animal    | Arthropoda                 | -145000000    | -66000000    | Carinacaris
Carneithyris                             | Animal    | Brachiopoda                | -145000000    | -66000000    | <>
Carota                                   | Animal    | Mollusca                   | -89800000     | -86300000    | Carota
Carpiliopsis                             | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Carpopenaeus                             | Animal    | Arthropoda                 | -145000000    | -66000000    | Carpopenaeus
Caryocorbula                             | Animal    | Mollusca                   | -89800000     | -86300000    | Caryocorbula
Caryophyllia                             | Animal    | Cnidaria                   | -100500000    | -66000000    | Caryophyllia
Caryosmilia                              | Animal    | Cnidaria                   | -89800000     | -86300000    | <>
Cataceramus                              | Animal    | Mollusca                   | -89800000     | -86300000    | <>
Catenoleimus                             | Animal    | Chordata                   | -100500000    | -66000000    | Catenoleimus
Catopygus                                | Animal    | Echinodermata              | -100500000    | -66000000    | Catopygus
Cavaspongia                              | Micro     | Radiolaria                 | -89300000     | -83500000    | <>
Cayeuxia                                 | Micro     | Cyanobacteria              | -89300000     | -66000000    | <>
Cedaromys                                | Animal    | Chordata                   | -89300000     | -85800000    | Cedaromys
Cederstroemia                            | Animal    | Chordata                   | -89800000     | -86300000    | <>
