Carbocyrtina                             | Animal    | Brachiopoda                | -346700000    | -330900000   | <>
Carbonocoryphe                           | Animal    | Arthropoda                 | -346700000    | -330900000   | <>
Carbonoproetus                           | Animal    | Arthropoda                 | -353800000    | -345300000   | <>
Carcharopsis                             | Animal    | Chordata                   | -336000000    | -326400000   | <>
Carcinophyllum                           | Animal    | Cnidaria                   | -336000000    | -323200000   | <>
Cardiomorpha                             | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Cardiopteridium                          | Plant     | Pteridophyta               | -339400000    | -336000000   | <>
Carinostrobus                            | Plant     | Lycophyta                  | -358900000    | -298900000   | <>
Carlinia                                 | Animal    | Brachiopoda                | -339400000    | -314600000   | <>
Carlopsocrinus                           | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Carruthersella                           | Animal    | Cnidaria                   | -336000000    | -323200000   | <>
Casineria                                | Animal    | Chordata                   | -339400000    | -336000000   | Casineria
Catillocrinus                            | Animal    | Echinodermata              | -345300000    | -342800000   | <>
Caulopteris                              | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Caunopora                                | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Cavellina                                | Animal    | Arthropoda                 | -339400000    | -314600000   | <>
Cavusgnathus                             | Animal    | Chordata                   | -336000000    | -314600000   | Cavusgnathus
Celox                                    | Animal    | Mollusca                   | -339400000    | -326400000   | Celox
Centromachus                             | Animal    | Arthropoda                 | -346700000    | -330900000   | <>
Centronella                              | Animal    | Brachiopoda                | -353800000    | -342800000   | <>
Ceratoikiscum                            | Micro     | Radiolaria                 | -345300000    | -345000000   | <>
Ceraunocochlis                           | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Cerithioides                             | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Cestocrinus                              | Animal    | Echinodermata              | -353800000    | -342800000   | <>
Chaenocardia                             | Animal    | Mollusca                   | -353800000    | -345300000   | <>
Chaenocardiola                           | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Chaetetes                                | Animal    | Porifera                   | -336000000    | -326400000   | Chaetetes
Chaetetipora                             | Animal    | Porifera                   | -336000000    | -323200000   | <>
Chaloneria                               | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Chaoiella                                | Animal    | Brachiopoda                | -358900000    | -298900000   | <>
Cheilotrypa                              | Animal    | Bryozoa                    | -345300000    | -342800000   | <>
Cheirodopsis                             | Animal    | Chordata                   | -345000000    | -342800000   | Cheirodopsis
Cheirostrobus                            | Plant     | Coniferophyta              | -339400000    | -336000000   | <>
Chenilleophycus                          | Plant     | Rhodophyta                 | -346700000    | -330900000   | <>
Chirodus                                 | Animal    | Chordata                   | -358900000    | -323200000   | <>
Chlidanophyton                           | Plant     | Pteridophyta               | -358900000    | -342800000   | <>
Chlupacula                               | Animal    | Arthropoda                 | -353800000    | -345300000   | <>
Choctawites                              | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Chomatodus                               | Animal    | Chordata                   | -345300000    | -342800000   | Chomatodus
Chondrenchelys                           | Animal    | Chordata                   | -345000000    | -342800000   | Chondrenchelys
Chonetes                                 | Animal    | Brachiopoda                | -336000000    | -326400000   | Chonetes
Chonetinella                             | Animal    | Brachiopoda                | -358900000    | -298900000   | <>
Chonetipustula                           | Animal    | Brachiopoda                | -339400000    | -336000000   | <>
Choristites                              | Animal    | Brachiopoda                | -358900000    | -323200000   | <>
Cimitaria                                | Animal    | Mollusca                   | -345000000    | -336000000   | <>
Cinclidonema                             | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Cinctifera                               | Animal    | Brachiopoda                | -339400000    | -336000000   | <>
Cladochonus                              | Animal    | Cnidaria                   | -336000000    | -326400000   | Cladochonus
Cladodus                                 | Animal    | Chordata                   | -345000000    | -336000000   | Cladodus
Cladoxylon                               | Plant     | Tracheophyta               | -358900000    | -323200000   | <>
Clausotrypa                              | Animal    | Bryozoa                    | -339400000    | -336000000   | Clausotrypa
Clavallus                                | Animal    | Echinodermata              | -358900000    | -342800000   | <>
Claviphyllum                             | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Cleiothyridina                           | Animal    | Brachiopoda                | -336000000    | -318100000   | Cleiothyridina
Cleistopora                              | Animal    | Cnidaria                   | -358900000    | -298900000   | <>
Cleodictya                               | Animal    | Porifera                   | -345300000    | -342800000   | <>
Clepsydropsis                            | Plant     | Pteridophyta               | -358900000    | -323200000   | <>
Climacammina                             | Micro     | Foraminifera               | -336000000    | -326400000   | <>
Clinopistha                              | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Cliotrypa                                | Animal    | Bryozoa                    | -345300000    | -342800000   | <>
Clisiophyllum                            | Animal    | Cnidaria                   | -336000000    | -323200000   | <>
Clwydia                                  | Plant     | Pteridophyta               | -346700000    | -330900000   | <>
Clydagnathus                             | Animal    | Chordata                   | -358900000    | -345300000   | Clydagnathus
Coccosteus                               | Animal    | Chordata                   | -358900000    | -323200000   | Coccosteus
Cochliodus                               | Animal    | Chordata                   | -353800000    | -342800000   | <>
Codaster                                 | Animal    | Echinodermata              | -353800000    | -342800000   | <>
Codonotheca                              | Plant     | Pteridospermophyta         | -358900000    | -298900000   | <>
Coelocaulus                              | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Coelocrinus                              | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Coelogasteroceras                        | Animal    | Mollusca                   | -339400000    | -336000000   | <>
Coelonautilus                            | Animal    | Mollusca                   | -339400000    | -336000000   | <>
Coelosporella                            | Plant     | Chlorophyta                | -358900000    | -323200000   | <>
