Ballardina                               | Animal    | Arthropoda                 | -467300000    | -458400000   | <>
Balticella                               | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Balticopora                              | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Baltiscanella                            | Animal    | Mollusca                   | -463500000    | -460900000   | <>
Baltograptus                             | Animal    | Hemichordata               | -460900000    | -449500000   | <>
Baltoniodus                              | Animal    | Chordata                   | -460900000    | -449500000   | Baltoniodus
Baltonotella                             | Animal    | Arthropoda                 | -460900000    | -455800000   | <>
Baltoplacognathus                        | Animal    | Chordata                   | -463500000    | -460900000   | <>
Bancroftina                              | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Barrandeoceras                           | Animal    | Mollusca                   | -466000000    | -457500000   | Barrandeoceras
Barrandia                                | Animal    | Arthropoda                 | -466000000    | -449500000   | <>
Barrandicella                            | Animal    | Mollusca                   | -466000000    | -466000000   | <>
Basilicus                                | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bassettella                              | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Bassleratia                              | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bassleridiscus                           | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Bassleroceras                            | Animal    | Mollusca                   | -478600000    | -466000000   | Bassleroceras
Bastamorthis                             | Animal    | Brachiopoda                | -467300000    | -458400000   | <>
Batalleria                               | Animal    | Echinodermata              | -460900000    | -457500000   | <>
Batherocystis                            | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Bathmoceras                              | Animal    | Mollusca                   | -463500000    | -460900000   | Bathmoceras
Bathycheilus                             | Animal    | Arthropoda                 | -460900000    | -457500000   | Bathycheilus
Bathyurellus                             | Animal    | Arthropoda                 | -466000000    | -449500000   | <>
Bathyurina                               | Animal    | Arthropoda                 | -466000000    | -460900000   | <>
Bathyurus                                | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Batostoma                                | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Batostomella                             | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Batostomellina                           | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Bavarilla                                | Animal    | Arthropoda                 | -478600000    | -466000000   | Bavarilla
Beatricea                                | Micro     | Radiolaria                 | -460900000    | -443700000   | <>
Bekella                                  | Animal    | Brachiopoda                | -466000000    | -460900000   | <>
Bekkerella                               | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Bekkerina                                | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Bellerophon                              | Animal    | Mollusca                   | -460900000    | -455800000   | Bellerophon
Bellimurina                              | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Belloceras                               | Animal    | Mollusca                   | -466000000    | -463500000   | Belloceras
Bellornatia                              | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Belochthus                               | Animal    | Echinodermata              | -460900000    | -457500000   | <>
Belodella                                | Animal    | Chordata                   | -460900000    | -449500000   | <>
Belodina                                 | Animal    | Chordata                   | -460900000    | -443700000   | <>
Beloitoceras                             | Animal    | Mollusca                   | -460900000    | -443700000   | <>
Belonechitina                            | Micro     | Sarcodina                  | -460900000    | -445600000   | Belonechitina
Benedettia                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Benthamaspis                             | Animal    | Arthropoda                 | -466000000    | -460900000   | Benthamaspis
Bentoceras                               | Animal    | Mollusca                   | -466000000    | -460900000   | <>
Berenicea                                | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Bergamia                                 | Animal    | Arthropoda                 | -466000000    | -460900000   | <>
Bergstroemognathus                       | Animal    | Chordata                   | -467300000    | -458400000   | <>
Besselodus                               | Animal    | Chordata                   | -460900000    | -449500000   | <>
Bettonolithus                            | Animal    | Arthropoda                 | -463500000    | -460900000   | Bettonolithus
Beukeria                                 | Animal    | Mollusca                   | -460900000    | -449500000   | <>
Bevanopsis                               | Animal    | Arthropoda                 | -466000000    | -457500000   | Bevanopsis
Beyrichia                                | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bichilina                                | Animal    | Arthropoda                 | -460900000    | -455800000   | <>
Bicuspina                                | Animal    | Brachiopoda                | -460900000    | -443700000   | <>
Bienvillia                               | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Biernatia                                | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Bighornia                                | Animal    | Cnidaria                   | -460900000    | -449500000   | <>
Billingsaria                             | Animal    | Cnidaria                   | -460900000    | -449500000   | <>
Billingsites                             | Animal    | Mollusca                   | -460900000    | -443700000   | <>
Bilobia                                  | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Bimuria                                  | Animal    | Brachiopoda                | -460900000    | -449500000   | Bimuria
Birmanites                               | Animal    | Arthropoda                 | -460900000    | -449500000   | Birmanites
Biseptata                                | Animal    | Brachiopoda                | -468100000    | -463500000   | <>
Bistomiacystis                           | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Bistramia                                | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Bivia                                    | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Blastoidocrinus                          | Animal    | Echinodermata              | -466000000    | -457500000   | <>
Blosyropsis                              | Animal    | Arthropoda                 | -466000000    | -460900000   | <>
Bockelia                                 | Animal    | Brachiopoda                | -467300000    | -458400000   | <>
Bodenia                                  | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Boeckaspis                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Boedaspis                                | Animal    | Arthropoda                 | -466000000    | -460900000   | <>
Bohemiaecystis                           | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Bohemilla                                | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bohemopyge                               | Animal    | Arthropoda                 | -466000000    | -460900000   | <>
Bokotorthis                              | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Bolbina                                  | Animal    | Arthropoda                 | -460900000    | -455800000   | <>
