Cordylodus                               | Animal    | Chordata                   | -471800000    | -457500000   | Cordylodus
Coreanoceras                             | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cornuodus                                | Animal    | Chordata                   | -471800000    | -468100000   | Cornuodus
Coronocystis                             | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Corrugatagnostus                         | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Corymbograptus                           | Animal    | Hemichordata               | -477700000    | -470000000   | <>
Corynotrypa                              | Animal    | Bryozoa                    | -485400000    | -443400000   | <>
Cosmogoniophorina                        | Animal    | Mollusca                   | -477700000    | -470000000   | <>
Costiconus                               | Animal    | Chordata                   | -471800000    | -457500000   | <>
Cothurnocystis                           | Animal    | Echinodermata              | -477700000    | -470000000   | Cothurnocystis
Cotteroceras                             | Animal    | Mollusca                   | -477700000    | -470000000   | Cotteroceras
Courtessolium                            | Animal    | Arthropoda                 | -477700000    | -470000000   | Courtessolium
Coxiconchia                              | Animal    | Mollusca                   | -471800000    | -466000000   | <>
Crassiorina                              | Animal    | Brachiopoda                | -471800000    | -468100000   | <>
Crepipora                                | Animal    | Bryozoa                    | -478600000    | -468100000   | Crepipora
Cristodus                                | Animal    | Chordata                   | -477700000    | -470000000   | <>
Crossiskenidium                          | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Cryptograptus                            | Animal    | Hemichordata               | -471800000    | -457500000   | <>
Cryptophragmus                           | Animal    | Porifera                   | -485400000    | -443400000   | Cryptophragmus
Cryptophyllus                            | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Ctenodonta                               | Animal    | Mollusca                   | -471800000    | -457500000   | <>
Cullisonia                               | Animal    | Arthropoda                 | -485400000    | -468100000   | <>
Cumberloceras                            | Animal    | Mollusca                   | -485400000    | -471800000   | <>
Cuneamya                                 | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Cuniculocystis                           | Animal    | Echinodermata              | -478600000    | -468100000   | <>
Cuparius                                 | Animal    | Brachiopoda                | -471800000    | -457500000   | <>
Curtoceras                               | Animal    | Mollusca                   | -478600000    | -463500000   | Curtoceras
Curtognathus                             | Animal    | Chordata                   | -471800000    | -457500000   | Curtognathus
Cyathophycus                             | Animal    | Porifera                   | -485400000    | -470000000   | <>
Cybele                                   | Animal    | Arthropoda                 | -471800000    | -468100000   | Cybele
Cybeloides                               | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Cybelopsis                               | Animal    | Arthropoda                 | -471800000    | -457500000   | Cybelopsis
Cybelurus                                | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Cycloceras                               | Animal    | Mollusca                   | -478600000    | -466000000   | Cycloceras
Cyclolituites                            | Animal    | Mollusca                   | -477700000    | -470000000   | <>
Cycloplectoceras                         | Animal    | Mollusca                   | -477700000    | -470000000   | <>
Cyclopyge                                | Animal    | Arthropoda                 | -471800000    | -468100000   | Cyclopyge
Cyclostomiceras                          | Animal    | Mollusca                   | -477700000    | -470000000   | <>
Cymatograptus                            | Animal    | Hemichordata               | -477700000    | -470000000   | <>
Cymatonota                               | Animal    | Mollusca                   | -471800000    | -449500000   | <>
Cymbularia                               | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cypricardinia                            | Animal    | Mollusca                   | -478600000    | -466000000   | Cypricardinia
Cyptendoceras                            | Animal    | Mollusca                   | -478600000    | -463500000   | Cyptendoceras
Cyrbasiotreta                            | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Cyrtendoceras                            | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cyrtobaltoceras                          | Animal    | Mollusca                   | -478600000    | -468100000   | Cyrtobaltoceras
Cyrtodiscus                              | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cyrtodonta                               | Animal    | Mollusca                   | -471800000    | -449500000   | <>
Cyrtodontula                             | Animal    | Mollusca                   | -476800000    | -473900000   | <>
Cyrtolites                               | Animal    | Mollusca                   | -473900000    | -472000000   | Cyrtolites
Cyrtometopus                             | Animal    | Arthropoda                 | -471800000    | -468100000   | Cyrtometopus
Cyrtonotella                             | Animal    | Brachiopoda                | -471800000    | -457500000   | <>
Cyrtonotreta                             | Animal    | Brachiopoda                | -478600000    | -471800000   | <>
Cyrtonybyoceras                          | Animal    | Mollusca                   | -471800000    | -457500000   | Cyrtonybyoceras
Cyrtovaginoceras                         | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cystostroma                              | Animal    | Porifera                   | -485400000    | -470000000   | <>
Dactylocephalus                          | Animal    | Arthropoda                 | -476800000    | -473900000   | <>
Dactylogonia                             | Animal    | Brachiopoda                | -471800000    | -457500000   | <>
