Biffarius                                | Animal    | Arthropoda                 | -11700        | 2030         | Biffarius
Biomphalaria                             | Animal    | Mollusca                   | -11700        | 2030         | Biomphalaria
Bischofia                                | Plant     | Spermatophyta              | -11700        | 2030         | Bischofia
Bison                                    | Animal    | Chordata                   | -11700        | 2030         | Bison
Bithynia                                 | Animal    | Mollusca                   | -11700        | 2030         | Bithynia
Bittiolum                                | Animal    | Mollusca                   | -11700        | 2030         | Bittiolum
Bittium                                  | Animal    | Mollusca                   | -11700        | 2030         | Bittium
Biziura                                  | Animal    | Chordata                   | -11700        | 2030         | Biziura
Blarina                                  | Animal    | Chordata                   | -11700        | 2030         | Blarina
Blastocerus                              | Animal    | Chordata                   | -11700        | 2030         | Blastocerus
Blatta                                   | Animal    | Arthropoda                 | -11700        | 2030         | Blatta
Blattella                                | Animal    | Arthropoda                 | -11700        | 2030         | Blattella
Blechnum                                 | Plant     | Pteridophyta               | -11700        | 2030         | Blechnum
Boa                                      | Animal    | Chordata                   | -11700        | 2030         | Boa_(genus)
Bodianus                                 | Animal    | Chordata                   | -340000       | 2030         | Bodianus
Bolbocranius                             | Animal    | Arthropoda                 | -11700        | 2030         | <>
Bolivina                                 | Micro     | Foraminifera               | -11700        | 2030         | <>
