Calapoecia                               | Animal    | Cnidaria                   | -449500000    | -433400000   | <>
Calceocrinus                             | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Caleidocrinus                            | Animal    | Echinodermata              | -457500000    | -445600000   | Caleidocrinus
Calipernurus                             | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Calix                                    | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Callodonta                               | Animal    | Mollusca                   | -453000000    | -445200000   | <>
Callograptus                             | Animal    | Hemichordata               | -460900000    | -449500000   | Callograptus
Calloporella                             | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Calloporina                              | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Callositella                             | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Calopora                                 | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Calostylis                               | Animal    | Cnidaria                   | -445600000    | -443700000   | <>
Calpichitina                             | Micro     | Rhizopodea                 | -452000000    | -445600000   | <>
Calymene                                 | Animal    | Arthropoda                 | -449500000    | -443700000   | Calymene
Calymenella                              | Animal    | Arthropoda                 | -445600000    | -443700000   | Calymenella
Calymenesun                              | Animal    | Arthropoda                 | -449500000    | -445600000   | <>
Calyptaulax                              | Animal    | Arthropoda                 | -449500000    | -443700000   | Calyptaulax
Camarotoechia                            | Animal    | Brachiopoda                | -453000000    | -445200000   | Camarotoechia
Camellaspongia                           | Animal    | Porifera                   | -460900000    | -449500000   | <>
Camerella                                | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Cameroceras                              | Animal    | Mollusca                   | -449500000    | -443400000   | Cameroceras
Campylorthis                             | Animal    | Brachiopoda                | -449500000    | -445600000   | <>
Canadocystis                             | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Canistrocrinus                           | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Carabocrinus                             | Animal    | Echinodermata              | -449500000    | -443700000   | <>
