Cordania                                 | Animal    | Arthropoda                 | -419200000    | -410800000   | Cordania
Cordatomyonia                            | Animal    | Brachiopoda                | -416000000    | -391900000   | <>
Cordylocrinus                            | Animal    | Echinodermata              | -419200000    | -410800000   | <>
Coremagraptus                            | Animal    | Hemichordata               | -419200000    | -410800000   | <>
Cornikloedenia                           | Animal    | Arthropoda                 | -419200000    | -407600000   | <>
Cornuproetus                             | Animal    | Arthropoda                 | -416000000    | -393300000   | Cornuproetus
Coronocrinus                             | Animal    | Echinodermata              | -419200000    | -410800000   | <>
Cortezorthis                             | Animal    | Brachiopoda                | -419200000    | -391900000   | <>
Corvaspis                                | Animal    | Chordata                   | -419200000    | -410800000   | <>
Corveolepis                              | Animal    | Chordata                   | -419200000    | -410800000   | <>
Corvinopugnax                            | Animal    | Brachiopoda                | -419200000    | -393300000   | <>
Cosmaspis                                | Animal    | Chordata                   | -419200000    | -393300000   | <>
Costellirostra                           | Animal    | Brachiopoda                | -416000000    | -391900000   | <>
Costellispirifer                         | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Costispirifer                            | Animal    | Brachiopoda                | -419200000    | -393300000   | <>
Costulatostyliolina                      | Animal    | Lophotrochozoa             | -419200000    | -387700000   | <>
Cowiedesmus                              | Animal    | Arthropoda                 | -419200000    | -410800000   | Cowiedesmus
Cowielepis                               | Animal    | Chordata                   | -419200000    | -410800000   | Cowielepis
Cranaena                                 | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Crania                                   | Animal    | Brachiopoda                | -419200000    | -410800000   | Crania
Craniops                                 | Animal    | Brachiopoda                | -419200000    | -358900000   | Craniops
Crassimarginata                          | Animal    | Mollusca                   | -416000000    | -393300000   | <>
Crispoceras                              | Animal    | Mollusca                   | -419200000    | -387700000   | <>
Crotalocephalina                         | Animal    | Arthropoda                 | -419200000    | -382700000   | Crotalocephalina
Crotalocrinites                          | Animal    | Echinodermata              | -412300000    | -409100000   | Crotalocrinites
Cryptonella                              | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Ctenaspis                                | Animal    | Chordata                   | -419200000    | -410800000   | Ctenaspis
Ctenochonetes                            | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Ctenocrinus                              | Animal    | Echinodermata              | -419200000    | -407600000   | <>
Ctenodonta                               | Animal    | Mollusca                   | -419200000    | -393300000   | <>
Ctenoloculina                            | Animal    | Arthropoda                 | -419200000    | -358900000   | <>
Cupressocrinites                         | Animal    | Echinodermata              | -419200000    | -407600000   | Cupressocrinites
Cupularostrum                            | Animal    | Brachiopoda                | -416000000    | -391900000   | <>
Cupulocrinus                             | Animal    | Echinodermata              | -419200000    | -410800000   | <>
Cyathaspis                               | Animal    | Chordata                   | -419200000    | -410800000   | Cyathaspis
Cyathophyllum                            | Animal    | Cnidaria                   | -419200000    | -358900000   | <>
Cyclocyclicus                            | Animal    | Echinodermata              | -419200000    | -407600000   | <>
Cyclocyrtonella                          | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Cyclodiscaspis                           | Animal    | Chordata                   | -419200000    | -410800000   | <>
Cyclonema                                | Animal    | Mollusca                   | -419200000    | -358900000   | Cyclonema
Cyclotrypa                               | Animal    | Bryozoa                    | -419200000    | -410800000   | <>
Cymostrophia                             | Animal    | Brachiopoda                | -412300000    | -409100000   | <>
Cyphaspides                              | Animal    | Arthropoda                 | -419200000    | -387700000   | <>
Cyphaspis                                | Animal    | Arthropoda                 | -419200000    | -410800000   | Cyphaspis
Cypricardella                            | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Cypricardinia                            | Animal    | Mollusca                   | -419200000    | -382700000   | Cypricardinia
Cypridina                                | Animal    | Arthropoda                 | -419200000    | -407600000   | <>
Cyrtina                                  | Animal    | Brachiopoda                | -412300000    | -409100000   | <>
Cyrtinaella                              | Animal    | Brachiopoda                | -412300000    | -409100000   | <>
Cyrtinopsis                              | Animal    | Brachiopoda                | -419200000    | -393300000   | <>
Cyrtoniscus                              | Animal    | Brachiopoda                | -412300000    | -409100000   | <>
Cyrtosymboloides                         | Animal    | Arthropoda                 | -419200000    | -387700000   | <>
Cystelasma                               | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Cystihalysites                           | Animal    | Cnidaria                   | -443400000    | -358900000   | <>
Cystiphylloides                          | Animal    | Cnidaria                   | -412300000    | -409100000   | <>
Cystiphyllum                             | Animal    | Cnidaria                   | -419200000    | -410800000   | <>
Cystiramus                               | Animal    | Bryozoa                    | -419200000    | -410800000   | <>
