Cypricardinia                            | Animal    | Mollusca                   | -433400000    | -427400000   | Cypricardinia
Cypridina                                | Animal    | Arthropoda                 | -433400000    | -419200000   | <>
Cyrtia                                   | Animal    | Brachiopoda                | -433400000    | -419200000   | <>
Cyrtina                                  | Animal    | Brachiopoda                | -433400000    | -423000000   | <>
Cyrtoceras                               | Animal    | Mollusca                   | -433400000    | -423000000   | Cyrtoceras
Cyrtodonta                               | Animal    | Mollusca                   | -433400000    | -423000000   | <>
Cyrtodontula                             | Animal    | Mollusca                   | -443400000    | -419200000   | <>
Cyrtograptus                             | Animal    | Hemichordata               | -433400000    | -423000000   | Cyrtograptus
Cyrtolites                               | Animal    | Mollusca                   | -433400000    | -427400000   | Cyrtolites
Cyrtorizoceras                           | Animal    | Mollusca                   | -438500000    | -427400000   | <>
Cyrtospira                               | Animal    | Mollusca                   | -433400000    | -423000000   | <>
Cyrtostropha                             | Animal    | Mollusca                   | -433400000    | -430500000   | <>
Cystihalysites                           | Animal    | Cnidaria                   | -433400000    | -423000000   | <>
Cystiphyllum                             | Animal    | Cnidaria                   | -433400000    | -423000000   | <>
Cystocerium                              | Animal    | Porifera                   | -433400000    | -427400000   | <>
Cytocrinus                               | Animal    | Echinodermata              | -433400000    | -423000000   | <>
Dactylogonia                             | Animal    | Brachiopoda                | -433400000    | -430500000   | <>
Dalejina                                 | Animal    | Brachiopoda                | -433400000    | -419200000   | <>
Dalmanella                               | Animal    | Brachiopoda                | -433400000    | -391900000   | <>
Dalmanites                               | Animal    | Arthropoda                 | -433400000    | -419200000   | Dalmanites
Dalmanophyllum                           | Animal    | Cnidaria                   | -433400000    | -427400000   | <>
Dapsilodus                               | Animal    | Chordata                   | -433400000    | -423000000   | <>
Dasycladacea                             | Plant     | Chlorophyta                | -438500000    | -430500000   | Dasycladacea
Dawsonoceras                             | Animal    | Mollusca                   | -433400000    | -423000000   | <>
Dazhucrinus                              | Animal    | Echinodermata              | -433400000    | -427400000   | <>
Decaschisma                              | Animal    | Echinodermata              | -433400000    | -427400000   | <>
