Amphicyon                                | Animal    | Chordata                   | -16900000     | -15970000    | Amphicyon
Amphilagus                               | Animal    | Chordata                   | -16900000     | -15970000    | <>
Amphimoschus                             | Animal    | Chordata                   | -16900000     | -15970000    | <>
Amphiope                                 | Animal    | Echinodermata              | -20440000     | -15970000    | <>
Amphioplus                               | Animal    | Echinodermata              | -23030000     | -5333000     | <>
Amphiperatherium                         | Animal    | Chordata                   | -16900000     | -15970000    | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -20440000     | -13820000    | Amphiroa
Amphisorus                               | Micro     | Foraminifera               | -23030000     | -15970000    | <>
Amphistegina                             | Micro     | Foraminifera               | -20440000     | -13820000    | Amphistegina
Amphitragulus                            | Animal    | Chordata                   | -16900000     | -15970000    | Amphitragulus
Ampullina                                | Animal    | Mollusca                   | -20440000     | -11620000    | Ampullina
Ampullinopsis                            | Animal    | Mollusca                   | -20440000     | -11620000    | Ampullinopsis
Ampullonatica                            | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Amusium                                  | Animal    | Mollusca                   | -20440000     | -11620000    | Amusium
Amussiopecten                            | Animal    | Mollusca                   | -20440000     | -15970000    | <>
Amyclina                                 | Animal    | Mollusca                   | -23030000     | -11608000    | <>
Amygdalum                                | Animal    | Mollusca                   | -19000000     | -15900000    | Amygdalum
Anabernicula                             | Animal    | Chordata                   | -23030000     | -2588000     | Anabernicula
Anacaena                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | Anacaena
Anacardites                              | Plant     | Spermatophyta              | -23030000     | -2588000     | <>
Anacardium                               | Plant     | Spermatophyta              | -33900000     | -5333000     | Anacardium
Anachalcos                               | Animal    | Arthropoda                 | -20440000     | -15970000    | Anachalcos
Anachis                                  | Animal    | Mollusca                   | -20440000     | -15970000    | Anachis
Anacithara                               | Animal    | Mollusca                   | -19000000     | -15900000    | Anacithara
Anadara                                  | Animal    | Mollusca                   | -20440000     | -13820000    | Anadara
Anaides                                  | Animal    | Arthropoda                 | -20440000     | -13820000    | Anaides
Anancus                                  | Animal    | Chordata                   | -23030000     | -11700       | Anancus
Anantiosodon                             | Animal    | Chordata                   | -17500000     | -16300000    | <>
Anapagurus                               | Animal    | Arthropoda                 | -23030000     | -2588000     | <>
Anapepta                                 | Animal    | Mollusca                   | -19000000     | -15900000    | <>
Anaphes                                  | Animal    | Arthropoda                 | -23030000     | -15970000    | Anaphes
Anaplecta                                | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Anargyrolagus                            | Animal    | Chordata                   | -21000000     | -17500000    | <>
Anarthropora                             | Animal    | Bryozoa                    | -19000000     | -15900000    | <>
Anas                                     | Animal    | Chordata                   | -23030000     | -15970000    | Anas
Anasinopa                                | Animal    | Chordata                   | -20440000     | -15970000    | <>
Anathitus                                | Animal    | Chordata                   | -17500000     | -16300000    | <>
Anatina                                  | Animal    | Mollusca                   | -20440000     | -15970000    | Anatina
Anaulus                                  | Plant     | Ochrophyta                 | -23030000     | -13820000    | <>
Anaxipha                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | Anaxipha
Anazola                                  | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Anbarrhacus                              | Animal    | Arthropoda                 | -23030000     | -15970000    | Anbarrhacus
Anchitheriomys                           | Animal    | Chordata                   | -20430000     | -15970000    | Anchitheriomys
Anchitherium                             | Animal    | Chordata                   | -16900000     | -13650000    | Anchitherium
Anchoa                                   | Animal    | Chordata                   | -19000000     | -15900000    | Anchoa
Anchonus                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | Anchonus
Ancilla                                  | Animal    | Mollusca                   | -20440000     | -15970000    | Ancilla
Ancistrolepis                            | Animal    | Mollusca                   | -23030000     | -11608000    | Ancistrolepis
Ancylus                                  | Animal    | Mollusca                   | -16900000     | -15970000    | Ancylus
Andegameryx                              | Animal    | Chordata                   | -20000000     | -13650000    | Andegameryx
Andonia                                  | Animal    | Mollusca                   | -20440000     | -15970000    | <>
Andrewsimys                              | Animal    | Chordata                   | -22400000     | -20000000    | <>
Andrias                                  | Animal    | Chordata                   | -16900000     | -15970000    | Andrias
Andromeda                                | Plant     | Spermatophyta              | -23030000     | -15970000    | Andromeda
Anechura                                 | Animal    | Arthropoda                 | -20440000     | -15970000    | Anechura
Anelaphus                                | Animal    | Arthropoda                 | -20440000     | -13820000    | Anelaphus
Anelosimus                               | Animal    | Arthropoda                 | -20440000     | -13820000    | Anelosimus
Anenchelum                               | Animal    | Chordata                   | -23030000     | -15970000    | <>
Aneurus                                  | Animal    | Arthropoda                 | -20440000     | -15970000    | Aneurus
Aneurystoma                              | Animal    | Mollusca                   | -20440000     | -15970000    | <>
Angaria                                  | Animal    | Mollusca                   | -20440000     | -15970000    | Angaria
Anguis                                   | Animal    | Chordata                   | -20000000     | -16900000    | Anguis
Anguispira                               | Animal    | Mollusca                   | -28400000     | -15970000    | Anguispira
