Cetiosaurus                              | Animal    | Chordata                   | -167700000    | -164700000   | Cetiosaurus
Changchengopterus                        | Animal    | Chordata                   | -167700000    | -150800000   | Changchengopterus
Changdusaurus                            | Animal    | Chordata                   | -174100000    | -163500000   | Changdusaurus
Changetisaurus                           | Animal    | Chordata                   | -167700000    | -164700000   | <>
Changpeipus                              | Animal    | Chordata                   | -174100000    | -163500000   | Changpeipus
Chaoborites                              | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Chariocrinus                             | Animal    | Echinodermata              | -167700000    | -164700000   | <>
Charlottea                               | Micro     | Radiolaria                 | -167700000    | -164700000   | <>
Charltonithyris                          | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Chartrionella                            | Animal    | Mollusca                   | -168300000    | -166100000   | <>
Chartronella                             | Animal    | Mollusca                   | -168300000    | -166100000   | <>
Cheniothyris                             | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Cherwellia                               | Animal    | Chordata                   | -168300000    | -166100000   | Cherwellia
Chimaerocoleites                         | Animal    | Arthropoda                 | -168300000    | -166100000   | <>
Chiton                                   | Animal    | Mollusca                   | -168300000    | -166100000   | Chiton
Chlamys                                  | Animal    | Mollusca                   | -167700000    | -161200000   | Chlamys
Choffatia                                | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Choffatiasphinctes                       | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Chomatoseris                             | Animal    | Cnidaria                   | -167700000    | -161200000   | <>
Chondroceras                             | Animal    | Mollusca                   | -170300000    | -166100000   | Chondroceras
Chorilingia                              | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Chunerpeton                              | Animal    | Chordata                   | -167700000    | -150800000   | Chunerpeton
Cicadocoris                              | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Cicatricosisporites                      | Plant     | Pteridophyta               | -168300000    | -157300000   | <>
Cicatricososporites                      | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Cidaris                                  | Animal    | Echinodermata              | -168300000    | -166100000   | Cidaris
Cimoliocentrum                           | Animal    | Mollusca                   | -168300000    | -166100000   | <>
Cinemala                                 | Animal    | Arthropoda                 | -170300000    | -166100000   | Cinemala
Cingulatisporites                        | Plant     | Pteridophyta               | -201300000    | -145000000   | <>
Cinguloturris                            | Micro     | Radiolaria                 | -167700000    | -161200000   | <>
Citharina                                | Micro     | Foraminifera               | -168300000    | -166100000   | <>
Cladocora                                | Animal    | Cnidaria                   | -167700000    | -164700000   | Cladocora
Cladophlebis                             | Plant     | Pteridophyta               | -168300000    | -157300000   | Cladophlebis
Cladophyllia                             | Animal    | Cnidaria                   | -167700000    | -164700000   | <>
Cladotheca                               | Plant     | Pteridophyta               | -174100000    | -163500000   | <>
Classopollis                             | Plant     | Coniferophyta              | -167700000    | -164700000   | <>
Clathropteris                            | Plant     | Pteridophyta               | -168300000    | -166100000   | <>
Clausastrea                              | Animal    | Cnidaria                   | -168300000    | -166100000   | <>
Clydomphalites                           | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Clydoniceras                             | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Clypeus                                  | Animal    | Arthropoda                 | -170300000    | -166100000   | Clypeus
Clypeus                                  | Animal    | Echinodermata              | -168300000    | -163500000   | Clypeus
Cnemidiastrum                            | Animal    | Porifera                   | -167700000    | -164700000   | <>
Cobbanites                               | Animal    | Mollusca                   | -168300000    | -166100000   | Cobbanites
Coccinellophana                          | Animal    | Arthropoda                 | -168300000    | -166100000   | <>
Codonosmilia                             | Animal    | Cnidaria                   | -168300000    | -161200000   | Codonosmilia
Coelastarte                              | Animal    | Mollusca                   | -168300000    | -166100000   | <>
Coeloceras                               | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Coelodus                                 | Animal    | Chordata                   | -167700000    | -164700000   | Coelodus
Coelopis                                 | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Coelopus                                 | Animal    | Arthropoda                 | -201300000    | -145000000   | Coelopus
Coelosmilia                              | Animal    | Cnidaria                   | -167700000    | -164700000   | <>
Coelostylina                             | Animal    | Mollusca                   | -174100000    | -163500000   | <>
Coelurosaurichnus                        | Animal    | Chordata                   | -174100000    | -145000000   | Coelurosaurichnus
Coenastraea                              | Animal    | Cnidaria                   | -167700000    | -161200000   | <>
Coleia                                   | Animal    | Arthropoda                 | -201300000    | -145000000   | Coleia
Coleopteron                              | Animal    | Arthropoda                 | -168300000    | -166100000   | <>
Collignonastraea                         | Animal    | Cnidaria                   | -167700000    | -161200000   | <>
Collyrites                               | Animal    | Echinodermata              | -167700000    | -164700000   | <>
Colpotoria                               | Animal    | Brachiopoda                | -167700000    | -164700000   | <>
Colymbosaurus                            | Animal    | Chordata                   | -167700000    | -164700000   | Colymbosaurus
Comophyllia                              | Animal    | Cnidaria                   | -167700000    | -164700000   | Comophyllia
Comoseris                                | Animal    | Cnidaria                   | -168300000    | -166100000   | <>
Complexastrea                            | Animal    | Cnidaria                   | -167700000    | -164700000   | <>
Comptoniaster                            | Animal    | Echinodermata              | -171600000    | -167700000   | <>
