Bibiticen                                | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Bignonites                               | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Bilineariselater                         | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Binkhorstia                              | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Biretisporites                           | Plant     | Pteridophyta               | -129400000    | -113000000   | <>
Bistarkum                                | Micro     | Radiolaria                 | -130000000    | -122460000   | <>
Blattula                                 | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Bleytonella                              | Animal    | Mollusca                   | -125450000    | -122460000   | <>
Boholdoya                                | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Bolbonectes                              | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Bolivinopsis                             | Micro     | Foraminifera               | -125450000    | -122460000   | <>
Bolong                                   | Animal    | Chordata                   | -125450000    | -122460000   | Bolong
Boreopeltis                              | Animal    | Mollusca                   | -125450000    | -122460000   | Boreopeltis
Boreopterus                              | Animal    | Chordata                   | -129400000    | -122460000   | Boreopterus
Botryococcus                             | Plant     | Chlorophyta                | -139800000    | -125000000   | Botryococcus
Boubeithyris                             | Animal    | Brachiopoda                | -129400000    | -125000000   | <>
Boueina                                  | Plant     | Chlorophyta                | -125450000    | -122460000   | <>
Braarudosphaera                          | Plant     | Haptophyta                 | -129400000    | -125000000   | <>
Brachauchenius                           | Animal    | Chordata                   | -130000000    | -125450000   | Brachauchenius
Brachidontes                             | Animal    | Mollusca                   | -125450000    | -122460000   | Brachidontes
Brachymeandra                            | Animal    | Cnidaria                   | -125450000    | -122460000   | <>
Brachyoxyela                             | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Brachyoxylon                             | Plant     | Coniferophyta              | -125450000    | -122460000   | <>
Brachyphyllum                            | Plant     | Pinopsida                  | -129400000    | -125000000   | Brachyphyllum
Brachysyntexis                           | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Brachyzapfes                             | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Branchiocarcinus                         | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Brannerion                               | Animal    | Chordata                   | -145000000    | -100500000   | Brannerion
