Alvania                                  | Animal    | Mollusca                   | -56000000     | -47800000    | Alvania
Alveinus                                 | Animal    | Mollusca                   | -56000000     | -47800000    | <>
Alveojunctus                             | Animal    | Chordata                   | -50300000     | -46200000    | <>
Alveolina                                | Micro     | Foraminifera               | -48600000     | -37200000    | Alveolina
Alveopora                                | Animal    | Cnidaria                   | -55800000     | -48600000    | Alveopora
Amaea                                    | Animal    | Mollusca                   | -55800000     | -53000000    | <>
Amalaberga                               | Animal    | Arthropoda                 | -48600000     | -40400000    | <>
Amalda                                   | Animal    | Mollusca                   | -56000000     | -47800000    | Amalda
Amananulam                               | Animal    | Chordata                   | -61700000     | -55800000    | <>
Amara                                    | Animal    | Arthropoda                 | -56000000     | -47800000    | Amara
Amaramnis                                | Animal    | Chordata                   | -55800000     | -50300000    | <>
Amar                                     | Animal    | Chordata                   | -58700000     | -55800000    | Amar
Amaurellina                              | Animal    | Mollusca                   | -48600000     | -33900000    | <>
Amauropsella                             | Animal    | Mollusca                   | -56000000     | -47800000    | <>
Amauropsina                              | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Amauropsis                               | Animal    | Mollusca                   | -48600000     | -37200000    | Amauropsis
Ambloctonus                              | Animal    | Chordata                   | -55800000     | -48600000    | <>
Amblygoniolepidus                        | Animal    | Chordata                   | -48600000     | -33900000    | <>
Amblyochara                              | Plant     | Charophyta                 | -59200000     | -47800000    | <>
Amblypygus                               | Animal    | Echinodermata              | -48600000     | -37200000    | <>
Ameghinomya                              | Animal    | Mollusca                   | -56000000     | -5333000     | <>
Ameghinornis                             | Animal    | Chordata                   | -56000000     | -15970000    | Ameghinornis
Amekicythara                             | Animal    | Mollusca                   | -56000000     | -33900000    | <>
Ameranella                               | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Amia                                     | Animal    | Chordata                   | -50300000     | -46200000    | Amia
Amiantis                                 | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Amitabha                                 | Animal    | Chordata                   | -50300000     | -46200000    | <>
Ammannia                                 | Plant     | Spermatophyta              | -56000000     | -47800000    | Ammannia
Ammoanita                                | Micro     | Foraminifera               | -58700000     | -55800000    | <>
Ammobaculites                            | Micro     | Foraminifera               | -48600000     | -37200000    | <>
Ammodiscus                               | Micro     | Foraminifera               | -55800000     | -37200000    | Ammodiscus
Ammonia                                  | Micro     | Foraminifera               | -55800000     | -37200000    | <>
Ammonicera                               | Animal    | Mollusca                   | -56000000     | -47800000    | Ammonicera
Amotapus                                 | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Ampelopsis                               | Plant     | Spermatophyta              | -48600000     | -37200000    | Ampelopsis
Ampheristus                              | Animal    | Chordata                   | -49500000     | -46200000    | Ampheristus
Amphiblestrum                            | Animal    | Bryozoa                    | -55800000     | -48600000    | <>
Amphibolus                               | Animal    | Arthropoda                 | -48600000     | -40400000    | <>
Amphicraspedum                           | Micro     | Radiolaria                 | -56000000     | -47800000    | <>
Amphidolops                              | Animal    | Chordata                   | -55800000     | -48000000    | <>
Amphidonta                               | Animal    | Mollusca                   | -56000000     | -47800000    | <>
Amphientomum                             | Animal    | Arthropoda                 | -55800000     | -48600000    | <>
Amphigyion                               | Animal    | Chordata                   | -55800000     | -48600000    | <>
Amphiperatherium                         | Animal    | Chordata                   | -48600000     | -40400000    | <>
Amphiplaga                               | Animal    | Chordata                   | -55800000     | -50300000    | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -48600000     | -33900000    | Amphiroa
Amphisphaera                             | Micro     | Radiolaria                 | -58700000     | -55800000    | <>
Amphistegina                             | Micro     | Foraminifera               | -55800000     | -37200000    | Amphistegina
Amphistium                               | Animal    | Chordata                   | -56000000     | -47800000    | Amphistium
Amphitragulus                            | Animal    | Chordata                   | -56000000     | -33900000    | Amphitragulus
Ampholophus                              | Animal    | Chordata                   | -55800000     | -48600000    | <>
Amphorometra                             | Animal    | Echinodermata              | -56000000     | -47800000    | <>
Ampulicomorpha                           | Animal    | Arthropoda                 | -55800000     | -48600000    | Ampulicomorpha
Ampullina                                | Animal    | Mollusca                   | -48600000     | -37200000    | Ampullina
Ampullinopsis                            | Animal    | Mollusca                   | -48600000     | -37200000    | Ampullinopsis
Amuletum                                 | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Amusium                                  | Animal    | Mollusca                   | -56000000     | -47800000    | Amusium
Amyda                                    | Animal    | Chordata                   | -50300000     | -46200000    | Amyda
Amydrocarcinus                           | Animal    | Arthropoda                 | -55800000     | -37200000    | <>
Amygdalum                                | Animal    | Mollusca                   | -55800000     | -48600000    | Amygdalum
Amynodon                                 | Animal    | Chordata                   | -48600000     | -33900000    | <>
Amynodontopsis                           | Animal    | Chordata                   | -48600000     | -37200000    | <>
Anacardites                              | Plant     | Spermatophyta              | -55800000     | -5333000     | <>
Anacardium                               | Plant     | Spermatophyta              | -55800000     | -23030000    | Anacardium
Anaclinia                                | Animal    | Arthropoda                 | -50300000     | -46200000    | <>
Anacodon                                 | Animal    | Chordata                   | -55800000     | -48600000    | <>
Anacolosidites                           | Plant     | Spermatophyta              | -48600000     | -37200000    | <>
Anadara                                  | Animal    | Mollusca                   | -48600000     | -37200000    | Anadara
Anadianomys                              | Animal    | Chordata                   | -48600000     | -37200000    | <>
Anapteris                                | Animal    | Mollusca                   | -55800000     | -48600000    | <>
Anaptomorphus                            | Animal    | Chordata                   | -50300000     | -46200000    | <>
Anatalavis                               | Animal    | Chordata                   | -56000000     | -47800000    | Anatalavis
Anatella                                 | Animal    | Arthropoda                 | -50300000     | -46200000    | Anatella
Anatolikos                               | Animal    | Arthropoda                 | -48600000     | -37200000    | Anatolikos
Anatolimys                               | Animal    | Chordata                   | -56000000     | -47800000    | <>
Anatolostylops                           | Animal    | Chordata                   | -55800000     | -48600000    | <>
Anatoma                                  | Animal    | Mollusca                   | -55800000     | -53000000    | Anatoma
Anazola                                  | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Anchilophus                              | Animal    | Chordata                   | -48600000     | -40400000    | <>
Anchomomys                               | Animal    | Chordata                   | -48600000     | -37200000    | Anchomomys
Ancilla                                  | Animal    | Mollusca                   | -48600000     | -37200000    | Ancilla_(gastropod)
Ancillarina                              | Animal    | Mollusca                   | -56000000     | -47800000    | <>
Ancistrodon                              | Animal    | Chordata                   | -56000000     | -47800000    | <>
Anconia                                  | Animal    | Mollusca                   | -48600000     | -37200000    | Anconia
Ancyrona                                 | Animal    | Arthropoda                 | -48600000     | -40400000    | <>
Andersomys                               | Animal    | Chordata                   | -48600000     | -37200000    | <>
Andicula                                 | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Andreella                                | Animal    | Bryozoa                    | -55800000     | -48600000    | <>
Andrewsarchus                            | Animal    | Chordata                   | -48600000     | -37200000    | Andrewsarchus
Anemia                                   | Plant     | Pteridophyta               | -56000000     | -47800000    | Anemia_(plant)
Anemorhysis                              | Animal    | Chordata                   | -50300000     | -46200000    | <>
Anenchelum                               | Animal    | Chordata                   | -56000000     | -47800000    | <>
Aneura                                   | Animal    | Arthropoda                 | -56000000     | -47800000    | Aneura_(fly)
Aneurus                                  | Animal    | Arthropoda                 | -48600000     | -40400000    | Aneurus
Anevrina                                 | Animal    | Arthropoda                 | -66000000     | -37200000    | Anevrina
Angaria                                  | Animal    | Mollusca                   | -48600000     | -37200000    | Angaria_(gastropod)
Anguilloides                             | Animal    | Chordata                   | -56000000     | -47800000    | Anguilloides
Anguis                                   | Animal    | Chordata                   | -55800000     | -48600000    | Anguis
Angulithes                               | Animal    | Mollusca                   | -56000000     | -47800000    | <>
Angulogerina                             | Micro     | Foraminifera               | -55800000     | -37200000    | <>
Angulus                                  | Animal    | Mollusca                   | -56000000     | -33900000    | <>
Anisocycla                               | Animal    | Mollusca                   | -56000000     | -47800000    | Anisocycla
Anisodonta                               | Animal    | Mollusca                   | -56000000     | -47800000    | <>
Anisolambda                              | Animal    | Chordata                   | -55800000     | -48000000    | <>
Anisus                                   | Animal    | Mollusca                   | -50300000     | -46200000    | Anisus
Ankothrips                               | Animal    | Arthropoda                 | -55800000     | -48600000    | <>
Anniealexandria                          | Animal    | Chordata                   | -55800000     | -50300000    | Anniealexandria
Annoticyathus                            | Animal    | Cnidaria                   | -56000000     | -33900000    | <>
Anobium                                  | Animal    | Arthropoda                 | -50300000     | -46200000    | Anobium
Anodonta                                 | Animal    | Mollusca                   | -48600000     | -37200000    | Anodonta
Anodontia                                | Animal    | Mollusca                   | -55800000     | -48600000    | <>
Anolbanolis                              | Animal    | Chordata                   | -55800000     | -50300000    | Anolbanolis
Anomalina                                | Micro     | Foraminifera               | -48600000     | -37200000    | <>
Anomalinoides                            | Micro     | Foraminifera               | -55800000     | -37200000    | <>
Anomalosaepia                            | Animal    | Mollusca                   | -58700000     | -55800000    | <>
Anomia                                   | Animal    | Mollusca                   | -48600000     | -33900000    | Anomia_(bivalve)
Anomotodon                               | Animal    | Chordata                   | -48600000     | -37200000    | Anomotodon
Anonaspermum                             | Plant     | Spermatophyta              | -48600000     | -37200000    | <>
Anosteira                                | Animal    | Chordata                   | -48600000     | -37200000    | Anosteira
Anoxypristis                             | Animal    | Chordata                   | -48600000     | -37200000    | Anoxypristis
Antalis                                  | Animal    | Mollusca                   | -56000000     | -47800000    | Antalis
Antarctodarwinella                       | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Antarctodolops                           | Animal    | Chordata                   | -56000000     | -47800000    | Antarctodolops
Antarctodon                              | Animal    | Chordata                   | -56000000     | -47800000    | Antarctodon
Antarctohoges                            | Animal    | Mollusca                   | -56000000     | -47800000    | <>
Antepithecus                             | Animal    | Chordata                   | -48000000     | -42000000    | <>
Antherophagus                            | Animal    | Arthropoda                 | -50300000     | -46200000    | Antherophagus
Anthonomus                               | Animal    | Arthropoda                 | -50300000     | -46200000    | Anthonomus
Anthracobune                             | Animal    | Chordata                   | -48600000     | -37200000    | Anthracobune
Anthracokeryx                            | Animal    | Chordata                   | -48600000     | -37200000    | Anthracokeryx
Anthraconyx                              | Animal    | Chordata                   | -56000000     | -47800000    | <>
Anthracosenex                            | Animal    | Chordata                   | -48600000     | -37200000    | <>
Anthracosuchus                           | Animal    | Chordata                   | -61700000     | -55800000    | Anthracosuchus
Anthracothema                            | Animal    | Chordata                   | -48600000     | -37200000    | Anthracothema
Anthracotherium                          | Animal    | Chordata                   | -48600000     | -37200000    | Anthracotherium
Anthropornis                             | Animal    | Chordata                   | -56000000     | -41300000    | Anthropornis
Antiacodon                               | Animal    | Chordata                   | -50300000     | -46200000    | <>
Antigonia                                | Animal    | Chordata                   | -49500000     | -46200000    | Antigonia_(fish)
Antiguastrea                             | Animal    | Cnidaria                   | -56000000     | -47800000    | <>
Antillophos                              | Animal    | Mollusca                   | -56000000     | -47800000    | Antillophos
Antillophyllia                           | Animal    | Cnidaria                   | -56000000     | -47800000    | Antillophyllia
Antilloseris                             | Animal    | Cnidaria                   | -56000000     | -33900000    | <>
Antiphloeus                              | Animal    | Arthropoda                 | -55800000     | -48600000    | <>
Antiquiala                               | Animal    | Arthropoda                 | -56000000     | -47800000    | <>
Antofagastia                             | Animal    | Chordata                   | -48000000     | -42000000    | <>
Antonioranina                            | Animal    | Arthropoda                 | -55800000     | -48600000    | <>
Aoriopsis                                | Animal    | Arthropoda                 | -55800000     | -48600000    | Aoriopsis
Apataelurus                              | Animal    | Chordata                   | -48600000     | -37200000    | <>
Apatemys                                 | Animal    | Chordata                   | -50300000     | -46200000    | Apatemys
Apatopygus                               | Animal    | Echinodermata              | -55800000     | -53000000    | <>
Apatosciuravus                           | Animal    | Chordata                   | -55800000     | -50300000    | <>
Apeibopsis                               | Plant     | Spermatophyta              | -56000000     | -47800000    | <>
Apeirodon                                | Animal    | Chordata                   | -48000000     | -42000000    | <>
Aphaena                                  | Animal    | Arthropoda                 | -50300000     | -46200000    | Aphaena
Aphananthe                               | Plant     | Spermatophyta              | -48600000     | -37200000    | Aphananthe
Aphanocyon                               | Animal    | Chordata                   | -58700000     | -55800000    | <>
Aphanus                                  | Animal    | Arthropoda                 | -50300000     | -46200000    | Aphanus
Apheliscus                               | Animal    | Chordata                   | -55800000     | -48600000    | <>
Aphrocallistes                           | Animal    | Porifera                   | -56000000     | -47800000    | Aphrocallistes
Aphronorus                               | Animal    | Chordata                   | -56800000     | -55800000    | <>
Aphrophora                               | Animal    | Arthropoda                 | -56000000     | -47800000    | Aphrophora
Apiculatasporites                        | Plant     | Pteridophyta               | -48600000     | -37200000    | <>
Apiocypraea                              | Animal    | Mollusca                   | -56000000     | -38000000    | <>
Apionion                                 | Animal    | Arthropoda                 | -50300000     | -46200000    | Apionion
Aplexa                                   | Animal    | Mollusca                   | -56000000     | -47800000    | Aplexa
Aplodinotus                              | Animal    | Chordata                   | -48600000     | -37200000    | Aplodinotus
Aplousina                                | Animal    | Bryozoa                    | -48600000     | -37200000    | <>
Apocynophyllum                           | Plant     | Spermatophyta              | -55800000     | -33900000    | <>
Apocynospermum                           | Plant     | Spermatophyta              | -56000000     | -47800000    | <>
Apodops                                  | Animal    | Chordata                   | -58700000     | -48600000    | Apodops
Apodosauriscus                           | Animal    | Chordata                   | -55800000     | -50300000    | <>
Apogon                                   | Animal    | Chordata                   | -48600000     | -37200000    | Apogon
Apogoniscus                              | Animal    | Chordata                   | -56000000     | -47800000    | <>
Aporolepas                               | Animal    | Arthropoda                 | -56000000     | -47800000    | <>
Aporrhais                                | Animal    | Mollusca                   | -55800000     | -48600000    | Aporrhais
Appendicisporites                        | Plant     | Pteridophyta               | -100500000    | -5333000     | <>
Aprionodon                               | Animal    | Chordata                   | -48600000     | -37200000    | <>
Apristurus                               | Animal    | Chordata                   | -56000000     | -41300000    | Apristurus
Arabemys                                 | Animal    | Chordata                   | -58700000     | -48600000    | Arabemys
Arachnopusia                             | Animal    | Bryozoa                    | -55800000     | -48600000    | <>
Aracispermum                             | Plant     | Angiospermae               | -56000000     | -47800000    | <>
Aragolambrus                             | Animal    | Arthropoda                 | -56000000     | -47800000    | <>
Aragonia                                 | Micro     | Foraminifera               | -56000000     | -47800000    | <>
Araliaceoipollenites                     | Plant     | Spermatophyta              | -48600000     | -37200000    | <>
Aralia                                   | Plant     | Spermatophyta              | -48600000     | -37200000    | Aralia
Araliophyllum                            | Plant     | Angiospermae               | -55800000     | -50300000    | <>
Araloselachus                            | Animal    | Chordata                   | -48600000     | -37200000    | <>
Araneus                                  | Animal    | Arthropoda                 | -50300000     | -46200000    | Araneus
Arapahovius                              | Animal    | Chordata                   | -55800000     | -50300000    | <>
Araucariacites                           | Plant     | Pinophyta                  | -100500000    | -33900000    | <>
Araucaria                                | Plant     | Pinophyta                  | -100500000    | -33900000    | Araucaria
Araucarioides                            | Plant     | Pinophyta                  | -55800000     | -48600000    | <>
