Clarkeia                                 | Animal    | Brachiopoda                | -427400000    | -419200000   | Clarkeia
Clathroceras                             | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Clathrodictyella                         | Animal    | Porifera                   | -427400000    | -423000000   | <>
Clathropora                              | Animal    | Bryozoa                    | -443400000    | -422900000   | <>
Clavofabella                             | Animal    | Arthropoda                 | -427400000    | -423000000   | <>
Clematocrinus                            | Animal    | Echinodermata              | -427400000    | -423000000   | <>
Clidophorus                              | Animal    | Mollusca                   | -443400000    | -423000000   | <>
Cliftonia                                | Animal    | Brachiopoda                | -427400000    | -423000000   | Cliftonia
Climacograptus                           | Animal    | Hemichordata               | -443400000    | -419200000   | Climacograptus
Climacospongia                           | Animal    | Porifera                   | -427400000    | -423000000   | <>
Clinoclimacograptus                      | Animal    | Hemichordata               | -443400000    | -419200000   | <>
Clonocrinus                              | Animal    | Echinodermata              | -433400000    | -423000000   | <>
Clorinda                                 | Animal    | Brachiopoda                | -426200000    | -425400000   | Clorinda
Codiacrinus                              | Animal    | Echinodermata              | -427400000    | -423000000   | <>
Codonocheilus                            | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Coelocaulus                              | Animal    | Mollusca                   | -427400000    | -419200000   | <>
Coelocerodontus                          | Animal    | Chordata                   | -427400000    | -425600000   | <>
Coelocyclus                              | Animal    | Mollusca                   | -427400000    | -425600000   | <>
Coelocystis                              | Animal    | Echinodermata              | -433400000    | -423000000   | <>
Coelospira                               | Animal    | Brachiopoda                | -427400000    | -419200000   | <>
Coelozone                                | Animal    | Mollusca                   | -427400000    | -425600000   | <>
Coenites                                 | Animal    | Cnidaria                   | -427400000    | -423000000   | Coenites
Colonograptus                            | Animal    | Hemichordata               | -427400000    | -423000000   | <>
Colpomya                                 | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Columenoceras                            | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Columnaria                               | Animal    | Cnidaria                   | -433400000    | -423000000   | Columnaria
Columnaxon                               | Animal    | Cnidaria                   | -427400000    | -423000000   | <>
Columnostroma                            | Animal    | Porifera                   | -427400000    | -423000000   | <>
Conbathella                              | Animal    | Arthropoda                 | -443400000    | -422900000   | <>
Conchidium                               | Animal    | Brachiopoda                | -427400000    | -423000000   | Conchidium
Condracypris                             | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
