Anthracohelops                           | Animal    | Arthropoda                 | -23030000     | -20440000    | <>
Anthracotherium                          | Animal    | Chordata                   | -28400000     | -15970000    | Anthracotherium
Anthropodyptes                           | Animal    | Chordata                   | -23030000     | -15970000    | Anthropodyptes
Anthropornis                             | Animal    | Chordata                   | -28400000     | -15970000    | Anthropornis
Antidorcas                               | Animal    | Chordata                   | -23030000     | -2588000     | Antidorcas
Antigona                                 | Animal    | Mollusca                   | -23030000     | -15970000    | Antigona
Antiguastrea                             | Animal    | Cnidaria                   | -23030000     | -11620000    | <>
Antillaster                              | Animal    | Echinodermata              | -23030000     | -11608000    | <>
Antillipecten                            | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Antillocyathus                           | Animal    | Cnidaria                   | -23030000     | -11608000    | <>
Antillophos                              | Animal    | Mollusca                   | -23030000     | -15970000    | Antillophos
Antillopsyche                            | Animal    | Arthropoda                 | -23030000     | -15970000    | <>
Antilope                                 | Animal    | Chordata                   | -23030000     | -5333000     | Antilope
Antimelatoma                             | Animal    | Mollusca                   | -23030000     | -15970000    | Antimelatoma
Antiplanes                               | Animal    | Mollusca                   | -23030000     | -20440000    | Antiplanes
Antisolarium                             | Animal    | Mollusca                   | -21700000     | -19000000    | Antisolarium
Antropora                                | Animal    | Bryozoa                    | -23030000     | -15970000    | Antropora
Antrozous                                | Animal    | Chordata                   | -23030000     | -5333000     | Antrozous
Aotearichthys                            | Animal    | Chordata                   | -25200000     | -21700000    | <>
Apalone                                  | Animal    | Chordata                   | -23030000     | -5333000     | Apalone
Apeomys                                  | Animal    | Chordata                   | -28400000     | -22400000    | <>
Aphaenogaster                            | Animal    | Arthropoda                 | -23030000     | -15970000    | Aphaenogaster
Aphanitoma                               | Animal    | Mollusca                   | -23030000     | -15970000    | Aphanitoma
Aphelops                                 | Animal    | Chordata                   | -23030000     | -5333000     | Aphelops
Aphera                                   | Animal    | Mollusca                   | -23030000     | -15970000    | Aphera
Aphodius                                 | Animal    | Arthropoda                 | -23030000     | -15970000    | Aphodius
Aphrocallistes                           | Animal    | Porifera                   | -23030000     | -15970000    | Aphrocallistes
Aphrophora                               | Animal    | Arthropoda                 | -23030000     | -15970000    | Aphrophora
Apiotoma                                 | Animal    | Mollusca                   | -28400000     | -15970000    | Apiotoma
Aplodinotus                              | Animal    | Chordata                   | -23030000     | -15970000    | Aplodinotus
Apocynophyllum                           | Plant     | Spermatophyta              | -23030000     | -11608000    | <>
Apodecter                                | Animal    | Chordata                   | -22400000     | -20000000    | <>
Apodemus                                 | Animal    | Chordata                   | -23030000     | -11700       | Apodemus
Apogon                                   | Animal    | Chordata                   | -23030000     | -15970000    | Apogon
Apolymetis                               | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Aporrhais                                | Animal    | Mollusca                   | -23030000     | -15970000    | Aporrhais
Appendicisporites                        | Plant     | Pteridophyta               | -100500000    | -5333000     | <>
Aprionodon                               | Animal    | Chordata                   | -23030000     | -15970000    | <>
Aprotodon                                | Animal    | Chordata                   | -22400000     | -20000000    | <>
Aquitanastraea                           | Animal    | Cnidaria                   | -23030000     | -20440000    | <>
Aquitanophyllia                          | Animal    | Cnidaria                   | -23030000     | -20440000    | <>
Aquitanoscia                             | Animal    | Arthropoda                 | -23030000     | -15970000    | <>
Arachnopusia                             | Animal    | Bryozoa                    | -21700000     | -19000000    | <>
Aracispermum                             | Plant     | Angiospermae               | -23030000     | -15970000    | <>
Araeodelphis                             | Animal    | Chordata                   | -23030000     | -13820000    | Araeodelphis
Aralia                                   | Plant     | Spermatophyta              | -23030000     | -15970000    | Aralia
Araloselachus                            | Animal    | Chordata                   | -23030000     | -11608000    | <>
Araneus                                  | Animal    | Arthropoda                 | -23030000     | -15970000    | Araneus
Araucariacites                           | Plant     | Pinophyta                  | -23030000     | -11608000    | <>
Araucaria                                | Plant     | Pinophyta                  | -23030000     | -15970000    | Araucaria
Arca                                     | Animal    | Mollusca                   | -23030000     | -11608000    | Arca
Archaeocyon                              | Animal    | Chordata                   | -30800000     | -20430000    | Archaeocyon
Archaeodesmana                           | Animal    | Chordata                   | -23030000     | -5333000     | <>
Archaeogeryon                            | Animal    | Arthropoda                 | -23030000     | -15970000    | Archaeogeryon
Archaeohippus                            | Animal    | Chordata                   | -23030000     | -5333000     | Archaeohippus
Archaeohyrax                             | Animal    | Chordata                   | -29000000     | -21000000    | Archaeohyrax
Archaeolagus                             | Animal    | Chordata                   | -23030000     | -5333000     | <>
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -23030000     | -15970000    | <>
Archaeoparadoxia                         | Animal    | Chordata                   | -23030000     | -20440000    | <>
Archaeophasianus                         | Animal    | Chordata                   | -23030000     | -5333000     | <>
Archaeophylus                            | Animal    | Chordata                   | -29000000     | -21000000    | <>
Archaeoplus                              | Animal    | Chordata                   | -23030000     | -15970000    | <>
