Ceratocephala                            | Animal    | Arthropoda                 | -478600000    | -468100000   | Ceratocephala_(trilobite)
Ceratoleperditia                         | Animal    | Arthropoda                 | -478600000    | -468100000   | <>
Ceratopea                                | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Ceratopeltis                             | Animal    | Arthropoda                 | -478600000    | -468100000   | Ceratopeltis
Ceratopyge                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Ceratreta                                | Animal    | Brachiopoda                | -541000000    | -477700000   | <>
Chaetetes                                | Animal    | Porifera                   | -541000000    | -252170000   | Chaetetes
Changia                                  | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Chaniella                                | Animal    | Brachiopoda                | -485400000    | -477700000   | <>
Chaohuceras                              | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Chapmanopyge                             | Animal    | Arthropoda                 | -485400000    | -468100000   | <>
Charchaqia                               | Animal    | Arthropoda                 | -494000000    | -485000000   | <>
Chauvelicystis                           | Animal    | Echinodermata              | -478600000    | -466000000   | <>
Cheirocrinus                             | Animal    | Echinodermata              | -478600000    | -466000000   | <>
Cheirocystella                           | Animal    | Echinodermata              | -485400000    | -478600000   | <>
Chelodes                                 | Animal    | Mollusca                   | -485400000    | -477700000   | Chelodes
Chepuloceras                             | Animal    | Mollusca                   | -485400000    | -477700000   | <>
Chigraptus                               | Animal    | Hemichordata               | -485400000    | -477700000   | <>
Chihlioceras                             | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Chinianaster                             | Animal    | Echinodermata              | -478600000    | -466000000   | <>
Chirognathus                             | Animal    | Chordata                   | -478600000    | -460900000   | Chirognathus
Chisiloceras                             | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Choiaella                                | Animal    | Porifera                   | -485400000    | -477700000   | Choiaella
Choia                                    | Animal    | Porifera                   | -485400000    | -477700000   | Choia
Chosenia                                 | Animal    | Arthropoda                 | -485400000    | -476800000   | Chosenia
Chosonodina                              | Animal    | Chordata                   | -485400000    | -477700000   | <>
Chuiliella                               | Animal    | Mollusca                   | -485400000    | -477700000   | <>
Ciceragnostus                            | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Cienagomya                               | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Circulocrania                            | Animal    | Arthropoda                 | -478600000    | -466000000   | Circulocrania
Clarkella                                | Animal    | Brachiopoda                | -478600000    | -466000000   | Clarkella
Clarkoceras                              | Animal    | Mollusca                   | -478600000    | -468100000   | Clarkoceras
Clathrospira                             | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Clavohamulus                             | Animal    | Chordata                   | -478600000    | -466000000   | <>
Cleionychia                              | Animal    | Mollusca                   | -478600000    | -471800000   | <>
Clelandia                                | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Clelandoceras                            | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Climacograptus                           | Animal    | Hemichordata               | -478600000    | -460900000   | Climacograptus
Clisospira                               | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Clitambonites                            | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Clitendoceras                            | Animal    | Mollusca                   | -478600000    | -466000000   | Clitendoceras
Cloacaspis                               | Animal    | Arthropoda                 | -488300000    | -471800000   | Cloacaspis
Clonograptus                             | Animal    | Hemichordata               | -478600000    | -466000000   | Clonograptus
Cnemecrinus                              | Animal    | Echinodermata              | -485400000    | -471800000   | <>
Cnemidopyge                              | Animal    | Arthropoda                 | -478600000    | -466000000   | Cnemidopyge
Cochlioceras                             | Animal    | Mollusca                   | -478600000    | -466000000   | Cochlioceras
Codiacystis                              | Animal    | Echinodermata              | -485400000    | -477700000   | <>
Coelocerodontus                          | Animal    | Chordata                   | -478600000    | -466000000   | <>
Colaptoconus                             | Animal    | Chordata                   | -478600000    | -466000000   | Colaptoconus
Colaptomena                              | Animal    | Brachiopoda                | -485400000    | -443400000   | <>
Coleodus                                 | Animal    | Chordata                   | -478600000    | -466000000   | Coleodus
Colinispongia                            | Animal    | Porifera                   | -478600000    | -468100000   | <>
Colobinion                               | Animal    | Arthropoda                 | -478600000    | -466000000   | Colobinion
Colpantyx                                | Animal    | Mollusca                   | -485400000    | -478600000   | <>
Colpocoryphe                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Colpocoryphe
Colpomya                                 | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Columnaria                               | Animal    | Cnidaria                   | -485400000    | -443400000   | Columnaria
Conchoprimitia                           | Animal    | Arthropoda                 | -484500000    | -471800000   | <>
Conocerina                               | Animal    | Mollusca                   | -485400000    | -477700000   | <>
Conodia                                  | Animal    | Mollusca                   | -485400000    | -477700000   | <>
Conophrys                                | Animal    | Arthropoda                 | -478600000    | -471800000   | <>
Conotreta                                | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Contignatiospongia                       | Animal    | Porifera                   | -485400000    | -477700000   | <>
Conularia                                | Animal    | Cnidaria                   | -478600000    | -466000000   | <>
Coopericystis                            | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Cordylodus                               | Animal    | Chordata                   | -478600000    | -460900000   | Cordylodus
Coreanoceras                             | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cornuodus                                | Animal    | Chordata                   | -478600000    | -466000000   | Cornuodus
Coronocystis                             | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Corrugatagnostus                         | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Corymbograptus                           | Animal    | Hemichordata               | -478600000    | -468100000   | <>
Corynoides                               | Animal    | Hemichordata               | -485400000    | -477700000   | <>
Corynotrypa                              | Animal    | Bryozoa                    | -485400000    | -443400000   | <>
Cosmogoniophorina                        | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cothurnocystis                           | Animal    | Echinodermata              | -478600000    | -466000000   | Cothurnocystis
Cotteroceras                             | Animal    | Mollusca                   | -478600000    | -468100000   | Cotteroceras
Coxiconchia                              | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Crepipora                                | Animal    | Bryozoa                    | -478600000    | -468100000   | Crepipora
Cristodus                                | Animal    | Chordata                   | -485400000    | -477700000   | <>
Crossiskenidium                          | Animal    | Brachiopoda                | -478600000    | -468100000   | <>
Cryptograptus                            | Animal    | Hemichordata               | -478600000    | -449500000   | <>
Cryptophragmus                           | Animal    | Porifera                   | -485400000    | -443400000   | Cryptophragmus
Cryptophyllus                            | Animal    | Arthropoda                 | -478600000    | -460900000   | <>
Ctenobolbina                             | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Ctenodonta                               | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cullisonia                               | Animal    | Arthropoda                 | -485400000    | -468100000   | <>
Cumberloceras                            | Animal    | Mollusca                   | -485400000    | -471800000   | <>
Cuneamya                                 | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Cuniculocystis                           | Animal    | Echinodermata              | -478600000    | -468100000   | <>
Curiaspis                                | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Curticia                                 | Animal    | Brachiopoda                | -485400000    | -477700000   | <>
Curtoceras                               | Animal    | Mollusca                   | -478600000    | -463500000   | Curtoceras
Cyathophycus                             | Animal    | Porifera                   | -485400000    | -470000000   | <>
Cybele                                   | Animal    | Arthropoda                 | -478600000    | -471800000   | Cybele
Cybelopsis                               | Animal    | Arthropoda                 | -478600000    | -468100000   | Cybelopsis
Cybelurus                                | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Cycloceras                               | Animal    | Mollusca                   | -478600000    | -466000000   | Cycloceras
Cyclocyclicus                            | Animal    | Echinodermata              | -485400000    | -477700000   | <>
Cycloplectoceras                         | Animal    | Mollusca                   | -485400000    | -471800000   | <>
Cyclopyge                                | Animal    | Arthropoda                 | -478600000    | -466000000   | Cyclopyge
Cyclostomiceras                          | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cymatonota                               | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cymatopegma                              | Animal    | Mollusca                   | -485400000    | -478600000   | <>
Cymbularia                               | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cypricardinia                            | Animal    | Mollusca                   | -478600000    | -466000000   | Cypricardinia
Cyptendoceras                            | Animal    | Mollusca                   | -478600000    | -463500000   | Cyptendoceras
Cyrtendoceras                            | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cyrtobaltoceras                          | Animal    | Mollusca                   | -478600000    | -468100000   | Cyrtobaltoceras
Cyrtoceras                               | Animal    | Mollusca                   | -485400000    | -477700000   | Cyrtoceras
Cyrtodiscus                              | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cyrtodonta                               | Animal    | Mollusca                   | -478600000    | -471800000   | <>
Cyrtodontula                             | Animal    | Mollusca                   | -478600000    | -471800000   | <>
Cyrtometopus                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Cyrtometopus
Cyrtonellopsis                           | Animal    | Mollusca                   | -485400000    | -477700000   | <>
Cyrtonotella                             | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Cyrtonotreta                             | Animal    | Brachiopoda                | -478600000    | -471800000   | <>
Cyrtonybyoceras                          | Animal    | Mollusca                   | -478600000    | -466000000   | Cyrtonybyoceras
Cyrtovaginoceras                         | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cysticamara                              | Animal    | Hemichordata               | -485400000    | -477700000   | <>
Cystostroma                              | Animal    | Porifera                   | -485400000    | -470000000   | <>
