Asiahesperornis                          | Animal    | Chordata                   | -83500000     | -66000000    | Asiahesperornis
Asiatherium                              | Animal    | Chordata                   | -83600000     | -72100000    | <>
Asioryctes                               | Animal    | Chordata                   | -83500000     | -70600000    | <>
Asmodochelys                             | Animal    | Chordata                   | -83500000     | -70600000    | <>
Aspanlestes                              | Animal    | Chordata                   | -83500000     | -70600000    | <>
Aspidaster                               | Animal    | Echinodermata              | -83500000     | -70600000    | <>
Aspidastraea                             | Animal    | Cnidaria                   | -83500000     | -66000000    | <>
Aspideretes                              | Animal    | Chordata                   | -83500000     | -70600000    | Aspideretes
Aspideretoides                           | Animal    | Chordata                   | -83500000     | -70600000    | <>
Aspidolithus                             | Plant     | Haptophyta                 | -83500000     | -70600000    | <>
Asplenium                                | Plant     | Pteridophyta               | -100500000    | -66000000    | Asplenium
Asprosaurus                              | Animal    | Chordata                   | -83600000     | -72100000    | Asprosaurus
Assilina                                 | Micro     | Foraminifera               | -86300000     | -70600000    | <>
Astacodes                                | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Astacolus                                | Micro     | Foraminifera               | -83500000     | -66000000    | <>
Astandes                                 | Animal    | Mollusca                   | -83500000     | -70600000    | <>
Astarte                                  | Animal    | Mollusca                   | -145000000    | -66000000    | Astarte
Astartemya                               | Animal    | Mollusca                   | -83500000     | -70600000    | <>
Asteracanthus                            | Animal    | Chordata                   | -83500000     | -70600000    | Asteracanthus
Asteronyx                                | Animal    | Echinodermata              | -83600000     | -72100000    | <>
Asteropollis                             | Plant     | Magnoliophyta              | -83600000     | -66000000    | <>
Asterorbis                               | Micro     | Foraminifera               | -83600000     | -66000000    | <>
Astraeofungia                            | Animal    | Cnidaria                   | -83500000     | -70600000    | <>
Astrangia                                | Animal    | Cnidaria                   | -83500000     | -70600000    | Astrangia
Astraraea                                | Animal    | Cnidaria                   | -83500000     | -66000000    | <>
Astreopora                               | Animal    | Cnidaria                   | -83600000     | -66000000    | Astreopora
Astreptoceras                            | Animal    | Mollusca                   | -83600000     | -72100000    | Astreptoceras
Astrocladia                              | Animal    | Porifera                   | -83500000     | -70600000    | <>
Astrocoenia                              | Animal    | Cnidaria                   | -83600000     | -66000000    | <>
Astrocratis                              | Animal    | Echinodermata              | -83500000     | -70600000    | <>
