Biplatyconcha                            | Animal    | Brachiopoda                | -259900000    | -252170000   | <>
Birchsella                               | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Bistarkum                                | Micro     | Radiolaria                 | -259900000    | -254170000   | <>
Blasispirifer                            | Animal    | Brachiopoda                | -259900000    | -252170000   | <>
Blattoidealestes                         | Animal    | Chordata                   | -265100000    | -254170000   | Blattoidealestes
Bobbodus                                 | Animal    | Chordata                   | -259900000    | -254170000   | Bobbodus
Bohlenatia                               | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Boreolepis                               | Animal    | Chordata                   | -259900000    | -254170000   | Boreolepis
Boreoperlidium                           | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Borestus                                 | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Borgerscottia                            | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Bothriceps                               | Animal    | Chordata                   | -259900000    | -251200000   | Bothriceps
Bothroconis                              | Animal    | Porifera                   | -259900000    | -254170000   | <>
Bothrophyllum                            | Animal    | Cnidaria                   | -298900000    | -252170000   | <>
Botrychiopsis                            | Plant     | Pteridophyta               | -259900000    | -254170000   | Botrychiopsis
Botryococcus                             | Plant     | Chlorophyta                | -265000000    | -252300000   | Botryococcus
Brachycycloceras                         | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Brachymetopus                            | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -265100000    | -254170000   | Brachyphyllum
Brachythyris                             | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Bradyina                                 | Micro     | Foraminifera               | -259900000    | -254170000   | <>
Bradyphyllum                             | Animal    | Cnidaria                   | -259900000    | -254170000   | <>
Bradysaurus                              | Animal    | Chordata                   | -265100000    | -254170000   | Bradysaurus
Bransonia                                | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Brongniartites                           | Plant     | Pteridospermophyta         | -358900000    | -252170000   | <>
Brontopus                                | Animal    | Chordata                   | -259900000    | -252170000   | Brontopus
Bruntonia                                | Animal    | Brachiopoda                | -259900000    | -252170000   | <>
Bucania                                  | Animal    | Mollusca                   | -259900000    | -252170000   | <>
Buekkella                                | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Bulbasaurus                              | Animal    | Chordata                   | -259900000    | -254170000   | Bulbasaurus
Bulimorpha                               | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Bullarina                                | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Burnetia                                 | Animal    | Chordata                   | -259900000    | -252170000   | Burnetia
Burovia                                  | Animal    | Brachiopoda                | -259900000    | -252170000   | <>
Buxtonia                                 | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Bystrowiana                              | Animal    | Chordata                   | -259000000    | -252300000   | Bystrowiana
Calamites                                | Plant     | Sphenophyta                | -259900000    | -252170000   | Calamites
Calamospora                              | Plant     | Sphenophyta                | -265000000    | -251300000   | <>
Calamostachys                            | Plant     | Sphenophyta                | -315200000    | -254000000   | <>
Calceolispongia                          | Animal    | Echinodermata              | -259900000    | -254170000   | Calceolispongia
Calcicanicularia                         | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Calcitornella                            | Micro     | Foraminifera               | -259900000    | -254170000   | <>
Calcivertella                            | Micro     | Foraminifera               | -265100000    | -252170000   | <>
Calclamnella                             | Animal    | Echinodermata              | -259900000    | -254170000   | <>
Calclyra                                 | Animal    | Echinodermata              | -259900000    | -254170000   | <>
Callaiapsida                             | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Calliomarginatia                         | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -259900000    | -252170000   | Callipteris
Callispirina                             | Animal    | Brachiopoda                | -259900000    | -252170000   | <>
Callistadia                              | Animal    | Mollusca                   | -259900000    | -252170000   | <>
Callitomaria                             | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Calophyllum Polycoeliidae                 | Animal    | Cnidaria                   | -259000000    | -252300000   | <>
Calvezina                                | Micro     | Foraminifera               | -259900000    | -252170000   | <>
Camarophorina                            | Animal    | Brachiopoda                | -272300000    | -254170000   | <>
Camptonectes                             | Animal    | Mollusca                   | -259900000    | -252170000   | <>
Cancellospirifer                         | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Cancrinella                              | Animal    | Brachiopoda                | -259900000    | -252170000   | <>
Cancrinelloides                          | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Caninia                                  | Animal    | Cnidaria                   | -298900000    | -252170000   | Caninia
Canoptum                                 | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Capillomesolobus                         | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Capillonia                               | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Capnodoce                                | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Captorhinus                              | Animal    | Chordata                   | -259900000    | -254170000   | Captorhinus
Capulus                                  | Animal    | Mollusca                   | -272300000    | -254170000   | Capulus
Carbonarca                               | Animal    | Mollusca                   | -272300000    | -254170000   | <>
Carbonicola                              | Animal    | Mollusca                   | -298900000    | -252170000   | Carbonicola
Carcinophyllum                           | Animal    | Cnidaria                   | -259900000    | -254170000   | <>
Cardinocrania                            | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Cardiomorpha                             | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Carinaknightina                          | Animal    | Arthropoda                 | -259900000    | -252170000   | <>
Carinthiaphyllum                         | Animal    | Cnidaria                   | -298900000    | -252170000   | Carinthiaphyllum
Cartorhium                               | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Caryophyllia                             | Animal    | Cnidaria                   | -259900000    | -254170000   | Caryophyllia
Cassianoides                             | Animal    | Mollusca                   | -259900000    | -252170000   | <>
Cassiavellia                             | Animal    | Mollusca                   | -259900000    | -254170000   | Cassiavellia
Casterella                               | Animal    | Mollusca                   | -265100000    | -254170000   | <>
Cathaysia                                | Animal    | Brachiopoda                | -259900000    | -252170000   | Cathaysia
Caucasoproductus                         | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Cauletella                               | Micro     | Radiolaria                 | -259900000    | -254170000   | <>
Caulopteris                              | Plant     | Pteridophyta               | -265100000    | -252170000   | <>
Cavellina                                | Animal    | Arthropoda                 | -259900000    | -252170000   | <>
Cedripites                               | Plant     | Gymnospermophyta           | -298900000    | -252170000   | <>
Celtoides                                | Animal    | Mollusca                   | -259900000    | -252170000   | <>
Celyphia                                 | Animal    | Porifera                   | -259900000    | -254170000   | <>
Cenorhynchia                             | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Ceocypea                                 | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Ceratobairdia                            | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Ceraunocochlis                           | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Cerdorhinus                              | Animal    | Chordata                   | -259900000    | -254170000   | Cerdorhinus
Cerdosuchus                              | Animal    | Chordata                   | -259900000    | -252170000   | <>
Cetollina                                | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Chaenomya                                | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Chaetetes                                | Animal    | Porifera                   | -323200000    | -252170000   | Chaetetes
Chalcosaurus                             | Animal    | Chordata                   | -268000000    | -252300000   | <>
Chamishaella                             | Animal    | Arthropoda                 | -259900000    | -252170000   | <>
Chaoiella                                | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Characichnos                             | Animal    | Chordata                   | -259900000    | -252170000   | <>
Charassognathus                          | Animal    | Chordata                   | -259900000    | -254170000   | Charassognathus
Chauliodites                             | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Chaunactis                               | Animal    | Porifera                   | -259900000    | -254170000   | <>
Cheiropyge                               | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Chelichnus                               | Animal    | Chordata                   | -259900000    | -252170000   | Chelichnus
Cheliderpeton                            | Animal    | Chordata                   | -298900000    | -254000000   | Cheliderpeton
Chelydosaurus                            | Animal    | Chordata                   | -298900000    | -254000000   | <>
Chenxianoproductus                       | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Chiropteris                              | Plant     | Cycadophyta                | -259900000    | -254170000   | Chiropteris
Chirotherium                             | Animal    | Chordata                   | -265000000    | -252300000   | Chirotherium
Chiton                                   | Animal    | Mollusca                   | -259900000    | -254170000   | Chiton
Choerosaurus                             | Animal    | Chordata                   | -259900000    | -254170000   | Choerosaurus
Chonetella                               | Animal    | Brachiopoda                | -259900000    | -252170000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -259900000    | -252170000   | Chonetes
Chonetina                                | Animal    | Brachiopoda                | -259900000    | -252170000   | <>
Chonetinella                             | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Chonopectella                            | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Chonosteges                              | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Choristitella                            | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Choristites                              | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Chroniosaurus                            | Animal    | Chordata                   | -265000000    | -254000000   | Chroniosaurus
Chroniosuchus                            | Animal    | Chordata                   | -265000000    | -252300000   | Chroniosuchus
Chthonosaurus                            | Animal    | Chordata                   | -265000000    | -252300000   | Chthonosaurus
Chusenella                               | Micro     | Foraminifera               | -265100000    | -252170000   | <>
Chuvashovia                              | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Cibecuia                                 | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Cimmeriella                              | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Cinclidonema                             | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Cistecephaloides                         | Animal    | Chordata                   | -259900000    | -254170000   | Cistecephaloides
Cistecephalus                            | Animal    | Chordata                   | -259900000    | -254170000   | Cistecephalus
Cladochonus                              | Animal    | Cnidaria                   | -259900000    | -254170000   | Cladochonus
Cladochorista                            | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Cladodus                                 | Animal    | Chordata                   | -259900000    | -254170000   | Cladodus
Cladophlebis                             | Plant     | Pteridophyta               | -259900000    | -252170000   | Cladophlebis
Claraia                                  | Animal    | Mollusca                   | -259900000    | -254170000   | Claraia
Claraioides                              | Animal    | Mollusca                   | -259900000    | -252170000   | <>
Clarkina                                 | Animal    | Chordata                   | -259900000    | -252170000   | Clarkina
Claudiosaurus                            | Animal    | Chordata                   | -259900000    | -252170000   | Claudiosaurus
Clausotrypa                              | Animal    | Bryozoa                    | -259900000    | -254170000   | Clausotrypa
Clavallus                                | Animal    | Echinodermata              | -259900000    | -254170000   | <>
Clavaporella                             | Plant     | Chlorophyta                | -259900000    | -254170000   | <>
Clavatasporites                          | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Cleiothyridina                           | Animal    | Brachiopoda                | -259900000    | -252170000   | Cleiothyridina
Clelandina                               | Animal    | Chordata                   | -259900000    | -252170000   | Clelandina
Clidophorus                              | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Climacammina                             | Micro     | Foraminifera               | -259900000    | -254170000   | <>
Clisiophyllum                            | Animal    | Cnidaria                   | -259900000    | -254170000   | <>
