Austrofusus                              | Animal    | Mollusca                   | -59200000     | -56000000    | Austrofusus
Austrolibellula                          | Animal    | Arthropoda                 | -58700000     | -55800000    | <>
Austronucula                             | Animal    | Mollusca                   | -59200000     | -56000000    | <>
Austrosphaera                            | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Austrotrillina                           | Micro     | Foraminifera               | -61600000     | -56000000    | <>
Averrhoites                              | Plant     | Spermatophyta              | -56800000     | -55800000    | <>
Aviturus                                 | Animal    | Chordata                   | -58700000     | -55800000    | Aviturus
Axestemys                                | Animal    | Chordata                   | -56800000     | -55800000    | Axestemys
Azabbaremys                              | Animal    | Chordata                   | -61700000     | -55800000    | Azabbaremys
Azolla                                   | Plant     | Pteridophyta               | -58700000     | -55800000    | Azolla
Azollopsis                               | Plant     | Pteridophyta               | -72100000     | -56000000    | <>
Azygonyx                                 | Animal    | Chordata                   | -56800000     | -55800000    | Azygonyx
Bacarella                                | Animal    | Cnidaria                   | -59200000     | -56000000    | Bacarella
Baculatisporites                         | Plant     | Pteridophyta               | -100500000    | -33900000    | <>
Baibiancarpus                            | Plant     | Angiospermae               | -66000000     | -23030000    | <>
Baiotomeus                               | Animal    | Chordata                   | -61700000     | -56800000    | Baiotomeus
Bairdia                                  | Animal    | Arthropoda                 | -58700000     | -55800000    | <>
Balanophyllia                            | Animal    | Cnidaria                   | -58700000     | -55800000    | Balanophyllia
Balanus                                  | Animal    | Arthropoda                 | -66000000     | -23030000    | Balanus
Balcis                                   | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Balmeisporites                           | Plant     | Pinophyta                  | -72100000     | -56000000    | <>
Baluchicardia                            | Animal    | Mollusca                   | -59200000     | -56000000    | Baluchicardia
Bambusites                               | Plant     | Angiospermae               | -66000000     | -2588000     | <>
Banaraphyllum                            | Plant     | Spermatophyta              | -66000000     | -56000000    | <>
Banksieaeformis                          | Plant     | Spermatophyta              | -58700000     | -37200000    | Banksieaeformis
Bantamia                                 | Animal    | Cnidaria                   | -66000000     | -56000000    | <>
Baratangia                               | Micro     | Cyanobacteria              | -66000000     | -47800000    | <>
Barbatia                                 | Animal    | Mollusca                   | -59200000     | -47800000    | Barbatia
Barylambda                               | Animal    | Chordata                   | -56800000     | -55800000    | Barylambda
Basiaeschna                              | Animal    | Arthropoda                 | -59200000     | -47800000    | Basiaeschna
Basilissa                                | Animal    | Mollusca                   | -59200000     | -56000000    | Basilissa
Basilosaurus                             | Animal    | Chordata                   | -66000000     | -2588000     | Basilosaurus
Basopollis                               | Plant     | Spermatophyta              | -58700000     | -55800000    | <>
Basterotia                               | Animal    | Mollusca                   | -59200000     | -56000000    | Basterotia
Bathosella                               | Animal    | Bryozoa                    | -66000000     | -56000000    | <>
Bathropyramis                            | Micro     | Radiolaria                 | -58700000     | -55800000    | <>
Bathyarca                                | Animal    | Mollusca                   | -61700000     | -55800000    | Bathyarca
