Aulacorhynchus                           | Animal    | Chordata                   | -11700        | -0           | Aulacorhynchus
Aurila                                   | Animal    | Arthropoda                 | -11700        | -0           | <>
Austinogebia                             | Animal    | Arthropoda                 | -11700        | -0           | <>
Austrodromidia                           | Animal    | Arthropoda                 | -11700        | -0           | <>
Austrolepidopa                           | Animal    | Arthropoda                 | -11700        | -0           | <>
Austropenaeus                            | Animal    | Arthropoda                 | -11700        | -0           | <>
Avahi                                    | Animal    | Chordata                   | -11700        | -0           | Avahi
Axinopsida                               | Animal    | Mollusca                   | -11700        | -0           | <>
Axiopsis                                 | Animal    | Arthropoda                 | -11700        | -0           | <>
Aythya                                   | Animal    | Chordata                   | -11700        | -0           | Aythya
Azolla                                   | Plant     | Pteridophyta               | -11700        | -0           | Azolla
Azteca                                   | Animal    | Arthropoda                 | -11700        | -0           | Azteca
Babakotia                                | Animal    | Chordata                   | -11700        | -0           | Babakotia
Babylonia                                | Animal    | Mollusca                   | -11700        | -0           | Babylonia
Bagrus                                   | Animal    | Chordata                   | -11700        | -0           | Bagrus
Balaena                                  | Animal    | Chordata                   | -11700        | -0           | Balaena
Balaeniceps                              | Animal    | Chordata                   | -11700        | -0           | Balaeniceps
Balaenoptera                             | Animal    | Chordata                   | -11700        | -0           | Balaenoptera
Balanophyllia                            | Animal    | Cnidaria                   | -2588000      | -0           | Balanophyllia
Balanops                                 | Plant     | Spermatophyta              | -11700        | -0           | Balanops
Balanus                                  | Animal    | Arthropoda                 | -11700        | -0           | Balanus
Balcis                                   | Animal    | Mollusca                   | -11700        | -0           | <>
Banareia                                 | Animal    | Arthropoda                 | -11700        | -0           | Banareia
Barbarofusus                             | Animal    | Mollusca                   | -2588000      | -0           | Barbarofusus
Barbatia                                 | Animal    | Mollusca                   | -11700        | -0           | Barbatia
Barbus                                   | Animal    | Chordata                   | -11700        | -0           | Barbus
Barleeia                                 | Animal    | Mollusca                   | -2588000      | -0           | Barleeia
Barnea                                   | Animal    | Mollusca                   | -11700        | -0           | Barnea
Bartramia                                | Animal    | Chordata                   | -11700        | -0           | Bartramia
Bartschella                              | Animal    | Mollusca                   | -2588000      | -0           | Bartschella
Bassaricyon                              | Animal    | Chordata                   | -11700        | -0           | Bassaricyon
Bassariscus                              | Animal    | Chordata                   | -11700        | -0           | Bassariscus
Batagur                                  | Animal    | Chordata                   | -11700        | -0           | Batagur
Bathyarca                                | Animal    | Mollusca                   | -11700        | -0           | Bathyarca
Bathyarctus                              | Animal    | Arthropoda                 | -11700        | -0           | <>
Bathyergus                               | Animal    | Chordata                   | -126000       | -0           | Bathyergus
Bathypaguropsis                          | Animal    | Arthropoda                 | -11700        | -0           | <>
Batillaria                               | Animal    | Mollusca                   | -11700        | -0           | Batillaria
