Charybdaspis                             | Animal    | Arthropoda                 | -393300000    | -387700000   | <>
Chascothyris                             | Animal    | Brachiopoda                | -388100000    | -383700000   | <>
Chattaster                               | Animal    | Echinodermata              | -388100000    | -383700000   | <>
Chebbioceras                             | Animal    | Mollusca                   | -409100000    | -391900000   | <>
Chebbites                                | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Cheeneetnukia                            | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Cheilotrypa                              | Animal    | Bryozoa                    | -393300000    | -387700000   | <>
Cheiracanthoides                         | Animal    | Chordata                   | -402500000    | -391900000   | <>
Cheirurus                                | Animal    | Arthropoda                 | -393300000    | -387700000   | Cheirurus
Chia                                     | Animal    | Cnidaria                   | -402500000    | -391900000   | Chia
Chimaerothyris                           | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Chirodipterus                            | Animal    | Chordata                   | -393300000    | -382700000   | Chirodipterus
Chlamydophyllum                          | Animal    | Cnidaria                   | -393300000    | -387700000   | <>
Chlupacina                               | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Chlupacites                              | Animal    | Mollusca                   | -393300000    | -387700000   | <>
