Celox                                    | Animal    | Mollusca                   | -323200000    | -272300000   | Celox
Cenorhynchia                             | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Chaenocardia                             | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Chaenomya                                | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Chaetetes                                | Animal    | Porifera                   | -323200000    | -252170000   | Chaetetes
Chalaroschwagerina                       | Micro     | Foraminifera               | -295500000    | -290100000   | <>
Chaoiella                                | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Chauliochiton                            | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Cheiropyge                               | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Chelichnus                               | Animal    | Chordata                   | -298900000    | -252170000   | Chelichnus
Cheliconularia                           | Animal    | Cnidaria                   | -295500000    | -290100000   | <>
Cheliderpeton                            | Animal    | Chordata                   | -298900000    | -254000000   | Cheliderpeton
Chelydosaurus                            | Animal    | Chordata                   | -298900000    | -254000000   | <>
Chenoprosopus                            | Animal    | Chordata                   | -296400000    | -268000000   | Chenoprosopus
Chiropteris                              | Plant     | Cycadophyta                | -295500000    | -279300000   | Chiropteris
Chondronia                               | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Chonetella                               | Animal    | Brachiopoda                | -303400000    | -268000000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -295500000    | -279300000   | Chonetes
Chonetina                                | Animal    | Brachiopoda                | -298900000    | -272300000   | <>
Chonetinella                             | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Choristitella                            | Animal    | Brachiopoda                | -306950000    | -272300000   | <>
Choristites                              | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Chusenella                               | Micro     | Foraminifera               | -298900000    | -2.599e+08   | <>
Cibecuia                                 | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Cimmeriella                              | Animal    | Brachiopoda                | -295500000    | -279300000   | <>
Cinclidonema                             | Animal    | Mollusca                   | -298900000    | -290100000   | <>
Cistecephalus                            | Animal    | Chordata                   | -298900000    | -252170000   | Cistecephalus
Cladochonus                              | Animal    | Cnidaria                   | -295500000    | -290100000   | Cladochonus
Cladophlebis                             | Plant     | Pteridophyta               | -298900000    | -252170000   | Cladophlebis
Clausotrypa                              | Animal    | Bryozoa                    | -295500000    | -290100000   | Clausotrypa
Clavatasporites                          | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Clavicosta                               | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Cleiothyridina                           | Animal    | Brachiopoda                | -295500000    | -279300000   | Cleiothyridina
Climacammina                             | Micro     | Foraminifera               | -298900000    | -252170000   | <>
Clisiophyllum                            | Animal    | Cnidaria                   | -295500000    | -290100000   | <>
Coeliocrinus                             | Animal    | Echinodermata              | -295500000    | -290100000   | <>
Coelonella                               | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Colpites                                 | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Columnaria                               | Animal    | Cnidaria                   | -295500000    | -290100000   | Columnaria
Comia                                    | Plant     | Pteridophyta               | -295500000    | -272300000   | <>
Composita                                | Animal    | Brachiopoda                | -295500000    | -279300000   | Composita
Compressoproductus                       | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Compsoblatta                             | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Comuquia                                 | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Concavisporites                          | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Condranema                               | Animal    | Bryozoa                    | -295500000    | -290100000   | <>
Conjunctio                               | Animal    | Chordata                   | -296400000    | -268000000   | Conjunctio
