Columnaria                               | Animal    | Cnidaria                   | -387700000    | -382700000   | Columnaria
Composita                                | Animal    | Brachiopoda                | -419200000    | -298900000   | Composita
Compressiphyllum                         | Animal    | Cnidaria                   | -393300000    | -382700000   | <>
Concavocycloides                         | Animal    | Echinodermata              | -388100000    | -383700000   | <>
Coniproetus                              | Animal    | Arthropoda                 | -393300000    | -382700000   | <>
Conocardium                              | Animal    | Mollusca                   | -383700000    | -382400000   | Conocardium
Conularia                                | Animal    | Cnidaria                   | -383700000    | -382400000   | <>
Converrucosisporites                     | Plant     | Pteridophyta               | -387700000    | -382700000   | <>
Convolutispora                           | Plant     | Pteridophyta               | -387700000    | -372200000   | <>
Cookiloxa                                | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Cooksonia                                | Plant     | Psilophytophyta            | -387700000    | -382700000   | Cooksonia
Corbicularia                             | Animal    | Brachiopoda                | -383700000    | -382400000   | <>
Cordania                                 | Animal    | Arthropoda                 | -387700000    | -382700000   | Cordania
Cornellites                              | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Cornigella                               | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Cornulites                               | Animal    | Lophotrochozoa             | -387700000    | -382700000   | Cornulites
Corocrinus                               | Animal    | Echinodermata              | -387700000    | -382700000   | <>
Coronura                                 | Animal    | Arthropoda                 | -393300000    | -382700000   | Coronura
Coryellina                               | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Corynotrypa                              | Animal    | Bryozoa                    | -387700000    | -382700000   | <>
Costalocrinus                            | Animal    | Echinodermata              | -387700000    | -382700000   | <>
Costulatostyliolina                      | Animal    | Lophotrochozoa             | -393300000    | -382700000   | <>
