Chinchenia                               | Animal    | Chordata                   | -247200000    | -237000000   | Chinchenia
Chiniquodon                              | Animal    | Chordata                   | -247200000    | -237000000   | Chiniquodon
Chiosella                                | Animal    | Chordata                   | -247200000    | -242000000   | Chiosella
Chiratites                               | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Chiropteris                              | Plant     | Cycadophyta                | -247200000    | -237000000   | Chiropteris
Chirotherium                             | Animal    | Chordata                   | -247200000    | -237000000   | Chirotherium
Chlamys                                  | Animal    | Mollusca                   | -247200000    | -242000000   | Chlamys_(bivalve)
Choristopanorpa                          | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Cidaris                                  | Animal    | Echinodermata              | -247200000    | -237000000   | Cidaris
Cirpa                                    | Animal    | Brachiopoda                | -247200000    | -242000000   | <>
Cistecynodon                             | Animal    | Chordata                   | -247200000    | -242000000   | <>
Citrella                                 | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Cladophlebis                             | Plant     | Pteridophyta               | -247200000    | -237000000   | Cladophlebis
Claraia                                  | Animal    | Mollusca                   | -247200000    | -242000000   | Claraia
Clarazia                                 | Animal    | Chordata                   | -247200000    | -242000000   | Clarazia
Clatrotitan                              | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Clavapartus                              | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Cleithrolepis                            | Animal    | Chordata                   | -247200000    | -242000000   | Cleithrolepis
Cliona                                   | Animal    | Porifera                   | -247200000    | -242000000   | Cliona
Clytiopsis                               | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Coartaredens                             | Animal    | Chordata                   | -247200000    | -242000000   | <>
Coccophyllum                             | Animal    | Cnidaria                   | -247200000    | -242000000   | <>
Codinella                                | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Coelostylina                             | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Coelurosaurichnus                        | Animal    | Chordata                   | -247200000    | -237000000   | Coelurosaurichnus
Coenothyris                              | Animal    | Brachiopoda                | -247200000    | -237000000   | <>
