Elyaspis                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Emarginoconus                            | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Emsurina                                 | Animal    | Arthropoda                 | -497000000    | -477700000   | Emsurina
Entomaspis                               | Animal    | Arthropoda                 | -501000000    | -485400000   | Entomaspis
Entsyna                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Eoacidaspis                              | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Eoasaphus                                | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Eocameroceras                            | Animal    | Mollusca                   | -498500000    | -485400000   | <>
Eochuangia                               | Animal    | Arthropoda                 | -497000000    | -485400000   | Eochuangia
Eoconodontus                             | Animal    | Chordata                   | -497000000    | -477700000   | Eoconodontus
Eokaolishania                            | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Eokochaspis                              | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Eoorthis                                 | Animal    | Brachiopoda                | -497000000    | -485400000   | <>
Eoscaphelasma                            | Animal    | Brachiopoda                | -498500000    | -485400000   | <>
Eotrinucleus                             | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Erixanium                                | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Eshelmania                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Euconia                                  | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Eugonocare                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Eukteanochiton                           | Animal    | Mollusca                   | -498500000    | -485400000   | <>
Euloma                                   | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Euonchonotina                            | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Euptychaspis                             | Animal    | Arthropoda                 | -498500000    | -485400000   | Euptychaspis
Eurekia                                  | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Eurudagnostus                            | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Eurytreta                                | Animal    | Brachiopoda                | -497000000    | -485400000   | <>
Experilingula                            | Animal    | Brachiopoda                | -497000000    | -485400000   | <>
Falites                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Ferralstreta                             | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Finkelnburgia                            | Animal    | Brachiopoda                | -498500000    | -477700000   | <>
Flobertia                                | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Formosagnostus                           | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Fossuliella                              | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Fryxellodontus                           | Animal    | Chordata                   | -497000000    | -485400000   | <>
Furnishina                               | Animal    | Chordata                   | -497000000    | -485400000   | Furnishina
Gallatinospongia                         | Animal    | Porifera                   | -501000000    | -485400000   | <>
Gasconadia                               | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Gayneoconus                              | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Genevievella                             | Animal    | Arthropoda                 | -497000000    | -485400000   | Genevievella
Geragnostus                              | Animal    | Arthropoda                 | -494000000    | -485400000   | Geragnostus
Girvanella                               | Micro     | Cyanobacteria              | -498500000    | -485400000   | Girvanella
Glaberagnostus                           | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Glaphurus                                | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
