Alectryon                                 | Plant     | Spermatophyta              | -781000       | 2030         | Alectryon_(plant)
Aleochara                                 | Animal    | Arthropoda                 | -126000       | 2030         | Aleochara
Alepia                                    | Animal    | Arthropoda                 | -23030000     | 2030         | <>
Alepisaurus                               | Animal    | Chordata                   | -15970000     | 2030         | Alepisaurus
Alepocephalus                             | Animal    | Chordata                   | -2588000      | 2030         | Alepocephalus
Alethaxius                                | Animal    | Arthropoda                 | -20440000     | 2030         | Alethaxius
Aleurites                                 | Plant     | Spermatophyta              | -2588000      | 2030         | Aleurites
Aleurochiton                              | Animal    | Arthropoda                 | -3600000      | 2030         | <>
Aleurodicus                               | Animal    | Arthropoda                 | -99600000     | 2030         | Aleurodicus
Alexandrinus                              | Animal    | Chordata                   | -11700        | 2030         | <>
Algon                                     | Animal    | Arthropoda                 | -20440000     | 2030         | <>
Aliculastrum                              | Animal    | Mollusca                   | -126000       | 2030         | Aliculastrum
Alienates                                 | Animal    | Arthropoda                 | -20440000     | 2030         | <>
Aligena                                   | Animal    | Mollusca                   | -126000       | 2030         | <>
Alisotrichia                              | Animal    | Arthropoda                 | -20440000     | 2030         | <>
Alisterus                                 | Animal    | Chordata                   | -126000       | 2030         | Alisterus
Allacma                                   | Animal    | Arthropoda                 | -38000000     | 2030         | Allacma
Allacrotelsa                              | Animal    | Arthropoda                 | -99600000     | 2030         | Allacrotelsa
Allactaga                                 | Animal    | Chordata                   | -126000       | 2030         | Allactaga
Allactoneura                              | Animal    | Arthropoda                 | -33900000     | 2030         | Allactoneura
Allaeochelys                              | Animal    | Chordata                   | -48600000     | 2030         | Allaeochelys
Allantopora                               | Animal    | Bryozoa                    | -33900000     | 2030         | <>
Alle                                      | Animal    | Chordata                   | -126000       | 2030         | Alle
Allecula                                  | Animal    | Arthropoda                 | -20440000     | 2030         | <>
Allenia                                   | Animal    | Chordata                   | -11700        | 2030         | Allenia
Alliatinella                              | Micro     | Foraminifera               | -23030000     | 2030         | <>
Alligator                                 | Animal    | Chordata                   | -126000       | 2030         | Alligator
Allobethylus                              | Animal    | Arthropoda                 | -38000000     | 2030         | <>
Allocasuarina                             | Plant     | Spermatophyta              | -2588000      | 2030         | Allocasuarina
Allocentrotus                             | Animal    | Echinodermata              | -5333000      | 2030         | <>
Allocotocera                              | Animal    | Arthropoda                 | -105300000    | 2030         | Allocotocera
Allodahlia                                | Animal    | Arthropoda                 | -20440000     | 2030         | Allodahlia
Allodia                                   | Animal    | Arthropoda                 | -33900000     | 2030         | Allodia
Allogalathea                              | Animal    | Arthropoda                 | -11700        | 2030         | Allogalathea
Allomorphina                              | Micro     | Foraminifera               | -72100000     | 2030         | <>
Allonautilus                              | Animal    | Mollusca                   | -11700        | 2030         | Allonautilus
Allostemma                                | Animal    | Arthropoda                 | -20440000     | 2030         | <>
Allothrombium                             | Animal    | Arthropoda                 | -38000000     | 2030         | Allothrombium
Allotrichia                               | Animal    | Arthropoda                 | -38000000     | 2030         | Allotrichia
Alluaudomyia                              | Animal    | Arthropoda                 | -38000000     | 2030         | Alluaudomyia
Alniphagus                                | Animal    | Arthropoda                 | -126000       | 2030         | Alniphagus
Alnus                                     | Plant     | Spermatophyta              | -126000       | 2030         | Alnus
Aloconatica                               | Animal    | Mollusca                   | -2588000      | 2030         | <>
Alopecoenas                               | Animal    | Chordata                   | -126000       | 2030         | Alopecoenas
Alopecosa                                 | Animal    | Arthropoda                 | -11700        | 2030         | Alopecosa
Alopex                                    | Animal    | Chordata                   | -5333000      | 2030         | Arctic_fox
Alopias                                   | Animal    | Chordata                   | -126000       | 2030         | Alopias
Alopochen                                 | Animal    | Chordata                   | -126000       | 2030         | Alopochen
Alora                                     | Animal    | Mollusca                   | -15970000     | 2030         | Alora_(gastropod)
Alosa                                     | Animal    | Chordata                   | -126000       | 2030         | Alosa
Alouatta                                  | Animal    | Chordata                   | -126000       | 2030         | Alouatta
Alpheus                                   | Animal    | Arthropoda                 | -66000000     | 2030         | Alpheus_(shrimp)
Alphitonia                                | Plant     | Spermatophyta              | -126000       | 2030         | Alphitonia
Alphonsea                                 | Plant     | Spermatophyta              | -28400000     | 2030         | Alphonsea
Alsophis                                  | Animal    | Chordata                   | -126000       | 2030         | Alsophis
Altenaeum                                 | Animal    | Mollusca                   | -126000       | 2030         | <>
Altica                                    | Animal    | Arthropoda                 | -126000       | 2030         | Altica
Alticola                                  | Animal    | Chordata                   | -2588000      | 2030         | Alticola
Alutera                                   | Animal    | Chordata                   | -5333000      | 2030         | <>
Aluterus                                  | Animal    | Chordata                   | -126000       | 2030         | Aluterus
Alvania                                   | Animal    | Mollusca                   | -126000       | 2030         | Alvania
Alveolinella                              | Micro     | Foraminifera               | -126000       | 2030         | Alveolinella
