Avonia                                   | Animal    | Brachiopoda                | -279300000    | -268800000   | Avonia
Azaroneura                               | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Babylonites                              | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Bactritella                              | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Bactrites                                | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Baculatisporites                         | Plant     | Pteridophyta               | -272500000    | -252300000   | <>
Baeoneura                                | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Baeotherates                             | Animal    | Chordata                   | -279300000    | -272300000   | Baeotherates
Baghevangia                              | Animal    | Porifera                   | -279300000    | -272300000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -279300000    | -265100000   | Baiera
Bairdia                                  | Animal    | Arthropoda                 | -279300000    | -268800000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -279300000    | -268800000   | <>
Bairdianella                             | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Bairdiocypris                            | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Baisalina                                | Micro     | Foraminifera               | -279300000    | -265100000   | <>
Bajkuria                                 | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Bakevellia                               | Animal    | Mollusca                   | -279300000    | -268800000   | <>
Baliqliqia                               | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Bamyaniceras                             | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Bansheepteron                            | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Barakaria                                | Plant     | Sphenophyta                | -290100000    | -272300000   | <>
Barathronympha                           | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Barbclabornia                            | Animal    | Chordata                   | -279300000    | -272300000   | Barbclabornia
Bardapteron                              | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Bardella                                 | Plant     | Coniferophyta              | -298900000    | -252170000   | <>
Bardocarpus                              | Plant     | Peltaspermophyta           | -279300000    | -272300000   | <>
