Brachythyrina                            | Animal    | Brachiopoda                | -314600000    | -298900000   | <>
Brachythyris                             | Animal    | Brachiopoda                | -315200000    | -303700000   | <>
Bradyina                                 | Micro     | Foraminifera               | -313800000    | -305900000   | <>
Bradyphyllum                             | Animal    | Cnidaria                   | -315200000    | -307000000   | <>
Branchiosaurus                           | Animal    | Chordata                   | -311450000    | -306950000   | Branchiosaurus
Branchipusites                           | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
Branneroceras                            | Animal    | Mollusca                   | -315200000    | -307000000   | Branneroceras
Bransonella                              | Animal    | Chordata                   | -315200000    | -307000000   | Bransonella
Brasilioproductus                        | Animal    | Brachiopoda                | -313800000    | -305900000   | <>
Breileenia                               | Animal    | Brachiopoda                | -315200000    | -307000000   | <>
Brevikites                               | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Breyeria                                 | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Breyeriodes                              | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
Brittsia                                 | Plant     | Pteridophyta               | -311450000    | -309000000   | <>
Brodia                                   | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
Brodioptera                              | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
Brongniartites                           | Plant     | Pteridospermophyta         | -358900000    | -252170000   | <>
Brouffia                                 | Animal    | Chordata                   | -311450000    | -306950000   | Brouffia
Bruayaphis                               | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Bruaylogus                               | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Bruktererpeton                           | Animal    | Chordata                   | -318100000    | -314600000   | Bruktererpeton
Brunellopteron                           | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
Bryantodus                               | Animal    | Chordata                   | -358900000    | -298900000   | <>
Bucanopsis                               | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Buckhornia                               | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Bulahdelia                               | Animal    | Brachiopoda                | -346700000    | -314600000   | <>
Buthiscorpius                            | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Buxtonia                                 | Animal    | Brachiopoda                | -313800000    | -305900000   | <>
Buxtonioides                             | Animal    | Brachiopoda                | -318100000    | -314600000   | <>
Bythiacanthus                            | Animal    | Chordata                   | -315200000    | -307000000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -313800000    | -305900000   | <>
Cactocrinus                              | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Cacurgellus                              | Animal    | Arthropoda                 | -314600000    | -314600000   | <>
