Ardesciella                              | Animal    | Mollusca                   | -163500000    | -139800000   | <>
Arganodus                                | Animal    | Chordata                   | -163500000    | -145000000   | Arganodus
Argovithyris                             | Animal    | Brachiopoda                | -161200000    | -155700000   | <>
Argutostrea                              | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Aristenymphes                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aristoleuctra                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aromasithyris                            | Animal    | Brachiopoda                | -161200000    | -155700000   | <>
Artematopodites                          | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Arthrogaster                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Arthropterygius                          | Animal    | Chordata                   | -163500000    | -152100000   | Arthropterygius
Ascololepidopterix                       | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Ashanga                                  | Animal    | Arthropoda                 | -163500000    | -152100000   | Ashanga
Ashangopsis                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Asiephialtites                           | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Asioblatta                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Asiodiplatys                             | Animal    | Arthropoda                 | -166100000    | -157300000   | Asiodiplatys
Asionecta                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Asiopteron                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aspidistes                               | Plant     | Pteridophyta               | -201300000    | -145000000   | <>
Aspidoceras                              | Animal    | Mollusca                   | -161200000    | -150800000   | Aspidoceras
Asplenium                                | Plant     | Pteridophyta               | -163500000    | -145000000   | Asplenium
Astacolus                                | Micro     | Foraminifera               | -161200000    | -155700000   | <>
Astandes                                 | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Astarte                                  | Animal    | Mollusca                   | -161200000    | -150800000   | Astarte
Astartopsis                              | Animal    | Mollusca                   | -166100000    | -157300000   | <>
Astenorrhinus                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Asteracanthus                            | Animal    | Chordata                   | -161200000    | -155700000   | Asteracanthus
Asterocidaris                            | Animal    | Echinodermata              | -164700000    | -161200000   | Asterocidaris
