Comuquia                                 | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Concavisporites                          | Plant     | Pteridophyta               | -265100000    | -259900000   | <>
Concavissimisporites                     | Plant     | Pteridophyta               | -265100000    | -259900000   | <>
Coniopteris                              | Plant     | Pteridophyta               | -279300000    | -252170000   | Coniopteris
Conocardium                              | Animal    | Mollusca                   | -268800000    | -259900000   | Conocardium
Contraspina                              | Animal    | Brachiopoda                | -268800000    | -259900000   | <>
Conularia                                | Animal    | Cnidaria                   | -268800000    | -259900000   | <>
Converrucosisporites                     | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Convolutispora                           | Plant     | Pteridophyta               | -272500000    | -252300000   | <>
Cooleyella                               | Animal    | Chordata                   | -265100000    | -259900000   | <>
Cooperina                                | Animal    | Brachiopoda                | -268800000    | -259900000   | <>
Copicyntra                               | Micro     | Radiolaria                 | -265100000    | -259900000   | <>
Copicyntroides                           | Micro     | Radiolaria                 | -265100000    | -259900000   | <>
Copiellintra                             | Micro     | Radiolaria                 | -265100000    | -259900000   | <>
