Dunedinites                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Duotaxis                                 | Micro     | Foraminifera               | -252170000    | -251300000   | <>
Duplisuggestus                           | Animal    | Chordata                   | -251300000    | -247200000   | <>
Durvilleoceras                           | Animal    | Mollusca                   | -259900000    | -247200000   | <>
Dyscritellopsis                          | Animal    | Bryozoa                    | -251300000    | -247200000   | <>
Earlandia                                | Micro     | Foraminifera               | -251300000    | -247200000   | Earlandia
Eboracia                                 | Plant     | Pteridophyta               | -252170000    | -247200000   | <>
Ecrinesomus                              | Animal    | Chordata                   | -252170000    | -251300000   | Ecrinesomus
Edingerella                              | Animal    | Chordata                   | -252170000    | -247200000   | Edingerella
Edyndella                                | Plant     | Peltaspermophyta           | -252170000    | -247200000   | <>
Elatocladus                              | Plant     | Coniferophyta              | -252170000    | -247200000   | Elatocladus
Eleganopteris                            | Plant     | Pteridophyta               | -252170000    | -247200000   | <>
Elegantinia                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Elessaurus                               | Animal    | Chordata                   | -252170000    | -247200000   | Elessaurus
Ellesmerella                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Ellipsocopicyntra                        | Micro     | Radiolaria                 | -252170000    | -251200000   | <>
Ellisonia                                | Animal    | Chordata                   | -251300000    | -247200000   | Ellisonia
Enantiognathus                           | Animal    | Chordata                   | -251300000    | -247200000   | <>
Enantiostreon                            | Animal    | Mollusca                   | -252170000    | -251300000   | <>
Endoteba                                 | Micro     | Foraminifera               | -251300000    | -247200000   | <>
Endotebanella                            | Micro     | Foraminifera               | -251300000    | -247200000   | <>
Endotriadella                            | Micro     | Foraminifera               | -251300000    | -247200000   | <>
Enoploceras                              | Animal    | Mollusca                   | -251300000    | -247200000   | Enoploceras
Entactinosphaera                         | Micro     | Radiolaria                 | -251300000    | -247200000   | <>
Enteropleura                             | Animal    | Mollusca                   | -252170000    | -247200000   | <>
Entolioides                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Entolium                                 | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Eoacrochordiceras                        | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Eobuchia                                 | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Eodanubites                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Eodiadema                                | Animal    | Echinodermata              | -252170000    | -201300000   | <>
Eographis                                | Animal    | Mollusca                   | -252170000    | -251300000   | <>
Eogymnites                               | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Eohupehsuchus                            | Animal    | Chordata                   | -251300000    | -247200000   | Eohupehsuchus
Eolydekkerina                            | Animal    | Chordata                   | -252170000    | -247200000   | Eolydekkerina
Eomurruna                                | Animal    | Chordata                   | -252170000    | -251200000   | Eomurruna
Eophyllites                              | Animal    | Mollusca                   | -251300000    | -247200000   | Eophyllites
Eoptychites                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
