Argobuccinum                             | Animal    | Mollusca                   | -3600000      | -781000      | Argobuccinum
Argopecten                               | Animal    | Mollusca                   | -11608000     | -2588000     | Argopecten
Argyrohyus                               | Animal    | Chordata                   | -4000000      | -3000000     | <>
Argyrolagus                              | Animal    | Chordata                   | -3600000      | -2588000     | Argyrolagus
Argyropelecus                            | Animal    | Chordata                   | -3600000      | -2588000     | Argyropelecus
Argyropeza                               | Animal    | Mollusca                   | -5333000      | -2588000     | Argyropeza
Argyrotheca                              | Animal    | Brachiopoda                | -5333000      | -2588000     | Argyrotheca
Ariadna                                  | Animal    | Arthropoda                 | -5333000      | -11700       | Ariadna
Ariadnaria                               | Animal    | Mollusca                   | -3600000      | -2588000     | Ariadnaria
Arimidelphis                             | Animal    | Chordata                   | -3600000      | -1806000     | <>
Ariosoma                                 | Animal    | Chordata                   | -5333000      | -2588000     | Ariosoma
Arius                                    | Animal    | Chordata                   | -11608000     | -2588000     | <>
Arnoglossus                              | Animal    | Chordata                   | -3600000      | -1806000     | Arnoglossus
Arnoldina                                | Animal    | Chordata                   | -5333000      | -2588000     | <>
Arossia                                  | Animal    | Arthropoda                 | -3600000      | -2588000     | Arossia
Artedius                                 | Animal    | Chordata                   | -3600000      | -2588000     | Artedius
Artemisia                                | Plant     | Spermatophyta              | -11608000     | -2588000     | Artemisia_(plant)
Arthropoma                               | Animal    | Bryozoa                    | -5333000      | -2588000     | <>
Artigasia                                | Animal    | Chordata                   | -6800000      | -781000      | Artigasia
Arvernoceros                             | Animal    | Chordata                   | -3200000      | -2588000     | Arvernoceros
Arvicanthis                              | Animal    | Chordata                   | -11608000     | -2588000     | Arvicanthis
Asaphidion                               | Animal    | Arthropoda                 | -3600000      | -2588000     | Asaphidion
Asaphis                                  | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Asio                                     | Animal    | Chordata                   | -11608000     | -11700       | Asio
Asoriculus                               | Animal    | Chordata                   | -3200000      | -2588000     | Asoriculus
Aspatharia                               | Animal    | Mollusca                   | -5333000      | -11700       | Aspatharia
Aspella                                  | Animal    | Mollusca                   | -3600000      | -2588000     | Aspella
Aspideretes                              | Animal    | Chordata                   | -5333000      | -3200000     | Aspideretes
Asplenium                                | Plant     | Pteridophyta               | -23030000     | -2588000     | Asplenium
Assiminea                                | Animal    | Mollusca                   | -3600000      | -11700       | Assiminea
Assiminia                                | Animal    | Mollusca                   | -3600000      | -781000      | <>
Astadelphis                              | Animal    | Chordata                   | -3600000      | -2588000     | <>
Astarte                                  | Animal    | Mollusca                   | -3600000      | -2588000     | Astarte_(bivalve)
Asterigerinata                           | Micro     | Foraminifera               | -5333000      | -2588000     | <>
Asterosmilia                             | Animal    | Cnidaria                   | -3600000      | -2588000     | Asterosmilia
Asthenognathus                           | Animal    | Arthropoda                 | -5333000      | -2588000     | <>
Asthenothaerus                           | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Asthenotoma                              | Animal    | Mollusca                   | -3600000      | -2588000     | Asthenotoma
Astraea                                  | Animal    | Mollusca                   | -3600000      | -781000      | <>
Astralium                                | Animal    | Mollusca                   | -3600000      | -2588000     | Astralium
Astrangia                                | Animal    | Cnidaria                   | -3600000      | -781000      | Astrangia
Astrea                                   | Animal    | Cnidaria                   | -3600000      | -2588000     | <>
Astreopora                               | Animal    | Cnidaria                   | -11608000     | -2588000     | Astreopora
Astrhelia                                | Animal    | Cnidaria                   | -5333000      | -11700       | <>
Astriclypeus                             | Animal    | Echinodermata              | -3600000      | -2588000     | <>
Astrocoenia                              | Animal    | Cnidaria                   | -11608000     | -2588000     | <>
Astrodapsis                              | Animal    | Echinodermata              | -5333000      | -2588000     | <>
Astrononion                              | Micro     | Foraminifera               | -5333000      | -2588000     | Astrononion
Astropecten                              | Animal    | Echinodermata              | -5333000      | -2588000     | Astropecten
Astyris                                  | Animal    | Mollusca                   | -3600000      | -2588000     | Astyris
Atalophlebia                             | Animal    | Arthropoda                 | -5333000      | -2588000     | Atalophlebia
Atergatis                                | Animal    | Arthropoda                 | -5333000      | -2588000     | <>
