Canadonectites                           | Animal    | Mollusca                   | -196500000    | -183000000   | <>
Canavaria                                | Animal    | Mollusca                   | -183000000    | -182000000   | <>
Candona                                  | Animal    | Arthropoda                 | -199300000    | -170300000   | Candona
Canesium                                 | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Canoptum                                 | Micro     | Radiolaria                 | -183000000    | -175600000   | <>
Cantallocostoma                          | Animal    | Mollusca                   | -190800000    | -182700000   | <>
Cantalum                                 | Micro     | Radiolaria                 | -189600000    | -183000000   | <>
Canutus                                  | Micro     | Radiolaria                 | -183000000    | -182000000   | <>
Capillirostra                            | Animal    | Brachiopoda                | -190800000    | -182700000   | <>
Capnodoce                                | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Capnuchosphaera                          | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Capreoliceras                            | Animal    | Mollusca                   | -189600000    | -183000000   | <>
Carabites                                | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Caraphlebia                              | Animal    | Arthropoda                 | -183000000    | -182000000   | Caraphlebia
Cardinia                                 | Animal    | Mollusca                   | -183000000    | -182000000   | <>
Cardinioides                             | Animal    | Mollusca                   | -190800000    | -182700000   | <>
Cardium                                  | Animal    | Mollusca                   | -189600000    | -183000000   | <>
Cardobairdia                             | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Carinolithus                             | Plant     | Haptophyta                 | -183000000    | -182000000   | <>
Carterwhalenia                           | Micro     | Radiolaria                 | -190800000    | -182700000   | <>
Caryophyllia                             | Animal    | Cnidaria                   | -189600000    | -183000000   | Caryophyllia
Castanyiceras                            | Animal    | Mollusca                   | -189600000    | -183000000   | <>
Catacoeloceras                           | Animal    | Mollusca                   | -183000000    | -182000000   | Catacoeloceras
Catella                                  | Animal    | Mollusca                   | -183000000    | -182000000   | <>
Cathalus                                 | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Catriceras                               | Animal    | Mollusca                   | -189600000    | -183000000   | <>
Caturus                                  | Animal    | Chordata                   | -183000000    | -182000000   | Caturus
Cayeuxia                                 | Micro     | Cyanobacteria              | -189600000    | -183000000   | <>
Caytonanthus                             | Plant     | Pteridospermophyta         | -201300000    | -174100000   | Caytonanthus
Cenoceras                                | Animal    | Mollusca                   | -183000000    | -175600000   | Cenoceras
Centrolepis                              | Animal    | Chordata                   | -196500000    | -189600000   | Centrolepis
Cephalotaxopsis                          | Plant     | Coniferophyta              | -237000000    | -174100000   | <>
Ceratobairdia                            | Animal    | Arthropoda                 | -189600000    | -183000000   | <>
Ceratocoenia                             | Animal    | Cnidaria                   | -189600000    | -183000000   | <>
Ceratomya                                | Animal    | Mollusca                   | -183000000    | -175600000   | <>
Ceratomyopsis                            | Animal    | Mollusca                   | -201300000    | -145000000   | <>
Ceratosporites                           | Plant     | Pteridophyta               | -196500000    | -189600000   | <>
Cercomya                                 | Animal    | Mollusca                   | -189600000    | -183000000   | <>
Cetonoceras                              | Animal    | Mollusca                   | -189600000    | -183000000   | Cetonoceras
Chaetetes                                | Animal    | Porifera                   | -189600000    | -183000000   | Chaetetes
Changpeipus                              | Animal    | Chordata                   | -201300000    | -145000000   | Changpeipus
Charlottea                               | Micro     | Radiolaria                 | -183000000    | -182000000   | <>
Chartronella                             | Animal    | Mollusca                   | -189600000    | -182000000   | <>
Cheltonia                                | Animal    | Mollusca                   | -196500000    | -189600000   | Cheltonia
Chimaeropsis                             | Animal    | Chordata                   | -196500000    | -189600000   | <>
Chiropteris                              | Plant     | Cycadophyta                | -201300000    | -174100000   | Chiropteris
Chiton                                   | Animal    | Mollusca                   | -201300000    | -145000000   | Chiton
Chladocrinus                             | Animal    | Echinodermata              | -189600000    | -171600000   | <>
Chlamys                                  | Animal    | Mollusca                   | -183000000    | -175600000   | Chlamys_(bivalve)
Choffatirhynchia                         | Animal    | Brachiopoda                | -183000000    | -182000000   | <>
Chomatoseris                             | Animal    | Cnidaria                   | -183000000    | -182000000   | <>
Chondrocoenia                            | Animal    | Cnidaria                   | -190800000    | -182700000   | <>
Chondrosteus                             | Animal    | Chordata                   | -196500000    | -189600000   | Chondrosteus
Chondroteuthis                           | Animal    | Mollusca                   | -183000000    | -182000000   | Chondroteuthis
Chonetes                                 | Animal    | Brachiopoda                | -237000000    | -174100000   | Chonetes
Chrismooreia                             | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
