Beania                                   | Plant     | Cycadophyta                | -237000000    | -228000000   | Beania
Bektasia                                 | Animal    | Arthropoda                 | -235000000    | -221500000   | <>
Bellidispongia                           | Animal    | Porifera                   | -242000000    | -235000000   | <>
Belonorhynchus                           | Animal    | Chordata                   | -235000000    | -232000000   | <>
Beneckastraea                            | Animal    | Cnidaria                   | -237000000    | -201300000   | <>
Bennetticarpus                           | Plant     | Cycadeoideophyta           | -237000000    | -228000000   | <>
Bernoullia                               | Plant     | Pteridophyta               | -237000000    | -201300000   | Bernoullia
Besania                                  | Animal    | Chordata                   | -242000000    | -235000000   | Besania
Betraccium                               | Micro     | Radiolaria                 | -237000000    | -228000000   | <>
Beturiella                               | Micro     | Radiolaria                 | -235000000    | -232000000   | <>
Bevocastria                              | Micro     | Cyanobacteria              | -232000000    | -221500000   | <>
Beyrichites                              | Animal    | Mollusca                   | -237000000    | -208500000   | Beyrichites
Bigenerina                               | Micro     | Foraminifera               | -235000000    | -232000000   | <>
Binoculites                              | Animal    | Echinodermata              | -235000000    | -232000000   | <>
Bipedis                                  | Micro     | Radiolaria                 | -237000000    | -201300000   | <>
Birgeria                                 | Animal    | Chordata                   | -232000000    | -215560000   | Birgeria
Bistarkum                                | Micro     | Radiolaria                 | -237000000    | -228000000   | <>
Bittnerella                              | Animal    | Brachiopoda                | -232000000    | -221500000   | <>
Bittneria                                | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Bittnerula                               | Animal    | Brachiopoda                | -235000000    | -232000000   | <>
Blastochaetetes                          | Animal    | Porifera                   | -237000000    | -228000000   | <>
Bobosaurus                               | Animal    | Chordata                   | -235000000    | -232000000   | Bobosaurus
Bogdanella                               | Micro     | Radiolaria                 | -237000000    | -228000000   | <>
Bombur                                   | Animal    | Arthropoda                 | -235000000    | -232000000   | Bombur
Bonacynodon                              | Animal    | Chordata                   | -237000000    | -228000000   | Bonacynodon
Boreiospira                              | Animal    | Brachiopoda                | -237000000    | -228000000   | <>
Boreocixius                              | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Boreogomphodon                           | Animal    | Chordata                   | -237000000    | -228000000   | Boreogomphodon
