Antonioranina                            | Animal    | Arthropoda                 | -41300000     | -38000000    | <>
Antropora                                | Animal    | Bryozoa                    | -41300000     | -38000000    | Antropora
Apalone                                  | Animal    | Chordata                   | -40400000     | -37200000    | Apalone
Apataelurus                              | Animal    | Chordata                   | -46200000     | -40400000    | <>
Apatemys                                 | Animal    | Chordata                   | -40400000     | -37200000    | Apatemys
Aphananthe                               | Plant     | Spermatophyta              | -48600000     | -37200000    | Aphananthe
Aphanophora                              | Animal    | Echinodermata              | -41300000     | -38000000    | <>
Aphelocheirus                            | Animal    | Arthropoda                 | -41300000     | -33900000    | Aphelocheirus
Aphrocallistes                           | Animal    | Porifera                   | -41300000     | -38000000    | Aphrocallistes
Apiculatasporites                        | Plant     | Pteridophyta               | -48600000     | -37200000    | <>
Apiocypraea                              | Animal    | Mollusca                   | -56000000     | -38000000    | <>
Apiotoma                                 | Animal    | Mollusca                   | -41300000     | -38000000    | Apiotoma
Aplodinotus                              | Animal    | Chordata                   | -48600000     | -37200000    | Aplodinotus
Aplousina                                | Animal    | Bryozoa                    | -48600000     | -37200000    | <>
Apocynophyllum                           | Plant     | Spermatophyta              | -55800000     | -33900000    | <>
Apogon                                   | Animal    | Chordata                   | -41300000     | -38000000    | Apogon
Apogonidarum                             | Animal    | Chordata                   | -41300000     | -38000000    | <>
Aporolepas                               | Animal    | Arthropoda                 | -41300000     | -38000000    | <>
Aporrhais                                | Animal    | Mollusca                   | -41300000     | -38000000    | Aporrhais
Appendicisporites                        | Plant     | Pteridophyta               | -100500000    | -5333000     | <>
Apriculus                                | Animal    | Chordata                   | -46200000     | -40400000    | <>
Aprionodon                               | Animal    | Chordata                   | -41300000     | -38000000    | <>
Apristurus                               | Animal    | Chordata                   | -47800000     | -38000000    | Apristurus
Apternodus                               | Animal    | Chordata                   | -40400000     | -33900000    | <>
Apterodon                                | Animal    | Chordata                   | -41300000     | -33900000    | Apterodon
Araliaceoipollenites                     | Plant     | Spermatophyta              | -48600000     | -37200000    | <>
Aralia                                   | Plant     | Spermatophyta              | -48600000     | -37200000    | Aralia
Araliophyllum                            | Plant     | Angiospermae               | -46200000     | -40400000    | <>
Araloselachus                            | Animal    | Chordata                   | -41300000     | -33900000    | <>
Araucariacites                           | Plant     | Pinophyta                  | -100500000    | -33900000    | <>
Araucaria                                | Plant     | Pinophyta                  | -100500000    | -33900000    | Araucaria
Araucarites                              | Plant     | Pinophyta                  | -56000000     | -33900000    | <>
Arca                                     | Animal    | Mollusca                   | -41300000     | -33900000    | Arca
Archaeoheilus                            | Animal    | Arthropoda                 | -46200000     | -40400000    | <>
Archaeohyracotherium                     | Animal    | Chordata                   | -47800000     | -38000000    | <>
Archaeolagus                             | Animal    | Chordata                   | -41300000     | -38000000    | <>
Archaeolambda                            | Animal    | Chordata                   | -48600000     | -37200000    | <>
Archaeolithoporella                      | Plant     | Rhodophyta                 | -41300000     | -38000000    | <>
Archaeomanta                             | Animal    | Chordata                   | -41300000     | -38000000    | Archaeomanta
Archaeomeryx                             | Animal    | Chordata                   | -48600000     | -37200000    | Archaeomeryx
Archaeonycteris                          | Animal    | Chordata                   | -41300000     | -38000000    | Archaeonycteris
Archaeopithecus                          | Animal    | Chordata                   | -41300000     | -38000000    | <>
Archaeotetra                             | Animal    | Arthropoda                 | -48600000     | -37200000    | <>
Archaeotypotherium                       | Animal    | Chordata                   | -56000000     | -23030000    | <>
Archicypraea                             | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Archimyrmex                              | Animal    | Arthropoda                 | -46200000     | -40400000    | Archimyrmex
Architectonica                           | Animal    | Mollusca                   | -41300000     | -38000000    | Architectonica
Archoporella                             | Animal    | Bryozoa                    | -47800000     | -38000000    | <>
Arcinella                                | Animal    | Mollusca                   | -48600000     | -28400000    | Arcinella
Arcomytilus                              | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Arcopagia                                | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Arcoperna                                | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Arcopsis                                 | Animal    | Mollusca                   | -56000000     | -33900000    | <>
Arcoscalpellum                           | Animal    | Arthropoda                 | -41300000     | -38000000    | <>
Arctica                                  | Animal    | Mollusca                   | -48600000     | -37200000    | Arctica
Arctomelon                               | Animal    | Mollusca                   | -41300000     | -33900000    | Arctomelon
Arctotitan                               | Animal    | Chordata                   | -56000000     | -33900000    | <>
Arcuatula                                | Animal    | Mollusca                   | -41300000     | -38000000    | Arcuatula
Ardynia                                  | Animal    | Chordata                   | -48600000     | -37200000    | <>
Ardynictis                               | Animal    | Chordata                   | -48600000     | -37200000    | <>
Ardynomys                                | Animal    | Chordata                   | -40400000     | -33900000    | <>
Arechia                                  | Animal    | Chordata                   | -41300000     | -38000000    | Arechia
Arecipites                               | Plant     | Angiospermae               | -48600000     | -37200000    | <>
Arenagale                                | Animal    | Chordata                   | -41300000     | -38000000    | <>
Arenobulimina                            | Micro     | Foraminifera               | -48600000     | -37200000    | <>
Argillochelys                            | Animal    | Chordata                   | -41300000     | -38000000    | Argillochelys
Argilloecia                              | Animal    | Arthropoda                 | -48600000     | -37200000    | <>
Arginella                                | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Arginopsis                               | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Argopecten                               | Animal    | Mollusca                   | -48600000     | -28400000    | Argopecten
Argorheomys                              | Animal    | Chordata                   | -40400000     | -37200000    | <>
Argornis                                 | Animal    | Chordata                   | -48600000     | -37200000    | <>
Argyrotheca                              | Animal    | Brachiopoda                | -41300000     | -38000000    | Argyrotheca
Ariosoma                                 | Animal    | Chordata                   | -41300000     | -38000000    | Ariosoma
Arius                                    | Animal    | Chordata                   | -41300000     | -38000000    | Arius
Arminiheringia                           | Animal    | Chordata                   | -41300000     | -38000000    | <>
Arrhoges                                 | Animal    | Mollusca                   | -41300000     | -38000000    | Arrhoges
Arsinoitherium                           | Animal    | Chordata                   | -41300000     | -33900000    | Arsinoitherium
Artena                                   | Animal    | Mollusca                   | -48600000     | -37200000    | Artena
Arthrocardia                             | Plant     | Rhodophyta                 | -41300000     | -38000000    | <>
Arundo                                   | Plant     | Angiospermae               | -41300000     | -38000000    | Arundo
Asclepiadites                            | Plant     | Spermatophyta              | -48600000     | -37200000    | <>
Aseanpithecus                            | Animal    | Chordata                   | -41300000     | -38000000    | <>
Asiapternodus                            | Animal    | Chordata                   | -48600000     | -37200000    | <>
Asiatosuchus                             | Animal    | Chordata                   | -41300000     | -38000000    | Asiatosuchus
