Callograptus                             | Animal    | Hemichordata               | -409100000    | -391900000   | Callograptus
Calmonia                                 | Animal    | Arthropoda                 | -407600000    | -387700000   | Calmonia
Calvibembexia                            | Animal    | Mollusca                   | -407600000    | -393300000   | <>
Calycanthocrinus                         | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Calymene                                 | Animal    | Arthropoda                 | -410800000    | -402500000   | Calymene
Camarium                                 | Animal    | Brachiopoda                | -407600000    | -387700000   | <>
Camarocrinus                             | Animal    | Echinodermata              | -419200000    | -391900000   | <>
Camarotoechia                            | Animal    | Brachiopoda                | -402500000    | -391900000   | Camarotoechia
Campophyllum                             | Animal    | Cnidaria                   | -409100000    | -383700000   | <>
Cancellspyroceras                        | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Caneyella                                | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Caninia                                  | Animal    | Cnidaria                   | -419200000    | -298900000   | Caninia_(coral)
Caninophyllum                            | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Canonia                                  | Animal    | Chordata                   | -419200000    | -393300000   | Canonia
Cantabriastraea                          | Animal    | Cnidaria                   | -402500000    | -391900000   | <>
Caplinoplia                              | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Carcinosoma                              | Animal    | Arthropoda                 | -409100000    | -402500000   | Carcinosoma
Cardiola                                 | Animal    | Mollusca                   | -423000000    | -391900000   | Cardiola
Cardiolinka                              | Animal    | Mollusca                   | -423000000    | -391900000   | <>
Cardiomorpha                             | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Cardioserra                              | Animal    | Echinodermata              | -402500000    | -391900000   | <>
Cardipeltis                              | Animal    | Chordata                   | -407600000    | -393300000   | Cardipeltis
Carinagypa                               | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Carinatina                               | Animal    | Brachiopoda                | -402500000    | -387700000   | <>
Carinatrypa                              | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Carinonychia                             | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Carlinastraea                            | Animal    | Cnidaria                   | -402500000    | -391900000   | <>
Carolirhynchia                           | Animal    | Brachiopoda                | -402500000    | -387700000   | <>
Cartericardia                            | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Carydium                                 | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Cassidirostrum                           | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Cathlorhynchus                           | Animal    | Chordata                   | -407600000    | -393300000   | <>
