Cambrocyathellus                         | Animal    | Porifera                   | -516000000    | -513000000   | <>
Cambromedusa                             | Animal    | Cnidaria                   | -513000000    | -501000000   | <>
Cambropallas                             | Animal    | Arthropoda                 | -513000000    | -505000000   | Cambropallas
Cambroproteus                            | Animal    | Arthropoda                 | -513000000    | -505000000   | Cambroproteus
Cambrunicornia                           | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Camenella                                | Animal    | Brachiopoda                | -516000000    | -513000000   | Camenella
Camptostroma                             | Animal    | Echinodermata              | -516000000    | -513000000   | Camptostroma
Canadaspis                               | Animal    | Arthropoda                 | -513000000    | -498500000   | Canadaspis
Canadia                                  | Animal    | Annelida                   | -513000000    | -505000000   | Canadia
Canalilatus                              | Animal    | Brachiopoda                | -513000000    | -505000000   | <>
Canopoconus                              | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Canthylotreta                            | Animal    | Brachiopoda                | -513000000    | -498500000   | <>
Capitoconus                              | Animal    | Mollusca                   | -513000000    | -501000000   | <>
Capsospongia                             | Animal    | Porifera                   | -513000000    | -505000000   | Capsospongia
Capsulocyathus                           | Animal    | Porifera                   | -516000000    | -513000000   | <>
Cardiodictyon                            | Animal    | Onychophora                | -516000000    | -513000000   | Cardiodictyon
Carinacyathus                            | Animal    | Porifera                   | -516000000    | -513000000   | <>
Carinamala                               | Animal    | Arthropoda                 | -513000000    | -498500000   | Carinamala
Carinolithes                             | Animal    | Hyolitha                   | -513000000    | -505000000   | <>
Carinopelta                              | Animal    | Mollusca                   | -516000000    | -513000000   | Carinopelta
Carpicyathus                             | Animal    | Porifera                   | -516000000    | -513000000   | <>
Caryosyntrips                            | Animal    | Arthropoda                 | -513000000    | -505000000   | Caryosyntrips
Castericystis                            | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Catillicephala                           | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Catinouyia                               | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Cedaria                                  | Animal    | Arthropoda                 | -513000000    | -498500000   | Cedaria
Cedarina                                 | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Centropleura                             | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Ceratoconus                              | Animal    | Mollusca                   | -530000000    | -513000000   | <>
Ceratocystis                             | Animal    | Echinodermata              | -513000000    | -498500000   | Ceratocystis
Ceratreta                                | Animal    | Brachiopoda                | -541000000    | -477700000   | <>
Chabakovicyathus                         | Animal    | Porifera                   | -516000000    | -513000000   | <>
Chaetetes                                | Animal    | Porifera                   | -541000000    | -252170000   | Chaetetes
Chakassicyathus                          | Animal    | Porifera                   | -516000000    | -513000000   | <>
Chakasskinella                           | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Chancia                                  | Animal    | Arthropoda                 | -513000000    | -501000000   | Chancia
Chanciaopsis                             | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Changaspis                               | Animal    | Arthropoda                 | -516000000    | -513000000   | Changaspis
Changicyathus                            | Animal    | Porifera                   | -520000000    | -513000000   | <>
Changqingia                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Chaoaspis                                | Animal    | Arthropoda                 | -516000000    | -513000000   | Chaoaspis
Chatiania                                | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Chaunograptus                            | Animal    | Hemichordata               | -513000000    | -501000000   | Chaunograptus
Cheilocephalus                           | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Cheiruroides                             | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Chelidonocephalus                        | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Chengjiangaspis                          | Animal    | Arthropoda                 | -516000000    | -513000000   | Chengjiangaspis
Chengjiangocaris                         | Animal    | Arthropoda                 | -516000000    | -513000000   | Chengjiangocaris
Chengkouaspis                            | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Chengshanaspis                           | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Chile                                    | Animal    | Brachiopoda                | -516000000    | -513000000   | Chile
Chittidilla                              | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Choiaella                                | Animal    | Porifera                   | -516000000    | -513000000   | Choiaella
Choia                                    | Animal    | Porifera                   | -513000000    | -498500000   | Choia
Chondragraulina                          | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Chorbusulina                             | Animal    | Arthropoda                 | -541000000    | -513000000   | <>
Chouberticyathus                         | Animal    | Porifera                   | -516000000    | -513000000   | <>
Ciceragnostus                            | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Cigara                                   | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Cindarella                               | Animal    | Arthropoda                 | -516000000    | -513000000   | Cindarella
Cinnella                                 | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Circotheca                               | Animal    | Hyolitha                   | -513000000    | -501000000   | <>
Cirquella                                | Animal    | Arthropoda                 | -530000000    | -513000000   | Cirquella
Clarella                                 | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Claruscoscinus                           | Animal    | Porifera                   | -516000000    | -513000000   | <>
Claruscyathus                            | Animal    | Porifera                   | -516000000    | -513000000   | <>
Clathricoscinus                          | Animal    | Porifera                   | -516000000    | -513000000   | <>
Clathricyathellus                        | Animal    | Porifera                   | -516000000    | -513000000   | <>
Clathrithalamus                          | Animal    | Porifera                   | -516000000    | -513000000   | <>
Clavagnostus                             | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Clavaspidella                            | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Clavigellus                              | Animal    | Arthropoda                 | -530000000    | -501000000   | <>
Cobboldites                              | Animal    | Arthropoda                 | -513000000    | -501000000   | Cobboldites
Coleicarpus                              | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Combinivalvula                           | Animal    | Arthropoda                 | -516000000    | -513000000   | Combinivalvula
Comluella                                | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Compositocyathus                         | Animal    | Porifera                   | -516000000    | -513000000   | <>
Comptaluta                               | Animal    | Arthropoda                 | -516000000    | -513000000   | Comptaluta
Conannulofungia                          | Animal    | Porifera                   | -516000000    | -513000000   | <>
Conaspis                                 | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Condylopyge                              | Animal    | Arthropoda                 | -513000000    | -501000000   | Condylopyge
Conocoryphe                              | Animal    | Arthropoda                 | -513000000    | -501000000   | Conocoryphe
Conokephalina                            | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Conopolus                                | Animal    | Arthropoda                 | -513000000    | -498500000   | Conopolus
