Archaeocyon                              | Animal    | Chordata                   | -30800000     | -20430000    | Archaeocyon
Archaeodelphis                           | Animal    | Chordata                   | -28100000     | -23030000    | Archaeodelphis
Archaeodrapetiops                        | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Archaeohippus                            | Animal    | Chordata                   | -24800000     | -20430000    | Archaeohippus
Archaeohyrax                             | Animal    | Chordata                   | -29000000     | -21000000    | Archaeohyrax
Archaeolagus                             | Animal    | Chordata                   | -24800000     | -20430000    | <>
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -28100000     | -23030000    | <>
Archaeolycorea                           | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Archaeomys                               | Animal    | Chordata                   | -28100000     | -23030000    | <>
Archaeophasianus                         | Animal    | Chordata                   | -30800000     | -20430000    | <>
Archaeophylus                            | Animal    | Chordata                   | -29000000     | -21000000    | <>
Archaeospheniscus                        | Animal    | Chordata                   | -27300000     | -25200000    | Archaeospheniscus
Archaeotherium                           | Animal    | Chordata                   | -26300000     | -24800000    | Archaeotherium
Archaeotrogon                            | Animal    | Chordata                   | -33900000     | -23030000    | Archaeotrogon
Archaeotypotherium                       | Animal    | Chordata                   | -29000000     | -21000000    | <>
Archaeus                                 | Animal    | Chordata                   | -33900000     | -5333000     | Archaeus
Archaeutatus                             | Animal    | Chordata                   | -29000000     | -21000000    | <>
Archepseudophylla                        | Animal    | Arthropoda                 | -28400000     | -23030000    | <>
Architectonica                           | Animal    | Mollusca                   | -28100000     | -23030000    | Architectonica
Archivesica                              | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Archoporella                             | Animal    | Bryozoa                    | -33900000     | -23030000    | <>
Arcinella                                | Animal    | Mollusca                   | -28100000     | -20440000    | Arcinella
Arcopagia                                | Animal    | Mollusca                   | -33900000     | -23030000    | <>
Arcoperna                                | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Arcopsis                                 | Animal    | Mollusca                   | -28100000     | -20440000    | <>
Arcoscalpellum                           | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Arctica                                  | Animal    | Mollusca                   | -28100000     | -23030000    | Arctica_(bivalve)
Arctostaphylos                           | Plant     | Spermatophyta              | -33900000     | -23030000    | Arctostaphylos
Ardynia                                  | Animal    | Chordata                   | -28400000     | -23030000    | <>
Arecipites                               | Plant     | Angiospermae               | -28400000     | -15970000    | <>
Arenobulimina                            | Micro     | Foraminifera               | -33900000     | -23030000    | <>
Arenodosaria                             | Micro     | Foraminifera               | -28100000     | -23030000    | Arenodosaria
Argentina                                | Animal    | Chordata                   | -25200000     | -21700000    | Argentina_(fish)
Argilloecia                              | Animal    | Arthropoda                 | -28400000     | -23030000    | <>
