Diplotheca                               | Animal    | Mollusca                   | -513000000    | -501000000   | Diplotheca
Diraphora                                | Animal    | Brachiopoda                | -513000000    | -498500000   | Diraphora
Dolerolenus                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Dolichometopsis                          | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Dorispira                                | Animal    | Mollusca                   | -505000000    | -504000000   | <>
Dorsojugatus                             | Animal    | Hyolitha                   | -513000000    | -505000000   | <>
Doryagnostus                             | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Dorypyge                                 | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Dorypygina                               | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Douposiella                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Drepanochites                            | Animal    | Mollusca                   | -541000000    | -485400000   | Drepanochites
Drepanoistodus                           | Animal    | Chordata                   | -541000000    | -485400000   | <>
Dresbachia                               | Animal    | Arthropoda                 | -541000000    | -485400000   | Dresbachia
Durinia                                  | Animal    | Arthropoda                 | -513000000    | -498500000   | Durinia
Echmatocrinus                            | Animal    | Cnidaria                   | -513000000    | -501000000   | Echmatocrinus
Ehmania                                  | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Ehmaniella                               | Animal    | Arthropoda                 | -505000000    | -501000000   | Ehmaniella
Eiffelia                                 | Animal    | Porifera                   | -513000000    | -501000000   | Eiffelia
Eiffelospongia                           | Animal    | Porifera                   | -513000000    | -505000000   | Eiffelospongia
Eilura                                   | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Eldoradia                                | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Ellipsocephalus                          | Animal    | Arthropoda                 | -513000000    | -501000000   | Ellipsocephalus
Elliptocinctus                           | Animal    | Echinodermata              | -513000000    | -501000000   | <>
Elrathia                                 | Animal    | Arthropoda                 | -513000000    | -498500000   | Elrathia
Elrathiella                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Elrathina                                | Animal    | Arthropoda                 | -513000000    | -498500000   | Elrathina
Elyx                                     | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Emarginoconus                            | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Emarites                                 | Animal    | Hyolitha                   | -513000000    | -501000000   | <>
Emeraldella                              | Animal    | Arthropoda                 | -513000000    | -498500000   | Emeraldella
Enixus                                   | Animal    | Arthropoda                 | -505000000    | -504000000   | <>
Eoconcha                                 | Animal    | Brachiopoda                | -513000000    | -505000000   | <>
Eoconodontus                             | Animal    | Chordata                   | -541000000    | -485400000   | Eoconodontus
Eocystites                               | Animal    | Echinodermata              | -513000000    | -501000000   | Eocystites
Eodiscus                                 | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Eokochaspis                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Eoobolus                                 | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Eoorthis                                 | Animal    | Brachiopoda                | -541000000    | -485400000   | <>
Eoptychoparia                            | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Eoshengia                                | Animal    | Arthropoda                 | -505000000    | -497000000   | <>
Eosoptychoparia                          | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Eotaitzuia                               | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Eotebenna                                | Animal    | Mollusca                   | -507000000    | -505000000   | Eotebenna
Eothele                                  | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Erbia                                    | Animal    | Arthropoda                 | -513000000    | -501000000   | Erbia
Etoctenocystis                           | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Euarthricocephalus                       | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Euptychaspis                             | Animal    | Arthropoda                 | -541000000    | -485400000   | Euptychaspis
Eurekia                                  | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Eurodeois                                | Animal    | Arthropoda                 | -507000000    | -504000000   | <>
Eustypocystis                            | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Exigua                                   | Animal    | Arthropoda                 | -513000000    | -498500000   | Exigua
Extrania                                 | Animal    | Arthropoda                 | -505000000    | -497000000   | <>
Eymekops                                 | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Falospongia                              | Animal    | Porifera                   | -513000000    | -501000000   | Falospongia
Felbabkacystis                           | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Fenghuangella                            | Animal    | Arthropoda                 | -505000000    | -498500000   | <>
Fieldaspis                               | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Fieldia                                  | Animal    | Priapulida                 | -513000000    | -505000000   | Fieldia
Fieldospongia                            | Animal    | Porifera                   | -513000000    | -505000000   | Fieldospongia
Figurina                                 | Animal    | Mollusca                   | -507000000    | -505000000   | <>
Finkelnburgia                            | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Fissanomocarella                         | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Flemingia                                | Animal    | Arthropoda                 | -513000000    | -507000000   | Flemingia
Foersteotheca                            | Animal    | Hyolitha                   | -513000000    | -507000000   | <>
Forchhammeria                            | Animal    | Arthropoda                 | -513000000    | -501000000   | Forchhammeria
Forfexicaris                             | Animal    | Arthropoda                 | -513000000    | -501000000   | Forfexicaris
Formosagnostus                           | Animal    | Arthropoda                 | -505000000    | -498500000   | <>
Formosocephalus                          | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Fossuliella                              | Animal    | Brachiopoda                | -505000000    | -498500000   | <>
Fritzolenellus                           | Animal    | Arthropoda                 | -513000000    | -501000000   | Fritzolenellus
Fryxellodontus                           | Animal    | Chordata                   | -541000000    | -485400000   | <>
Fuchouia                                 | Animal    | Arthropoda                 | -505000000    | -497000000   | Fuchouia
Fungomacula                              | Micro     | Radiolaria                 | -507000000    | -505000000   | <>
Fuquania                                 | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Furnishina                               | Animal    | Chordata                   | -541000000    | -485400000   | Furnishina
Gaka                                     | Animal    | Hyolitha                   | -513000000    | -501000000   | <>
Gallagnostus                             | Animal    | Arthropoda                 | -513000000    | -501000000   | Gallagnostus
Gangdeeria                               | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Ganovexopyge                             | Animal    | Arthropoda                 | -507000000    | -504000000   | <>
Gaphuraspis                              | Animal    | Arthropoda                 | -507000000    | -504000000   | <>
Gapparodus                               | Animal    | Chaetognatha               | -513000000    | -501000000   | Gapparodus
Gedongaspis                              | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
