Araloselachus                            | Animal    | Chordata                   | -33900000     | -28100000    | <>
Aralosorex                               | Animal    | Chordata                   | -28400000     | -23030000    | <>
Aralotherium                             | Animal    | Chordata                   | -28400000     | -23030000    | Aralotherium
Arambourgthurus                          | Animal    | Chordata                   | -33900000     | -28100000    | <>
Araneaovoius                             | Animal    | Arthropoda                 | -33900000     | -23030000    | <>
Araneus                                  | Animal    | Arthropoda                 | -28400000     | -23030000    | Araneus
Araucariacites                           | Plant     | Pinophyta                  | -28400000     | -11608000    | <>
Araucaria                                | Plant     | Pinophyta                  | -28400000     | -15970000    | Araucaria
Arbia                                    | Animal    | Echinodermata              | -33900000     | -28100000    | <>
Arca                                     | Animal    | Mollusca                   | -28400000     | -15970000    | Arca
Archaebelyta                             | Animal    | Arthropoda                 | -28400000     | -23030000    | <>
Archaeochrysa                            | Animal    | Arthropoda                 | -28400000     | -23030000    | <>
Archaeocyon                              | Animal    | Chordata                   | -30800000     | -20430000    | Archaeocyon
Archaeohippus                            | Animal    | Chordata                   | -30800000     | -20430000    | Archaeohippus
Archaeohyrax                             | Animal    | Chordata                   | -29000000     | -21000000    | Archaeohyrax
Archaeolagus                             | Animal    | Chordata                   | -30800000     | -20430000    | <>
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -33900000     | -28100000    | <>
Archaeomangus                            | Animal    | Chordata                   | -33900000     | -28400000    | <>
Archaeomys                               | Animal    | Chordata                   | -28400000     | -23030000    | <>
Archaeophasianus                         | Animal    | Chordata                   | -30800000     | -20430000    | <>
Archaeophylus                            | Animal    | Chordata                   | -29000000     | -21000000    | <>
Archaeopteropus                          | Animal    | Chordata                   | -33900000     | -28400000    | <>
Archaeospheniscus                        | Animal    | Chordata                   | -28400000     | -15970000    | Archaeospheniscus
Archaeotherium                           | Animal    | Chordata                   | -30800000     | -20430000    | Archaeotherium
Archaeotrogon                            | Animal    | Chordata                   | -33900000     | -23030000    | Archaeotrogon
Archaeotypotherium                       | Animal    | Chordata                   | -29000000     | -21000000    | <>
Archaeus                                 | Animal    | Chordata                   | -33900000     | -28100000    | Archaeus
Archaeutatus                             | Animal    | Chordata                   | -29000000     | -21000000    | <>
Archaias                                 | Micro     | Foraminifera               | -33900000     | -28100000    | <>
Archepseudophylla                        | Animal    | Arthropoda                 | -28400000     | -23030000    | <>
Archierato                               | Animal    | Mollusca                   | -33900000     | -28400000    | <>
Archipraon                               | Animal    | Arthropoda                 | -33900000     | -28100000    | <>
Archisyrphus                             | Animal    | Arthropoda                 | -33900000     | -28100000    | <>
Architectonica                           | Animal    | Mollusca                   | -28400000     | -23030000    | Architectonica
Archivesica                              | Animal    | Mollusca                   | -33900000     | -23030000    | <>
Archoporella                             | Animal    | Bryozoa                    | -33900000     | -23030000    | <>
Arcinella                                | Animal    | Mollusca                   | -48600000     | -28400000    | Arcinella
Arcomytilus                              | Animal    | Mollusca                   | -33900000     | -28400000    | <>
Arcopagia                                | Animal    | Mollusca                   | -33900000     | -23030000    | <>
Arcoperna                                | Animal    | Mollusca                   | -28400000     | -23030000    | <>
Arcoscalpellum                           | Animal    | Arthropoda                 | -33900000     | -28100000    | <>
Arctica                                  | Animal    | Mollusca                   | -28400000     | -23030000    | Arctica_(bivalve)
Arctostaphylos                           | Plant     | Spermatophyta              | -33900000     | -23030000    | Arctostaphylos
Ardynia                                  | Animal    | Chordata                   | -28400000     | -23030000    | <>
Ardynomys                                | Animal    | Chordata                   | -33900000     | -28400000    | <>
Arecipites                               | Plant     | Angiospermae               | -28400000     | -15970000    | <>
Arene                                    | Animal    | Mollusca                   | -33900000     | -28100000    | <>
Arenobulimina                            | Micro     | Foraminifera               | -33900000     | -23030000    | <>
Argentina                                | Animal    | Chordata                   | -33900000     | -28100000    | Argentina_(fish)
Argilloecia                              | Animal    | Arthropoda                 | -28400000     | -23030000    | <>
Argobuccinum                             | Animal    | Mollusca                   | -33900000     | -28100000    | Argobuccinum
Argopecten                               | Animal    | Mollusca                   | -28400000     | -23030000    | Argopecten
