Calloporella                             | Animal    | Bryozoa                    | -455800000    | -445600000   | <>
Calloporina                              | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Callositella                             | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Calopora                                 | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Calpichitina                             | Micro     | Rhizopodea                 | -460900000    | -445600000   | <>
Calycocoelia                             | Animal    | Porifera                   | -471800000    | -457500000   | <>
Calymene                                 | Animal    | Arthropoda                 | -460900000    | -443700000   | Calymene
Calymenella                              | Animal    | Arthropoda                 | -455800000    | -445600000   | Calymenella
Calyptaulax                              | Animal    | Arthropoda                 | -455800000    | -443400000   | Calyptaulax
Camarotoechia                            | Animal    | Brachiopoda                | -460900000    | -449500000   | Camarotoechia
Camellaspongia                           | Animal    | Porifera                   | -460900000    | -449500000   | <>
Camerella                                | Animal    | Brachiopoda                | -455800000    | -452000000   | <>
Cameroceras                              | Animal    | Mollusca                   | -460900000    | -449500000   | Cameroceras
Campylorthis                             | Animal    | Brachiopoda                | -458400000    | -453000000   | <>
Canadocystis                             | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Carabocrinus                             | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Carcassonnella                           | Animal    | Mollusca                   | -455800000    | -445600000   | <>
Cardiocystites                           | Animal    | Echinodermata              | -458400000    | -455800000   | <>
Cardiograptus                            | Animal    | Hemichordata               | -460900000    | -449500000   | Cardiograptus
Cardiolaria                              | Animal    | Mollusca                   | -457500000    | -455800000   | <>
