Diplosphaerina                           | Micro     | Foraminifera               | -376100000    | -370600000   | <>
Diplothmema                              | Plant     | Pteridospermophyta         | -364700000    | -360700000   | <>
Dipterus                                 | Animal    | Chordata                   | -364700000    | -360700000   | Dipterus
Discoclymenia                            | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Disphyllum                               | Animal    | Cnidaria                   | -376100000    | -370600000   | <>
Dithyrocaris                             | Animal    | Arthropoda                 | -372200000    | -358900000   | <>
Diversiacus                              | Micro     | Radiolaria                 | -370600000    | -364700000   | <>
Dmitria                                  | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Dolabra                                  | Animal    | Mollusca                   | -364700000    | -360700000   | Dolabra
Dolatocrinus                             | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Dolorthoceras                            | Animal    | Mollusca                   | -364700000    | -360700000   | Dolorthoceras
Donalosia                                | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Douvillina                               | Animal    | Brachiopoda                | -382700000    | -358900000   | <>
Drepanaster                              | Animal    | Echinodermata              | -364700000    | -360700000   | <>
Drepanodus                               | Animal    | Chordata                   | -370600000    | -364700000   | <>
Drevermannia                             | Animal    | Arthropoda                 | -364700000    | -360700000   | <>
Dronovicrinus                            | Animal    | Echinodermata              | -372200000    | -358900000   | <>
Dunkleosteus                             | Animal    | Chordata                   | -372200000    | -358900000   | Dunkleosteus
Dutoitea                                 | Plant     | Tracheophyta               | -393300000    | -358900000   | Dutoitea
Dutoitia                                 | Plant     | Psilophytophyta            | -393300000    | -358900000   | <>
Dyscritella                              | Animal    | Bryozoa                    | -364700000    | -360700000   | <>
Dzieduszyckia                            | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Earlandia                                | Micro     | Foraminifera               | -382700000    | -358900000   | Earlandia
Ebbighausenites                          | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Echinocaris                              | Animal    | Arthropoda                 | -364700000    | -360700000   | <>
Echinocoelia                             | Animal    | Brachiopoda                | -370600000    | -364700000   | <>
Ectogrammysia                            | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Eddya                                    | Plant     | Gymnospermophyta           | -383700000    | -358900000   | <>
Edmondia                                 | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Egorovia                                 | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
