Calcistella                              | Animal    | Porifera                   | -145000000    | -132900000   | <>
Callialasporites                         | Plant     | Coniferophyta              | -145000000    | -100500000   | <>
Callianassa                              | Animal    | Arthropoda                 | -145000000    | -100500000   | Callianassa
Calliphylloceras                         | Animal    | Mollusca                   | -145000000    | -140200000   | Calliphylloceras
Callipurbeckia                           | Animal    | Chordata                   | -150800000    | -140200000   | Callipurbeckia
Callopterus                              | Animal    | Chordata                   | -145000000    | -140200000   | Callopterus
Caloxanthus                              | Animal    | Arthropoda                 | -145000000    | -100500000   | <>
Calpionella                              | Micro     | Ciliophora                 | -140200000    | -136400000   | Calpionella
Calpionellites                           | Micro     | Ciliophora                 | -140200000    | -136400000   | Calpionellites
Calpionellopsis                          | Micro     | Ciliophora                 | -140200000    | -136400000   | <>
Camerospongia                            | Animal    | Porifera                   | -140200000    | -136400000   | <>
Camerothyris                             | Animal    | Brachiopoda                | -145000000    | -140200000   | <>
Campbelliella                            | Plant     | Chlorophyta                | -145000000    | -140200000   | <>
Camptonectes                             | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Canoptum                                 | Micro     | Radiolaria                 | -140200000    | -136400000   | <>
Cantianiceras                            | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Canutus                                  | Micro     | Radiolaria                 | -145000000    | -140200000   | <>
Caprina                                  | Animal    | Mollusca                   | -140200000    | -125000000   | Caprina
Carabidium                               | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Carcharodontosaurus                      | Animal    | Chordata                   | -145000000    | -100500000   | Carcharodontosaurus
Carcineretes                             | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Cardiaster                               | Animal    | Echinodermata              | -145000000    | -66000000    | <>
Cardium                                  | Animal    | Mollusca                   | -145000000    | -132900000   | Cardium
Carinacaris                              | Animal    | Arthropoda                 | -145000000    | -66000000    | Carinacaris
Carinathilda                             | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Caririchnium                             | Animal    | Chordata                   | -145000000    | -100500000   | Caririchnium
Carneithyris                             | Animal    | Brachiopoda                | -145000000    | -66000000    | <>
Carpathiella                             | Animal    | Annelida                   | -150800000    | -139800000   | <>
Carpathocodium                           | Plant     | Chlorophyta                | -145000000    | -139800000   | <>
Carpathoporella                          | Animal    | Cnidaria                   | -145000000    | -140200000   | <>
Carpiliopsis                             | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Carpopenaeus                             | Animal    | Arthropoda                 | -145000000    | -66000000    | Carpopenaeus
Caturus                                  | Animal    | Chordata                   | -145000000    | -140200000   | Caturus
Cayeuxia                                 | Micro     | Cyanobacteria              | -140200000    | -136400000   | <>
Caypullisaurus                           | Animal    | Chordata                   | -145000000    | -139800000   | Caypullisaurus
Cecidomium                               | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Cecrops                                  | Micro     | Radiolaria                 | -140200000    | -125450000   | Cecrops
Celastrophyllum                          | Plant     | Spermatophyta              | -145000000    | -100500000   | <>
Celtedens                                | Animal    | Chordata                   | -145000000    | -139800000   | Celtedens
Cenodiscus                               | Micro     | Radiolaria                 | -140200000    | -132900000   | <>
Cenomanocarcinus                         | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Cenosphaera                              | Micro     | Radiolaria                 | -140200000    | -132900000   | <>
Centrosia                                | Animal    | Porifera                   | -140200000    | -136400000   | Centrosia
Cephalotaxopsis                          | Plant     | Coniferophyta              | -145000000    | -100500000   | <>
Cephalotaxospermum                       | Plant     | Pinophyta                  | -145000000    | -66000000    | <>
Ceratodus                                | Animal    | Chordata                   | -145000000    | -100500000   | Ceratodus
Ceratosaurus                             | Animal    | Chordata                   | -152100000    | -130000000   | Ceratosaurus
Ceratostreon                             | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Ceratotuberculus                         | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Cercopidium                              | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Cerithium                                | Animal    | Mollusca                   | -145000000    | -132900000   | Cerithium
Cerylonopsis                             | Animal    | Arthropoda                 | -145000000    | -139800000   | <>
Cetiosaurus                              | Animal    | Chordata                   | -140200000    | -130000000   | Cetiosaurus
Chaetetopsis                             | Animal    | Porifera                   | -152100000    | -139800000   | <>
Chalawan                                 | Animal    | Chordata                   | -152100000    | -139800000   | Chalawan
Chama                                    | Animal    | Mollusca                   | -145000000    | -66000000    | Chama
Chaoyangsaurus                           | Animal    | Chordata                   | -150800000    | -132900000   | Chaoyangsaurus
Chara                                    | Plant     | Charophyta                 | -145000000    | -139800000   | Chara
Characichnos                             | Animal    | Chordata                   | -145000000    | -125000000   | <>
Charentia                                | Micro     | Foraminifera               | -145000000    | -139800000   | <>
Chariocrinus                             | Animal    | Echinodermata              | -145000000    | -139800000   | <>
Charltonithyris                          | Animal    | Brachiopoda                | -145000000    | -139800000   | <>
Chartecytis                              | Animal    | Bryozoa                    | -145000000    | -139800000   | <>
Chelone                                  | Animal    | Chordata                   | -140200000    | -136400000   | Chelone
Cheramus                                 | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Chetaites                                | Animal    | Mollusca                   | -145000000    | -139800000   | <>
Chigaroceras                             | Animal    | Mollusca                   | -150800000    | -129400000   | <>
Chironomopsis                            | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Chladocrinus                             | Animal    | Echinodermata              | -145000000    | -132900000   | <>
Chlamys                                  | Animal    | Mollusca                   | -140200000    | -136400000   | Chlamys
Choicensisphinctes                       | Animal    | Mollusca                   | -145000000    | -139800000   | <>
Chresmoda                                | Animal    | Arthropoda                 | -145000000    | -139800000   | Chresmoda
Chrysotheca                              | Plant     | Bryophyta                  | -145000000    | -66000000    | <>
Chuelskia                                | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Chuhsiungichthys                         | Animal    | Chordata                   | -145000000    | -130000000   | Chuhsiungichthys
Chunnelodon                              | Animal    | Chordata                   | -145000000    | -140200000   | Chunnelodon
Cicadellium                              | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Cicatricosisporites                      | Plant     | Pteridophyta               | -140200000    | -136400000   | <>
Cicatricososporites                      | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Cidaris                                  | Animal    | Echinodermata              | -145000000    | -100500000   | Cidaris
Cimicidium                               | Animal    | Arthropoda                 | -145000000    | -139800000   | <>
Cingulatisporites                        | Plant     | Pteridophyta               | -145000000    | -125000000   | <>
Cinguloturris                            | Micro     | Radiolaria                 | -140200000    | -136400000   | <>
Cionocoleus                              | Animal    | Arthropoda                 | -145000000    | -140200000   | Cionocoleus
Cissites                                 | Plant     | Spermatophyta              | -145000000    | -100500000   | Cissites
Citharina                                | Micro     | Foraminifera               | -140200000    | -136400000   | <>
Cixioides                                | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Cladocoropsis                            | Animal    | Porifera                   | -145000000    | -140200000   | <>
Cladocyclus                              | Animal    | Chordata                   | -145000000    | -100500000   | Cladocyclus
Cladophlebis                             | Plant     | Pteridophyta               | -140200000    | -136400000   | Cladophlebis
Cladophyllia                             | Animal    | Cnidaria                   | -145000000    | -132900000   | <>
Classopollis                             | Plant     | Coniferophyta              | -145000000    | -100500000   | <>
Clathropteris                            | Plant     | Pteridophyta               | -152100000    | -139800000   | <>
Clausastrea                              | Animal    | Cnidaria                   | -150800000    | -140200000   | <>
Clavatipollenites                        | Plant     | Spermatophyta              | -145000000    | -100500000   | <>
Clavator                                 | Plant     | Charophyta                 | -145000000    | -136400000   | Clavator
Clavifera                                | Plant     | Pteridophyta               | -145000000    | -100500000   | <>
Clidastes                                | Animal    | Chordata                   | -145000000    | -66000000    | Clidastes
