Arachnopusia                             | Animal    | Bryozoa                    | -1630000      | -340000      | <>
Araucaria                                | Plant     | Pinophyta                  | -781000       | 2030         | Araucaria
Arbacia                                  | Animal    | Echinodermata              | -2588000      | -11700       | Arbacia
Arca                                     | Animal    | Mollusca                   | -781000       | -11700       | Arca
Archaeolacerta                           | Animal    | Chordata                   | -781000       | -126000      | Archaeolacerta
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -2588000      | -11700       | <>
Archidendron                             | Plant     | Spermatophyta              | -2588000      | -11700       | Archidendron
Architectonica                           | Animal    | Mollusca                   | -781000       | -11700       | Architectonica
Archontophoenix                          | Plant     | Angiospermae               | -781000       | 2030         | Archontophoenix
Archoplites                              | Animal    | Chordata                   | -1800000      | -300000      | Archoplites
Archosargus                              | Animal    | Chordata                   | -1800000      | -300000      | Archosargus
Arcinella                                | Animal    | Mollusca                   | -781000       | -126000      | Arcinella
Arcopagia                                | Animal    | Mollusca                   | -781000       | -126000      | <>
Arcopaginula                             | Animal    | Mollusca                   | -5333000      | -11700       | <>
Arcopsis                                 | Animal    | Mollusca                   | -781000       | -126000      | <>
Arctica                                  | Animal    | Mollusca                   | -781000       | -126000      | Arctica_(bivalve)
Arctocephalus                            | Animal    | Chordata                   | -781000       | -126000      | Arctocephalus
Arctodus                                 | Animal    | Chordata                   | -781000       | -126000      | Arctodus
Arctonyx                                 | Animal    | Chordata                   | -781000       | -11700       | Arctonyx
Arctotherium                             | Animal    | Chordata                   | -781000       | -12000       | Arctotherium
Ardea                                    | Animal    | Chordata                   | -300000       | -12000       | Ardea_(bird)
Ardenna                                  | Animal    | Chordata                   | -300000       | -12000       | Ardenna
Arenaeus                                 | Animal    | Arthropoda                 | -2588000      | -11700       | Arenaeus
Arenaria                                 | Animal    | Chordata                   | -2588000      | -11700       | Turnstone
Arene                                    | Animal    | Mollusca                   | -781000       | -126000      | <>
Argalista                                | Animal    | Mollusca                   | -1630000      | -340000      | Argalista
Argentina                                | Animal    | Chordata                   | -781000       | -126000      | Argentina_(fish)
Argobuccinum                             | Animal    | Mollusca                   | -2588000      | -11700       | Argobuccinum
Argopecten                               | Animal    | Mollusca                   | -781000       | -126000      | Argopecten
Argophyllum                              | Plant     | Spermatophyta              | -2588000      | -11700       | Argophyllum
Argyrodendron                            | Plant     | Spermatophyta              | -781000       | 2030         | Argyrodendron
Argyrolagus                              | Animal    | Chordata                   | -781000       | -12000       | Argyrolagus
Argyropelecus                            | Animal    | Chordata                   | -2588000      | -126000      | Argyropelecus
Argyrotheca                              | Animal    | Brachiopoda                | -781000       | -126000      | Argyrotheca
Ariadna                                  | Animal    | Arthropoda                 | -5333000      | -11700       | Ariadna
Arius                                    | Animal    | Chordata                   | -300000       | -12000       | <>
Arnoglossus                              | Animal    | Chordata                   | -2588000      | -126000      | Arnoglossus
Arossia                                  | Animal    | Arthropoda                 | -2588000      | -11700       | Arossia
Artemisia                                | Plant     | Spermatophyta              | -781000       | -126000      | Artemisia_(plant)
Arundo                                   | Plant     | Angiospermae               | -2588000      | 2030         | Arundo
Arvernoceros                             | Animal    | Chordata                   | -781000       | -126000      | Arvernoceros
Arvicanthis                              | Animal    | Chordata                   | -2588000      | 2030         | Arvicanthis
Arvicola                                 | Animal    | Chordata                   | -781000       | -11700       | Arvicola
Arytera                                  | Plant     | Spermatophyta              | -2588000      | -11700       | Arytera
Asaphis                                  | Animal    | Mollusca                   | -781000       | -126000      | <>
Aseraggodes                              | Animal    | Chordata                   | -340000       | 2030         | Aseraggodes
Asio                                     | Animal    | Chordata                   | -300000       | -12000       | Asio
Asoriculus                               | Animal    | Chordata                   | -781000       | -126000      | Asoriculus
Aspatharia                               | Animal    | Mollusca                   | -5333000      | -11700       | Aspatharia
Aspella                                  | Animal    | Mollusca                   | -2588000      | -11700       | Aspella
Asperula                                 | Plant     | Spermatophyta              | -2588000      | -11700       | Asperula
Aspidiphorus                             | Animal    | Arthropoda                 | -781000       | -126000      | <>
Aspidium                                 | Plant     | Pteridophyta               | -781000       | 2030         | Aspidium
Aspitrigla                               | Animal    | Chordata                   | -781000       | -126000      | Aspitrigla
Aspius                                   | Animal    | Chordata                   | -781000       | -126000      | Aspius
Asplenium                                | Plant     | Pteridophyta               | -781000       | 2030         | Asplenium
Assiminea                                | Animal    | Mollusca                   | -2588000      | 2030         | Assiminea
Astarte                                  | Animal    | Mollusca                   | -781000       | -126000      | Astarte_(bivalve)
Astelia                                  | Plant     | Angiospermae               | -2588000      | -126000      | Astelia
Asterias                                 | Animal    | Echinodermata              | -2588000      | -11700       | Asterias
Astraea                                  | Animal    | Mollusca                   | -781000       | -126000      | <>
Astralium                                | Animal    | Mollusca                   | -781000       | -126000      | Astralium
Astrangia                                | Animal    | Cnidaria                   | -781000       | -126000      | Astrangia
