Aulavescus                               | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Austriellula                             | Animal    | Brachiopoda                | -182700000    | -174100000   | <>
Austrohamia                              | Plant     | Pinophyta                  | -182700000    | -170300000   | <>
Austropanorpa                            | Animal    | Arthropoda                 | -182700000    | -174100000   | Austropanorpa
Austrorhyphus                            | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -237000000    | -174100000   | Aviculopecten
Axopodorhabdus                           | Plant     | Haptophyta                 | -180100000    | -175600000   | <>
Axotrochus                               | Animal    | Cnidaria                   | -182700000    | -174100000   | <>
Bacutriletes                             | Plant     | Lycophyta                  | -208500000    | -174100000   | <>
Bagotum                                  | Micro     | Radiolaria                 | -183000000    | -182000000   | <>
Bagualia                                 | Animal    | Chordata                   | -182000000    | -175600000   | Bagualia
Baiera                                   | Plant     | Ginkgophyta                | -175600000    | -171600000   | Baiera
Baieroxylon                              | Plant     | Ginkgophyta                | -201300000    | -174100000   | Baieroxylon
Bairdia                                  | Animal    | Arthropoda                 | -180100000    | -175600000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -180100000    | -175600000   | <>
Bakonyithyris                            | Animal    | Brachiopoda                | -183000000    | -182000000   | <>
Balanocrinus                             | Animal    | Echinodermata              | -183000000    | -182000000   | <>
Baleyopteryx                             | Animal    | Arthropoda                 | -182700000    | -170300000   | <>
Bandellina                               | Animal    | Mollusca                   | -180100000    | -175600000   | <>
Barbatia                                 | Animal    | Mollusca                   | -182000000    | -175600000   | Barbatia
Bareus                                   | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Baseopsis                                | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Basinotopus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Bathrotomaria                            | Animal    | Mollusca                   | -180100000    | -175600000   | <>
Bathygerus                               | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Bathytheristes                           | Animal    | Chordata                   | -183000000    | -182000000   | Bathytheristes
Batrachopus                              | Animal    | Chordata                   | -190800000    | -174100000   | Batrachopus
Bdellodus                                | Animal    | Chordata                   | -182700000    | -174100000   | Bdellodus
Belemnites                               | Animal    | Mollusca                   | -183000000    | -182000000   | Belemnites
Belemnobatis                             | Animal    | Chordata                   | -182700000    | -174100000   | Belemnobatis
Belemnopsis                              | Animal    | Mollusca                   | -175600000    | -145000000   | Belemnopsis
Belmonticeras                            | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Benacia                                  | Animal    | Porifera                   | -190800000    | -174100000   | <>
Bennetticarpus                           | Plant     | Cycadeoideophyta           | -208500000    | -174100000   | <>
Bennettistemon                           | Plant     | Cycadeoideophyta           | -208500000    | -174100000   | <>
Berberosaurus                            | Animal    | Chordata                   | -190800000    | -174100000   | Berberosaurus
Berenicea                                | Animal    | Bryozoa                    | -183000000    | -182000000   | <>
Bernoullius                              | Micro     | Radiolaria                 | -175600000    | -171600000   | <>
Bharatagama                              | Animal    | Chordata                   | -182700000    | -170300000   | Bharatagama
