Asoriculus                               | Animal    | Chordata                   | -2588000      | -11700       | Asoriculus
Aspatharia                               | Animal    | Mollusca                   | -5333000      | -11700       | Aspatharia
Aspella                                  | Animal    | Mollusca                   | -2588000      | -11700       | Aspella
Asperarca                                | Animal    | Mollusca                   | -1806000      | -781000      | <>
Asperula                                 | Plant     | Spermatophyta              | -2588000      | -11700       | Asperula
Aspidium                                 | Plant     | Pteridophyta               | -2588000      | -11700       | Aspidium
Asplenium                                | Plant     | Pteridophyta               | -2588000      | -11700       | Asplenium
Assiminea                                | Animal    | Mollusca                   | -2588000      | 2030         | Assiminea
Assiminia                                | Animal    | Mollusca                   | -3600000      | -781000      | <>
Astarte                                  | Animal    | Mollusca                   | -2588000      | -11700       | Astarte
Astelia                                  | Plant     | Angiospermae               | -2588000      | -126000      | Astelia
Asterias                                 | Animal    | Echinodermata              | -2588000      | -11700       | Asterias
Asterigerina                             | Micro     | Foraminifera               | -2588000      | -781000      | <>
Asterosmilia                             | Animal    | Cnidaria                   | -2588000      | -781000      | Asterosmilia
Astraea                                  | Animal    | Mollusca                   | -2588000      | -11700       | Astraea
Astralium                                | Animal    | Mollusca                   | -2588000      | -781000      | Astralium
Astrangia                                | Animal    | Cnidaria                   | -2588000      | -11700       | Astrangia
Astrea                                   | Animal    | Cnidaria                   | -1806000      | -781000      | Astrea
Astreopora                               | Animal    | Cnidaria                   | -2588000      | 2030         | Astreopora
Astrhelia                                | Animal    | Cnidaria                   | -5333000      | -11700       | <>
Astrocoenia                              | Animal    | Cnidaria                   | -5333000      | -11700       | <>
Astroides                                | Animal    | Cnidaria                   | -2588000      | -781000      | Astroides
Astyris                                  | Animal    | Mollusca                   | -2588000      | -11700       | Astyris
Atactodea                                | Animal    | Mollusca                   | -2588000      | -11700       | <>
Atelecyclus                              | Animal    | Arthropoda                 | -2588000      | -11700       | Atelecyclus
Atelerix                                 | Animal    | Chordata                   | -2588000      | 2030         | Atelerix
Ateuchus                                 | Animal    | Arthropoda                 | -1800000      | -300000      | Ateuchus
Athene                                   | Animal    | Chordata                   | -1800000      | -300000      | Athene
Atherina                                 | Animal    | Chordata                   | -2588000      | -781000      | Atherina
Atherosperma                             | Plant     | Spermatophyta              | -2588000      | -126000      | Atherosperma
Atherurus                                | Animal    | Chordata                   | -2588000      | -781000      | Atherurus
Athrotaxis                               | Plant     | Pinophyta                  | -2588000      | -126000      | Athrotaxis
Atilax                                   | Animal    | Chordata                   | -2588000      | 2030         | Atilax
Atlanta                                  | Animal    | Mollusca                   | -2588000      | -11700       | Atlanta
Atopomys                                 | Animal    | Chordata                   | -1800000      | -300000      | <>
Atractosteus                             | Animal    | Chordata                   | -1800000      | -300000      | Atractosteus
Atrina                                   | Animal    | Mollusca                   | -2588000      | -11700       | Atrina
Attiliosa                                | Animal    | Mollusca                   | -2588000      | -781000      | Attiliosa
Atys                                     | Animal    | Mollusca                   | -1806000      | -781000      | Atys
Auchenoceros                             | Animal    | Chordata                   | -1630000      | -340000      | Auchenoceros
Auchenoglanis                            | Animal    | Chordata                   | -5333000      | -11700       | Auchenoglanis
Aulacomya                                | Animal    | Mollusca                   | -2588000      | -11700       | Aulacomya
Aurila                                   | Animal    | Arthropoda                 | -1806000      | -781000      | <>
Australopithecus                         | Animal    | Chordata                   | -1806000      | -781000      | Australopithecus
Austroharpa                              | Animal    | Mollusca                   | -2588000      | -781000      | Austroharpa
Austrorissopsis                          | Animal    | Mollusca                   | -1630000      | -340000      | <>
Austrothyris                             | Animal    | Brachiopoda                | -1806000      | -781000      | <>
Avicula                                  | Animal    | Mollusca                   | -2588000      | -11700       | <>
Awashia                                  | Animal    | Chordata                   | -5333000      | -11700       | <>
Axinopsida                               | Animal    | Mollusca                   | -2588000      | 2030         | <>
Axinus                                   | Animal    | Mollusca                   | -2588000      | -11700       | <>
Axis                                     | Animal    | Chordata                   | -2588000      | -11700       | Axis
Axius                                    | Animal    | Arthropoda                 | -2588000      | -11700       | Axius
Aythya                                   | Animal    | Chordata                   | -1800000      | -300000      | Aythya
Azolla                                   | Plant     | Pteridophyta               | -2588000      | -11700       | Azolla
Azorinus                                 | Animal    | Mollusca                   | -1806000      | -781000      | <>
Aztlanolagus                             | Animal    | Chordata                   | -1800000      | -300000      | Aztlanolagus
Babylonia                                | Animal    | Mollusca                   | -2588000      | -11700       | Babylonia
Babyrousa                                | Animal    | Chordata                   | -2588000      | -11700       | Babyrousa
Baculatisporites                         | Plant     | Pteridophyta               | -2588000      | -781000      | <>
Baculogypsinoides                        | Micro     | Foraminifera               | -2588000      | -781000      | <>
Baeckea                                  | Plant     | Spermatophyta              | -2588000      | -126000      | Baeckea
Bagre                                    | Animal    | Chordata                   | -1806000      | -781000      | Bagre
Bagrus                                   | Animal    | Chordata                   | -2588000      | 2030         | Bagrus
Bailya                                   | Animal    | Mollusca                   | -2588000      | -11700       | Bailya
Baiomys                                  | Animal    | Chordata                   | -1800000      | -300000      | Baiomys
Balaena                                  | Animal    | Chordata                   | -15970000     | -781000      | Balaena
Balaenoptera                             | Animal    | Chordata                   | -15970000     | -11700       | Balaenoptera
Balaenotus                               | Animal    | Chordata                   | -15970000     | -781000      | Balaenotus
Balaenula                                | Animal    | Chordata                   | -1806000      | -781000      | Balaenula
Balanophyllia                            | Animal    | Cnidaria                   | -1806000      | -781000      | Balanophyllia
Balanops                                 | Plant     | Spermatophyta              | -2588000      | -11700       | Balanops
Balanus                                  | Animal    | Arthropoda                 | -1806000      | -781000      | Balanus
Balcis                                   | Animal    | Mollusca                   | -2588000      | 2030         | <>
Balistes                                 | Animal    | Chordata                   | -1800000      | -300000      | Balistes
Bambusum                                 | Animal    | Mollusca                   | -2588000      | -781000      | <>
Banksia                                  | Plant     | Spermatophyta              | -2588000      | -11700       | Banksia
Banksieaeidites                          | Plant     | Spermatophyta              | -2588000      | -126000      | Banksieaeidites
Bannerella                               | Micro     | Foraminifera               | -1806000      | -781000      | <>
Baranogale                               | Animal    | Chordata                   | -5333000      | -11700       | <>
Barbarofusus                             | Animal    | Mollusca                   | -2588000      | 2030         | Barbarofusus
Barbatia                                 | Animal    | Mollusca                   | -1630000      | -340000      | Barbatia
Barbus                                   | Animal    | Chordata                   | -1806000      | -781000      | Barbus
Baringa                                  | Animal    | Chordata                   | -2588000      | -11700       | Baringa
Barleeia                                 | Animal    | Mollusca                   | -2588000      | 2030         | Barleeia
Barnea                                   | Animal    | Mollusca                   | -2588000      | -11700       | Barnea
Bartschella                              | Animal    | Mollusca                   | -2588000      | 2030         | Bartschella
Basiliola                                | Animal    | Brachiopoda                | -1806000      | -126000      | Basiliola
