Ardea                                    | Animal    | Chordata                   | -10300000     | -4900000     | Ardea_(bird)
Ardenna                                  | Animal    | Chordata                   | -4900000      | -1800000     | Ardenna
Ardipithecus                             | Animal    | Chordata                   | -11620000     | -3600000     | Ardipithecus
Arecipites                               | Plant     | Angiospermae               | -15970000     | -3600000     | <>
Arene                                    | Animal    | Mollusca                   | -5333000      | -3600000     | Arene
Argentina                                | Animal    | Chordata                   | -5333000      | -3600000     | Argentina_(fish)
Argobuccinum                             | Animal    | Mollusca                   | -5333000      | -2588000     | Argobuccinum
Argonauta                                | Animal    | Mollusca                   | -5333000      | -3600000     | Argonauta
Argopecten                               | Animal    | Mollusca                   | -11608000     | -2588000     | Argopecten
Argyrohyus                               | Animal    | Chordata                   | -4000000      | -3000000     | <>
Argyrolagus                              | Animal    | Chordata                   | -4000000      | -3000000     | Argyrolagus
Argyropelecus                            | Animal    | Chordata                   | -5333000      | -2588000     | Argyropelecus
Argyropeza                               | Animal    | Mollusca                   | -5333000      | -2588000     | Argyropeza
Argyrotheca                              | Animal    | Brachiopoda                | -5333000      | -2588000     | Argyrotheca
Ariadna                                  | Animal    | Arthropoda                 | -5333000      | -11700       | Ariadna
Ariosoma                                 | Animal    | Chordata                   | -5333000      | -2588000     | Ariosoma
Arius                                    | Animal    | Chordata                   | -10300000     | -4900000     | Arius
Arizona                                  | Animal    | Chordata                   | -10300000     | -4900000     | Arizona
Arnoglossus                              | Animal    | Chordata                   | -5333000      | -2400000     | Arnoglossus
Arnoldina                                | Animal    | Chordata                   | -5333000      | -2588000     | <>
Arossia                                  | Animal    | Arthropoda                 | -5333000      | -3600000     | Arossia
Artemisia                                | Plant     | Spermatophyta              | -11608000     | -2588000     | Artemisia_(plant)
Arthropoma                               | Animal    | Bryozoa                    | -5333000      | -2588000     | <>
Artigasia                                | Animal    | Chordata                   | -6800000      | -781000      | Artigasia
Arturium                                 | Animal    | Arthropoda                 | -5333000      | -3600000     | <>
Arvernoceros                             | Animal    | Chordata                   | -4200000      | -2588000     | Arvernoceros
Arvicanthis                              | Animal    | Chordata                   | -11608000     | -2588000     | Arvicanthis
Arvicola                                 | Animal    | Chordata                   | -5333000      | -3600000     | Arvicola
