Caninophyllum                            | Animal    | Cnidaria                   | -323200000    | -307000000   | <>
Caninostrotion                           | Animal    | Cnidaria                   | -318100000    | -314600000   | <>
Carbonicola                              | Animal    | Mollusca                   | -318100000    | -314600000   | Carbonicola
Carbosesostris                           | Animal    | Annelida                   | -326400000    | -318100000   | <>
Carbotubulus                             | Animal    | Onychophora                | -318100000    | -306950000   | <>
Carcharopsis                             | Animal    | Chordata                   | -326400000    | -318100000   | <>
Carcinophyllum                           | Animal    | Cnidaria                   | -323200000    | -315200000   | <>
Cardiomorpha                             | Animal    | Mollusca                   | -323200000    | -298900000   | <>
Cardiopteridium                          | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Cardium                                  | Animal    | Mollusca                   | -323200000    | -315200000   | Cardium
Careoseptum                              | Animal    | Brachiopoda                | -323200000    | -307000000   | <>
Caridosuctor                             | Animal    | Chordata                   | -326400000    | -318100000   | Caridosuctor
Carinostrobus                            | Plant     | Lycophyta                  | -358900000    | -298900000   | <>
Carlinia                                 | Animal    | Brachiopoda                | -339400000    | -314600000   | <>
Carnauba                                 | Animal    | Mollusca                   | -318100000    | -305900000   | Carnauba
Carpentertypus                           | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Caruthia                                 | Animal    | Brachiopoda                | -318100000    | -311450000   | <>
Catastroboceras                          | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Catazona                                 | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Caulopteris                              | Plant     | Pteridophyta               | -323200000    | -298900000   | <>
Cavellina                                | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Cavilentia                               | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Cavusgnathus                             | Animal    | Chordata                   | -318100000    | -314600000   | Cavusgnathus
Celox                                    | Animal    | Mollusca                   | -323200000    | -272300000   | Celox
Centrodus                                | Animal    | Chordata                   | -323200000    | -298900000   | <>
Chaenocardiola                           | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Chaenomya                                | Animal    | Mollusca                   | -318100000    | -305900000   | <>
Chaetetes                                | Animal    | Porifera                   | -318100000    | -311450000   | Chaetetes
Chaloneria                               | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Chaoiella                                | Animal    | Brachiopoda                | -323200000    | -295500000   | <>
Cheilotrypa                              | Animal    | Bryozoa                    | -323200000    | -315200000   | <>
Chelyophorus                             | Animal    | Chordata                   | -323200000    | -298900000   | Chelyophorus
Chiridota                                | Animal    | Echinodermata              | -326400000    | -318100000   | Chiridota
Chirotherium                             | Animal    | Chordata                   | -323200000    | -298900000   | Chirotherium
Choctawites                              | Animal    | Mollusca                   | -358900000    | -298900000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -318100000    | -311450000   | Chonetes
Chonetina                                | Animal    | Brachiopoda                | -318100000    | -314600000   | <>
Chonetinella                             | Animal    | Brachiopoda                | -358900000    | -298900000   | <>
