Cavatisinurostrum                        | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Cavellina                                | Animal    | Arthropoda                 | -379500000    | -376100000   | <>
Cavospongiella                           | Animal    | Porifera                   | -376100000    | -370600000   | <>
Ceciliaphyllum                           | Animal    | Cnidaria                   | -382700000    | -372200000   | <>
Centroceras                              | Animal    | Mollusca                   | -419200000    | -358900000   | Centroceras
Centronella                              | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Ceratoikiscum                            | Micro     | Radiolaria                 | -379500000    | -376100000   | <>
Ceratophyllum                            | Animal    | Cnidaria                   | -388100000    | -382400000   | Ceratophyllum
Chaetetes                                | Animal    | Porifera                   | -382700000    | -372200000   | Chaetetes
Chamishaella                             | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Chapinella                               | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Charactophyllum                          | Animal    | Cnidaria                   | -382700000    | -372200000   | <>
Charionella                              | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Cheilaxonia                              | Animal    | Cnidaria                   | -376100000    | -370600000   | <>
Cheiloceras                              | Animal    | Mollusca                   | -376100000    | -370600000   | Cheiloceras
Cheirolepis                              | Animal    | Chordata                   | -382700000    | -372200000   | Cheirolepis
Chelmastanites                           | Animal    | Lophotrochozoa             | -387700000    | -372200000   | <>
Chimaerocycloides                        | Animal    | Echinodermata              | -382400000    | -379500000   | <>
Chirodipterus                            | Animal    | Chordata                   | -382700000    | -358900000   | Chirodipterus
Chonetes                                 | Animal    | Brachiopoda                | -376100000    | -370600000   | Chonetes
Chonophyllum                             | Animal    | Cnidaria                   | -382700000    | -358900000   | <>
Chonostrophia                            | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Chuanbeiphyllum                          | Animal    | Cnidaria                   | -379500000    | -376100000   | <>
Chutoceras                               | Animal    | Mollusca                   | -382400000    | -379500000   | <>
Cimitaria                                | Animal    | Mollusca                   | -383700000    | -382400000   | <>
Cladochonus                              | Animal    | Cnidaria                   | -376100000    | -370600000   | Cladochonus
Cladopora                                | Animal    | Cnidaria                   | -379500000    | -376100000   | <>
Cladoxylon                               | Plant     | Tracheophyta               | -383700000    | -382400000   | <>
Clathrocoilona                           | Animal    | Porifera                   | -379500000    | -376100000   | <>
Clathrodictyon                           | Animal    | Porifera                   | -379500000    | -376100000   | <>
Clauseniceras                            | Animal    | Mollusca                   | -379500000    | -376100000   | <>
Clavibole                                | Animal    | Arthropoda                 | -382700000    | -372200000   | <>
Clavidictyon                             | Animal    | Porifera                   | -383700000    | -382400000   | <>
Cleiothyridina                           | Animal    | Brachiopoda                | -376100000    | -370600000   | Cleiothyridina
Coccosteus                               | Animal    | Chordata                   | -382700000    | -372200000   | Coccosteus
Cockbainia                               | Animal    | Porifera                   | -382700000    | -372200000   | <>
Codiacrinus                              | Animal    | Echinodermata              | -379500000    | -376100000   | <>
Coeloclemis                              | Animal    | Bryozoa                    | -382700000    | -372200000   | <>
Coelonella                               | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Coeloterorhynchus                        | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Coenites                                 | Animal    | Cnidaria                   | -382700000    | -358900000   | Coenites
Coenostroma                              | Animal    | Porifera                   | -376100000    | -370600000   | <>
Coloniacirrus                            | Animal    | Mollusca                   | -376100000    | -370600000   | <>
Colpodexylon                             | Plant     | Lycopodophyta              | -382700000    | -372200000   | <>
Columnaria                               | Animal    | Cnidaria                   | -379500000    | -376100000   | Columnaria
Comiotoechia                             | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Composita                                | Animal    | Brachiopoda                | -376100000    | -370600000   | Composita
Concavocycloides                         | Animal    | Echinodermata              | -382400000    | -379500000   | <>
Conchodus                                | Animal    | Chordata                   | -382700000    | -358900000   | Conchodus
Congeriomorpha                           | Animal    | Mollusca                   | -382700000    | -372200000   | <>
Conicospongia                            | Animal    | Porifera                   | -379500000    | -376100000   | <>
Conocardium                              | Animal    | Mollusca                   | -382700000    | -372200000   | Conocardium
Conularia                                | Animal    | Cnidaria                   | -382700000    | -372200000   | <>
Convolutispora                           | Plant     | Pteridophyta               | -376100000    | -370600000   | <>
Cooperuna                                | Animal    | Arthropoda                 | -379500000    | -376100000   | <>
Corbicularia                             | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Cordaites                                | Plant     | Pinophyta                  | -382700000    | -358900000   | Cordaites
Cordiospongia                            | Animal    | Porifera                   | -379500000    | -376100000   | <>
Cornellites                              | Animal    | Mollusca                   | -379500000    | -376100000   | <>
Cornulites                               | Animal    | Lophotrochozoa             | -382700000    | -358900000   | Cornulites
Corynotrypa                              | Animal    | Bryozoa                    | -382700000    | -372200000   | <>
Corythoecia                              | Micro     | Radiolaria                 | -382700000    | -358900000   | <>
Cosjuvia                                 | Animal    | Cnidaria                   | -382700000    | -372200000   | <>
Cosmetocrinus                            | Animal    | Echinodermata              | -376100000    | -370600000   | <>
Cranaena                                 | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Crania                                   | Animal    | Brachiopoda                | -382700000    | -372200000   | Crania_(brachiopod)
Craniops                                 | Animal    | Brachiopoda                | -382700000    | -372200000   | Craniops
Crassialveolites                         | Animal    | Cnidaria                   | -382700000    | -372200000   | <>
Crassicyclus                             | Animal    | Cnidaria                   | -388100000    | -382400000   | <>
Crassotornoceras                         | Animal    | Mollusca                   | -379500000    | -376100000   | Crassotornoceras
Cribrosphaeroides                        | Micro     | Foraminifera               | -376100000    | -370600000   | <>
Crickites                                | Animal    | Mollusca                   | -376100000    | -370600000   | <>
Crinisarina                              | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Crotalocephalus                          | Animal    | Arthropoda                 | -383700000    | -382400000   | Crotalocephalus
Crurithyris                              | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Cryphops                                 | Animal    | Arthropoda                 | -382700000    | -372200000   | Cryphops
Cryptonella                              | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Cryptophyllus                            | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Cryptotaxis                              | Animal    | Chordata                   | -379500000    | -376100000   | Cryptotaxis
Ctenacaronychus                          | Animal    | Arthropoda                 | -383700000    | -382400000   | <>
Ctenoloculina                            | Animal    | Arthropoda                 | -419200000    | -358900000   | <>
Cupularostrum                            | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Cyathophyllum                            | Animal    | Cnidaria                   | -382700000    | -358900000   | <>
Cyclocyclicus                            | Animal    | Echinodermata              | -382700000    | -372200000   | <>
Cyclonema                                | Animal    | Mollusca                   | -419200000    | -358900000   | Cyclonema
Cyclotrypa                               | Animal    | Bryozoa                    | -382700000    | -372200000   | <>
Cyclozyga                                | Animal    | Mollusca                   | -379500000    | -376100000   | <>
Cymaclymenia                             | Animal    | Mollusca                   | -376100000    | -370600000   | <>
Cymostrophia                             | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Cyphaspis                                | Animal    | Arthropoda                 | -382700000    | -372200000   | Cyphaspis
Cyphoterorhynchus                        | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Cyphotrypa                               | Animal    | Bryozoa                    | -382700000    | -372200000   | <>
Cypricardella                            | Animal    | Mollusca                   | -379500000    | -370600000   | <>
