Ankistrorhynchus                         | Animal    | Chordata                   | -70600000     | -66000000    | Ankistrorhynchus
Ankylosaurus                             | Animal    | Chordata                   | -70600000     | -66000000    | Ankylosaurus
Anmolpakhi                               | Animal    | Chordata                   | -72100000     | -66000000    | <>
Annieporcellana                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Annuntidiogenes                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Anodontites                              | Animal    | Mollusca                   | -72100000     | -66000000    | Anodontites
Anodontosaurus                           | Animal    | Chordata                   | -70600000     | -66000000    | Anodontosaurus
Anofia                                   | Animal    | Mollusca                   | -72100000     | -66000000    | <>
Anogmius                                 | Animal    | Chordata                   | -85800000     | -70600000    | <>
Anomalina                                | Micro     | Foraminifera               | -100500000    | -66000000    | <>
Anomalinoides                            | Micro     | Foraminifera               | -72100000     | -66000000    | <>
Anomalofusus                             | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Anomia                                   | Animal    | Mollusca                   | -100500000    | -66000000    | Anomia_(bivalve)
Anomoeodus                               | Animal    | Chordata                   | -145000000    | -66000000    | Anomoeodus
Anomotodon                               | Animal    | Chordata                   | -100500000    | -66000000    | Anomotodon
Anserimimus                              | Animal    | Chordata                   | -72100000     | -66000000    | Anserimimus
Antarcticavis                            | Animal    | Chordata                   | -70600000     | -66000000    | Antarcticavis
Antarcticoolithus                        | Animal    | Chordata                   | -72100000     | -66000000    | Antarcticoolithus
Antarctosaurus                           | Animal    | Chordata                   | -72100000     | -66000000    | Antarctosaurus
Anteglosia                               | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Anteglossia                              | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Anteonopsis                              | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Anteucoila                               | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Anthonya                                 | Animal    | Mollusca                   | -72100000     | -66000000    | <>
Anticlimax                               | Animal    | Mollusca                   | -72100000     | -66000000    | Anticlimax_(gastropod)
Anticythereis                            | Animal    | Arthropoda                 | -70600000     | -66000000    | <>
Antiguastrea                             | Animal    | Cnidaria                   | -70600000     | -66000000    | <>
Antillocaprina                           | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Antillosarcolites                        | Animal    | Mollusca                   | -72100000     | -66000000    | <>
Antiquecynips                            | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Antropora                                | Animal    | Bryozoa                    | -70600000     | -66000000    | Antropora
Anzu                                     | Animal    | Chordata                   | -70600000     | -66000000    | Anzu_wyliei
Apalocnemis                              | Animal    | Arthropoda                 | -83500000     | -70600000    | Apalocnemis
