Cosmetocrinus                            | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Cosmomya                                 | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Costuloplica                             | Animal    | Brachiopoda                | -326400000    | -306950000   | <>
Cranaena                                 | Animal    | Brachiopoda                | -330900000    | -323200000   | <>
Crania                                   | Animal    | Brachiopoda                | -326400000    | -318100000   | Crania_(brachiopod)
Crassigyrinus                            | Animal    | Chordata                   | -326400000    | -318100000   | Crassigyrinus
Cravenoceras                             | Animal    | Mollusca                   | -326400000    | -314600000   | Cravenoceras
Cravenoceratoides                        | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Crenipecten                              | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Cribanocrinus                            | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Cribrospira                              | Micro     | Foraminifera               | -336000000    | -326400000   | <>
Crossotheca                              | Plant     | Pteridospermophyta         | -358900000    | -298900000   | <>
Crurithyris                              | Animal    | Brachiopoda                | -326400000    | -314600000   | <>
Cryphiocrinus                            | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Ctenacanthus                             | Animal    | Chordata                   | -330900000    | -323200000   | Ctenacanthus
Ctenobactrites                           | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Ctenoptychius                            | Animal    | Chordata                   | -330900000    | -315200000   | <>
Culmicrinus                              | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Cummingella                              | Animal    | Arthropoda                 | -336000000    | -326400000   | Cummingella
Cyathaxonia                              | Animal    | Cnidaria                   | -330900000    | -323200000   | <>
Cyathophyllum                            | Animal    | Cnidaria                   | -358900000    | -252170000   | <>
Cyclites                                 | Animal    | Mollusca                   | -339400000    | -318100000   | <>
Cyclocaudex                              | Animal    | Echinodermata              | -330900000    | -315200000   | <>
Cycloceras                               | Animal    | Mollusca                   | -326400000    | -318100000   | Cycloceras
Cyclogyra                                | Micro     | Foraminifera               | -336000000    | -326400000   | <>
Cyclonema                                | Animal    | Mollusca                   | -358900000    | -323200000   | Cyclonema
Cyclozyga                                | Animal    | Mollusca                   | -330900000    | -323200000   | <>
Cymatospira                              | Animal    | Mollusca                   | -330900000    | -323200000   | <>
Cymbiocrinus                             | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Cyperites                                | Plant     | Lycopodophyta              | -326400000    | -314600000   | <>
Cypricardella                            | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Cypricardinia                            | Animal    | Mollusca                   | -326400000    | -306950000   | Cypricardinia
Cyranorhis                               | Animal    | Chordata                   | -326400000    | -318100000   | Cyranorhis
Cyrtina                                  | Animal    | Brachiopoda                | -358900000    | -201300000   | <>
Cyrtoceras                               | Animal    | Mollusca                   | -326400000    | -318100000   | Cyrtoceras
Cyrtoproetus                             | Animal    | Arthropoda                 | -336000000    | -326400000   | <>
Cyrtorizoceras                           | Animal    | Mollusca                   | -339400000    | -318100000   | <>
Cyrtospirifer                            | Animal    | Brachiopoda                | -358900000    | -323200000   | Cyrtospirifer
Cyrtothoracoceras                        | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Cystelasma                               | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Cystispina                               | Animal    | Arthropoda                 | -339400000    | -326400000   | <>
Cystodictya                              | Animal    | Bryozoa                    | -326400000    | -318100000   | Cystodictya
