Belmophenopterum                         | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Belpsylla                                | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Belyaevaspongia                          | Animal    | Porifera                   | -254170000    | -252170000   | <>
Betaneospirifer                          | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Biarmeaspira                             | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Bicamella                                | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Bicarinella                              | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Bicoelia                                 | Animal    | Porifera                   | -254170000    | -252170000   | <>
Biplatyconcha                            | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Birdsallela                              | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Birdsallella                             | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Bistarkum                                | Micro     | Radiolaria                 | -254170000    | -252170000   | <>
Blasispirifer                            | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Bohemina                                 | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Boreolepis                               | Animal    | Chordata                   | -265000000    | -252300000   | Boreolepis
Bothriceps                               | Animal    | Chordata                   | -2.599e+08    | -251200000   | Bothriceps
Bothrophyllum                            | Animal    | Cnidaria                   | -298900000    | -252170000   | <>
Botryococcus                             | Plant     | Chlorophyta                | -265000000    | -252300000   | Botryococcus
Brachycycloceras                         | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -358900000    | -252170000   | Brachyphyllum
Brachythyrina                            | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Brachythyris                             | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Bradyina                                 | Micro     | Foraminifera               | -254170000    | -252170000   | <>
Bradyphyllum                             | Animal    | Cnidaria                   | -298900000    | -252170000   | <>
Bransonia                                | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Brongniartites                           | Plant     | Pteridospermophyta         | -358900000    | -252170000   | <>
Brontopus                                | Animal    | Chordata                   | -254170000    | -252170000   | Brontopus
Brunsia                                  | Micro     | Foraminifera               | -254170000    | -252170000   | Brunsia
Bruntonia                                | Animal    | Brachiopoda                | -2.599e+08    | -252170000   | <>
Bucania                                  | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Bucanopsis                               | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Bullarina                                | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Bunostegos                               | Animal    | Chordata                   | -254170000    | -252170000   | Bunostegos
Buregia                                  | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Burnetia                                 | Animal    | Chordata                   | -2.599e+08    | -252170000   | Burnetia
Burovia                                  | Animal    | Brachiopoda                | -2.599e+08    | -252170000   | <>
Buxtonia                                 | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Bystrowiana                              | Animal    | Chordata                   | -259000000    | -252300000   | Bystrowiana
Bythocypris                              | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Calamites                                | Plant     | Sphenophyta                | -254170000    | -252170000   | Calamites
Calamospora                              | Plant     | Sphenophyta                | -265000000    | -251300000   | <>
Calamostachys                            | Plant     | Sphenophyta                | -315200000    | -254000000   | <>
Calceolispongia                          | Animal    | Echinodermata              | -298900000    | -252170000   | Calceolispongia
Calcitornella                            | Micro     | Foraminifera               | -254170000    | -252170000   | <>
Calcivertella                            | Micro     | Foraminifera               | -2.651e+08    | -252170000   | <>
Callaiapsida                             | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Callicythere                             | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Callietheira                             | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -254170000    | -252170000   | Callipteris
Callispirina                             | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
