Appendicisporites                        | Plant     | Pteridophyta               | -100500000    | -5333000     | <>
Aprionodon                               | Animal    | Chordata                   | -11608000     | -5333000     | <>
Aprotodon                                | Animal    | Chordata                   | -11608000     | -5333000     | <>
Aquila                                   | Animal    | Chordata                   | -10300000     | -4900000     | Aquila_(bird)
Arachnopusia                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Aracispermum                             | Plant     | Angiospermae               | -11608000     | -5333000     | <>
Aradus                                   | Animal    | Arthropoda                 | -8700000      | -5333000     | Aradus
Araeosteus                               | Animal    | Chordata                   | -11608000     | -5333000     | Araeosteus
Aralia                                   | Plant     | Spermatophyta              | -11608000     | -3600000     | Aralia
Araloselachus                            | Animal    | Chordata                   | -10300000     | -4900000     | <>
Aratomys                                 | Animal    | Chordata                   | -7246000      | -4900000     | <>
Araucariacites                           | Plant     | Pinophyta                  | -15970000     | -3600000     | <>
Araucaria                                | Plant     | Pinophyta                  | -23030000     | -5333000     | Araucaria
Arazamys                                 | Animal    | Chordata                   | -11608000     | -5333000     | <>
Arbacia                                  | Animal    | Echinodermata              | -11608000     | -2588000     | Arbacia
Arbacina                                 | Animal    | Echinodermata              | -7246000      | -5333000     | <>
Arbutus                                  | Plant     | Spermatophyta              | -10300000     | -4900000     | Arbutus
Arca                                     | Animal    | Mollusca                   | -11608000     | -2588000     | Arca
Archaeodesmana                           | Animal    | Chordata                   | -23030000     | -5333000     | <>
Archaeohippus                            | Animal    | Chordata                   | -23030000     | -5333000     | Archaeohippus
Archaeolagus                             | Animal    | Chordata                   | -23030000     | -5333000     | <>
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -23030000     | -5333000     | <>
Archaeophasianus                         | Animal    | Chordata                   | -23030000     | -5333000     | <>
Archaeophocaena                          | Animal    | Chordata                   | -7246000      | -5333000     | Archaeophocaena
Archaeoplax                              | Animal    | Arthropoda                 | -11608000     | -5333000     | <>
Archaeopotamus                           | Animal    | Chordata                   | -11608000     | -2588000     | Archaeopotamus
Archaeosimos                             | Animal    | Chordata                   | -11608000     | -3600000     | <>
Archaeotetraodon                         | Animal    | Chordata                   | -11620000     | -5333000     | <>
Archaeus                                 | Animal    | Chordata                   | -33900000     | -5333000     | Archaeus
Architectonica                           | Animal    | Mollusca                   | -11608000     | -2588000     | Architectonica
Arcinella                                | Animal    | Mollusca                   | -11608000     | -5333000     | Arcinella
Arcopagia                                | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Arcopaginula                             | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Arcopsis                                 | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Arctica                                  | Animal    | Mollusca                   | -11608000     | -3600000     | Arctica_(bivalve)
Arctiites                                | Animal    | Arthropoda                 | -7246000      | -5333000     | Arctiites
Arctomeles                               | Animal    | Chordata                   | -10300000     | -1800000     | <>
Arctomyoides                             | Animal    | Chordata                   | -23030000     | -5333000     | <>
Arctonasua                               | Animal    | Chordata                   | -10300000     | -4900000     | Arctonasua
Arctostaphyloides                        | Plant     | Spermatophyta              | -11620000     | -5333000     | <>
Ardea                                    | Animal    | Chordata                   | -10300000     | -4900000     | Ardea_(bird)
Ardipithecus                             | Animal    | Chordata                   | -11620000     | -3600000     | Ardipithecus
Arecipites                               | Plant     | Angiospermae               | -11608000     | -5333000     | <>
Argentavis                               | Animal    | Chordata                   | -9000000      | -6800000     | Argentavis
Argna                                    | Animal    | Mollusca                   | -7246000      | -5333000     | Argna
Argopecten                               | Animal    | Mollusca                   | -11608000     | -2588000     | Argopecten
Argyrocetus                              | Animal    | Chordata                   | -20440000     | -5333000     | <>
Argyrolagus                              | Animal    | Chordata                   | -6800000      | -4000000     | Argyrolagus
Argyropelecus                            | Animal    | Chordata                   | -11608000     | -5333000     | Argyropelecus
Argyrosomus                              | Animal    | Chordata                   | -7246000      | -5333000     | Argyrosomus
Argyrotheca                              | Animal    | Brachiopoda                | -23030000     | -5333000     | Argyrotheca
Arilus                                   | Animal    | Arthropoda                 | -8700000      | -5333000     | Arilus
Ariomma                                  | Animal    | Chordata                   | -7246000      | -5333000     | Ariomma
Arius                                    | Animal    | Chordata                   | -10300000     | -4900000     | Arius
Arizona                                  | Animal    | Chordata                   | -10300000     | -4900000     | Arizona
Armantomys                               | Animal    | Chordata                   | -23030000     | -5333000     | <>
Armimiltha                               | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Arnoglossus                              | Animal    | Chordata                   | -7246000      | -5333000     | Arnoglossus
Arossia                                  | Animal    | Arthropoda                 | -11608000     | -5333000     | Arossia
Arretotherium                            | Animal    | Chordata                   | -23030000     | -5333000     | <>
Arrhenopeplus                            | Animal    | Arthropoda                 | -7246000      | -5333000     | Arrhenopeplus
Artemisia                                | Plant     | Spermatophyta              | -11608000     | -2588000     | Artemisia_(plant)
Arthropoma                               | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Artigasia                                | Animal    | Chordata                   | -6800000      | -781000      | Artigasia
Arundo                                   | Plant     | Angiospermae               | -23030000     | -5333000     | Arundo
Arvicanthis                              | Animal    | Chordata                   | -11608000     | -2588000     | Arvicanthis
Asaphis                                  | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Asellia                                  | Animal    | Chordata                   | -23030000     | -5333000     | Asellia
Asio                                     | Animal    | Chordata                   | -11608000     | -11700       | Asio
Asoriculus                               | Animal    | Chordata                   | -11608000     | -3600000     | Asoriculus
Asperarca                                | Animal    | Mollusca                   | -11620000     | -5333000     | <>
Asperdaphne                              | Animal    | Mollusca                   | -11608000     | -5333000     | Asperdaphne
Aspidocalyptus                           | Animal    | Chordata                   | -9000000      | -6800000     | <>
Aspidostoma                              | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Aspius                                   | Animal    | Chordata                   | -7246000      | -5333000     | Aspius
Asplenium                                | Plant     | Pteridophyta               | -23030000     | -2588000     | Asplenium
Astarte                                  | Animal    | Mollusca                   | -11608000     | -3600000     | Astarte
Astele                                   | Animal    | Mollusca                   | -11608000     | -5333000     | Astele
Asteracanthus                            | Animal    | Chordata                   | -7246000      | -3600000     | Asteracanthus
Asterias                                 | Animal    | Echinodermata              | -11608000     | -5333000     | Asterias
Asterigerina                             | Micro     | Foraminifera               | -23030000     | -5333000     | <>
