Candona                                  | Animal    | Arthropoda                 | -136400000    | -125450000   | Candona
Canoptum                                 | Micro     | Radiolaria                 | -140200000    | -136400000   | <>
Cantianiceras                            | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Capillithyris                            | Animal    | Brachiopoda                | -136400000    | -130000000   | <>
Caprina                                  | Animal    | Mollusca                   | -139800000    | -132900000   | Caprina
Carcharodontosaurus                      | Animal    | Chordata                   | -145000000    | -100500000   | Carcharodontosaurus
Carcineretes                             | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Cardiaster                               | Animal    | Echinodermata              | -145000000    | -66000000    | <>
Cardita                                  | Animal    | Mollusca                   | -139800000    | -132900000   | Cardita
Cardium                                  | Animal    | Mollusca                   | -139800000    | -129400000   | Cardium
Carinacaris                              | Animal    | Arthropoda                 | -145000000    | -66000000    | Carinacaris
Carinathilda                             | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Caririchnium                             | Animal    | Chordata                   | -139800000    | -125000000   | Caririchnium
Carlclausus                              | Animal    | Arthropoda                 | -136400000    | -130000000   | <>
Carneithyris                             | Animal    | Brachiopoda                | -145000000    | -66000000    | <>
Carpathoporella                          | Animal    | Cnidaria                   | -136400000    | -130000000   | <>
Carpiliopsis                             | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Carpopenaeus                             | Animal    | Arthropoda                 | -145000000    | -66000000    | Carpopenaeus
Cataegis                                 | Animal    | Mollusca                   | -139800000    | -132900000   | Cataegis
Caturus                                  | Animal    | Chordata                   | -139800000    | -125000000   | Caturus
Cayeuxia                                 | Micro     | Cyanobacteria              | -139800000    | -132900000   | <>
Cecrops                                  | Micro     | Radiolaria                 | -136400000    | -125000000   | Cecrops
Cedarosaurus                             | Animal    | Chordata                   | -139800000    | -132900000   | Cedarosaurus
Celastrophyllum                          | Plant     | Spermatophyta              | -145000000    | -100500000   | <>
Celyphus                                 | Micro     | Cyanobacteria              | -139800000    | -125000000   | Celyphus
Cenodiscus                               | Micro     | Radiolaria                 | -140200000    | -132900000   | <>
Cenomanocarcinus                         | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Cenosphaera                              | Micro     | Radiolaria                 | -139800000    | -125000000   | <>
Centroscymnus                            | Animal    | Chordata                   | -136400000    | -130000000   | Centroscymnus
Centrosia                                | Animal    | Porifera                   | -140200000    | -136400000   | Centrosia
Cephalotaxopsis                          | Plant     | Coniferophyta              | -145000000    | -100500000   | <>
Cephalotaxospermum                       | Plant     | Pinophyta                  | -145000000    | -66000000    | <>
Ceratodus                                | Animal    | Chordata                   | -145000000    | -100500000   | Ceratodus
Ceratosaurus                             | Animal    | Chordata                   | -152100000    | -130000000   | Ceratosaurus
Ceratosporites                           | Plant     | Pteridophyta               | -139800000    | -125000000   | <>
Ceratostreon                             | Animal    | Mollusca                   | -136400000    | -130000000   | <>
Ceratotuberculus                         | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Cercomya                                 | Animal    | Mollusca                   | -139800000    | -125000000   | <>
Ceriocava                                | Animal    | Bryozoa                    | -139800000    | -132900000   | <>
Cerithium                                | Animal    | Mollusca                   | -136400000    | -130000000   | Cerithium
Cetiosaurus                              | Animal    | Chordata                   | -136400000    | -122460000   | Cetiosaurus
Chaetasterina                            | Animal    | Echinodermata              | -136400000    | -130000000   | <>
Chaetetopsis                             | Animal    | Porifera                   | -139800000    | -132900000   | <>
Chama                                    | Animal    | Mollusca                   | -145000000    | -66000000    | Chama
Chaoyangsaurus                           | Animal    | Chordata                   | -150800000    | -132900000   | Chaoyangsaurus
Characichnos                             | Animal    | Chordata                   | -145000000    | -125000000   | <>
Chelone                                  | Animal    | Chordata                   | -140200000    | -136400000   | Chelone
Cheramus                                 | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Chiastozygus                             | Plant     | Haptophyta                 | -136400000    | -130000000   | <>
Chigaroceras                             | Animal    | Mollusca                   | -150800000    | -129400000   | <>
Chilodonta                               | Animal    | Mollusca                   | -139800000    | -132900000   | Chilodonta
Chinocimberis                            | Animal    | Arthropoda                 | -139800000    | -125000000   | <>
Chladocrinus                             | Animal    | Echinodermata              | -145000000    | -132900000   | <>
Chlamys                                  | Animal    | Mollusca                   | -139800000    | -125000000   | Chlamys
Choffatella                              | Micro     | Foraminifera               | -139800000    | -132900000   | <>
Chrysotheca                              | Plant     | Bryophyta                  | -145000000    | -66000000    | <>
Chuelskia                                | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Chuhsiungichthys                         | Animal    | Chordata                   | -145000000    | -130000000   | Chuhsiungichthys
Cibotiidites                             | Plant     | Pteridophyta               | -139800000    | -125000000   | <>
Cibotiumspora                            | Plant     | Pteridophyta               | -139800000    | -125000000   | <>
Cicatricosisporites                      | Plant     | Pteridophyta               | -140200000    | -136400000   | <>
Cicatricososporites                      | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Cidaris                                  | Animal    | Echinodermata              | -136400000    | -130000000   | Cidaris
Cingulatisporites                        | Plant     | Pteridophyta               | -145000000    | -125000000   | <>
Cinguloturris                            | Micro     | Radiolaria                 | -140200000    | -136400000   | <>
Cionocoleus                              | Animal    | Arthropoda                 | -136400000    | -130000000   | Cionocoleus
Cissites                                 | Plant     | Spermatophyta              | -145000000    | -100500000   | Cissites
Citharina                                | Micro     | Foraminifera               | -136400000    | -130000000   | <>
Cladocyclus                              | Animal    | Chordata                   | -145000000    | -100500000   | Cladocyclus
Cladophlebis                             | Plant     | Pteridophyta               | -139800000    | -130000000   | Cladophlebis
Cladophyllia                             | Animal    | Cnidaria                   | -139800000    | -132900000   | <>
Classopollis                             | Plant     | Coniferophyta              | -139800000    | -125000000   | <>
Clausastrea                              | Animal    | Cnidaria                   | -136400000    | -130000000   | <>
Clavatipollenites                        | Plant     | Spermatophyta              | -139800000    | -129400000   | <>
Clavator                                 | Plant     | Charophyta                 | -145000000    | -136400000   | Clavator
Clavifera                                | Plant     | Pteridophyta               | -145000000    | -100500000   | <>
Clidastes                                | Animal    | Chordata                   | -145000000    | -66000000    | Clidastes
Clithrocytheridea                        | Animal    | Arthropoda                 | -140200000    | -136400000   | <>
Clypeina                                 | Plant     | Chlorophyta                | -136400000    | -130000000   | <>
Clypeopygus                              | Animal    | Echinodermata              | -136400000    | -130000000   | <>
Coccolepis                               | Animal    | Chordata                   | -145000000    | -100500000   | Coccolepis
Codiopsis                                | Animal    | Echinodermata              | -139800000    | -132900000   | <>
Coelodus                                 | Animal    | Chordata                   | -139800000    | -132900000   | Coelodus
Coelospiropora                           | Animal    | Bryozoa                    | -136400000    | -130000000   | <>
Coelurus                                 | Animal    | Chordata                   | -145000000    | -132900000   | Coelurus
Coenholectypus                           | Animal    | Echinodermata              | -136400000    | -130000000   | <>
Coleopteron                              | Animal    | Arthropoda                 | -136400000    | -130000000   | <>
Collyrites                               | Animal    | Echinodermata              | -139800000    | -132900000   | <>
Collyropsis                              | Animal    | Echinodermata              | -139800000    | -132900000   | <>
Coloborhynchus                           | Animal    | Chordata                   | -145000000    | -132900000   | Coloborhynchus
Colombellina                             | Animal    | Mollusca                   | -139800000    | -132900000   | <>
Colomisphaera                            | Micro     | Ciliophora                 | -140200000    | -136400000   | <>
Columastrea                              | Animal    | Cnidaria                   | -136400000    | -130000000   | <>
Columbosauripus                          | Animal    | Chordata                   | -139800000    | -132900000   | Columbosauripus
